dtype,N,M,us_med,TT,VECW
fp32,4096,1,3.328,512,4
fp32,4096,2,3.344,512,4
fp32,4096,4,3.376,512,4
fp32,4096,6,3.424,512,4
fp32,4096,8,3.712,512,4
fp32,8192,1,2.992,512,4
fp32,8192,2,3.008,512,4
fp32,8192,4,3.584,512,4
fp32,8192,6,3.680,512,4
fp32,8192,8,4.671,512,4
fp32,16384,1,3.648,512,8
fp32,16384,2,3.680,512,8
fp32,16384,4,4.192,512,8
fp32,16384,6,4.688,512,8
fp32,16384,8,5.472,512,8
fp32,32768,1,4.944,512,8
fp32,32768,2,5.008,512,8
fp32,32768,4,6.080,512,8
fp32,32768,6,6.928,512,8
fp32,32768,8,7.936,512,8
fp32,65536,1,5.216,1024,8
fp32,65536,2,5.344,1024,8
fp32,65536,4,6.848,1024,8
fp32,65536,6,8.368,1024,8
fp32,65536,8,10.496,1024,8
fp32,131072,1,7.952,1024,8
fp32,131072,2,8.400,1024,8
fp32,131072,4,11.088,1024,8
fp32,131072,6,13.952,1024,8
fp32,131072,8,17.680,1024,8
fp32,262144,1,13.344,1024,8
fp32,262144,2,13.967,1024,8
fp32,262144,4,19.535,1024,8
fp32,262144,6,25.184,1024,8
fp32,262144,8,31.999,1024,8
fp16,4096,1,2.928,512,8
fp16,4096,2,2.944,512,8
fp16,4096,4,2.992,512,8
fp16,4096,6,3.056,512,8
fp16,4096,8,3.424,512,8
fp16,8192,1,3.360,512,8
fp16,8192,2,3.392,512,8
fp16,8192,4,3.488,512,8
fp16,8192,6,3.712,512,8
fp16,8192,8,4.192,512,8
fp16,16384,1,3.055,512,8
fp16,16384,2,3.120,512,8
fp16,16384,4,3.744,512,8
fp16,16384,6,4.288,512,8
fp16,16384,8,4.960,512,8
fp16,32768,1,3.776,512,8
fp16,32768,2,4.000,512,8
fp16,32768,4,5.040,512,8
fp16,32768,6,6.240,512,8
fp16,32768,8,7.456,512,8
fp16,65536,1,4.288,1024,8
fp16,65536,2,4.992,1024,8
fp16,65536,4,6.560,1024,8
fp16,65536,6,8.256,1024,8
fp16,65536,8,10.608,1024,8
fp16,131072,1,6.080,1024,8
fp16,131072,2,7.456,1024,8
fp16,131072,4,10.448,1024,8
fp16,131072,6,13.824,1024,8
fp16,131072,8,17.888,1024,8
fp16,262144,1,9.568,1024,8
fp16,262144,2,12.384,1024,8
fp16,262144,4,18.192,1024,8
fp16,262144,6,24.799,1024,8
fp16,262144,8,32.479,1024,8
