dtype,N,M,us_med,TT,VECW
fp32,4096,1,3.264,512,4
fp32,4096,2,3.264,512,4
fp32,4096,3,3.296,512,4
fp32,4096,4,3.328,512,4
fp32,8192,1,2.976,512,4
fp32,8192,2,3.008,512,4
fp32,8192,3,3.008,512,4
fp32,8192,4,3.200,512,4
fp32,16384,1,3.392,512,8
fp32,16384,2,3.456,512,8
fp32,16384,3,3.680,512,8
fp32,16384,4,3.936,512,8
fp32,32768,1,4.640,512,8
fp32,32768,2,4.768,512,8
fp32,32768,3,5.056,512,8
fp32,32768,4,5.728,512,8
fp32,65536,1,5.120,1024,8
fp32,65536,2,5.344,1024,8
fp32,65536,3,5.824,1024,8
fp32,65536,4,6.816,1024,8
fp32,131072,1,7.680,1024,8
fp32,131072,2,8.160,1024,8
fp32,131072,3,9.184,1024,8
fp32,131072,4,11.072,1024,8
fp32,262144,1,13.024,1024,8
fp32,262144,2,13.792,1024,8
fp32,262144,3,15.872,1024,8
fp32,262144,4,19.488,1024,8
fp16,131072,1,6.048,1024,8
fp16,131072,2,7.456,1024,8
fp16,131072,3,8.768,1024,8
fp16,131072,4,10.512,1024,8
fp16,262144,1,9.664,1024,8
fp16,262144,2,12.336,1024,8
fp16,262144,3,14.928,1024,8
fp16,262144,4,18.176,1024,8
