# K=512 log-interp A/B — median over 3 nsys batches (pure-kernel cold-L2 us)
       N |               base                p2c               logn
    4096 |    11.35                9.47 (-16.6%)     10.37 ( -8.7%)
    8192 |    11.65               10.20 (-12.4%)     10.71 ( -8.1%)
   16384 |    13.74               12.11 (-11.9%)     12.32 (-10.3%)
   32768 |    13.86               13.88 ( +0.2%)     14.19 ( +2.4%)
   65536 |    20.74               19.56 ( -5.7%)     20.57 ( -0.8%)
  131072 |    24.88               24.89 ( +0.0%)     26.72 ( +7.4%)
  262144 |    37.33               37.39 ( +0.2%)     42.33 (+13.4%)

# K=1024 log-interp A/B — median over 3 nsys batches (pure-kernel cold-L2 us)
       N |               base               logn               logb
    4096 |    10.13                9.78 ( -3.5%)     10.25 ( +1.2%)
    8192 |    16.76               11.38 (-32.1%)     17.69 ( +5.5%)
   16384 |    13.29               13.18 ( -0.9%)     16.23 (+22.1%)
   32768 |    15.67               14.29 ( -8.8%)     14.46 ( -7.7%)
   65536 |    20.35               23.08 (+13.4%)     22.91 (+12.6%)
  131072 |    37.94               29.58 (-22.0%)     29.16 (-23.1%)
  262144 |    40.29               44.24 ( +9.8%)     44.06 ( +9.4%)

# K=2048 log-interp A/B — median over 3 nsys batches (pure-kernel cold-L2 us)
       N |               base               logb               logn
    8192 |    13.09               15.94 (+21.8%)     12.60 ( -3.7%)
   16384 |    14.74               13.76 ( -6.7%)     13.52 ( -8.3%)
   32768 |    17.43               17.53 ( +0.6%)     17.25 ( -1.0%)
   65536 |    23.83               23.94 ( +0.5%)     23.96 ( +0.6%)
  131072 |    36.24               32.18 (-11.2%)     32.25 (-11.0%)
  262144 |    50.05               43.99 (-12.1%)     43.97 (-12.2%)


   65536 |    23.83               23.94 ( +0.5%)     23.96 ( +0.6%)
  131072 |    36.24               32.18 (-11.2%)     32.25 (-11.0%)
  262144 |    50.05               43.99 (-12.1%)     43.97 (-12.2%)

