scenario,K,dtype,N,BS,hr,layer,gvr_ms_auto_cold_us,gvr_ms_auto_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,op21_cold_speedup_vs_gvr_cutedsl,op21_cold_speedup_vs_gvr_multicta_cutedsl,op21_cold_speedup_vs_radix_cutedsl,op21_cold_speedup_vs_sglang_streaming
best,512,bf16,4096,1,0.9004,4,9.955,8.738,8.48,7.532,8.666,7.749,5.168,4.462,,,0.852,0.87,0.519,
best,512,bf16,4096,2,0.9004,4,9.702,8.703,8.382,7.526,8.674,7.728,5.19,4.499,,,0.864,0.894,0.535,
best,512,bf16,4096,4,0.9004,4,9.669,8.719,8.491,7.513,8.722,7.739,5.202,4.506,,,0.878,0.902,0.538,
best,512,bf16,4096,8,0.9004,4,9.666,8.746,8.59,7.535,8.765,7.772,5.277,4.524,,,0.889,0.907,0.546,
best,512,bf16,4096,16,0.9004,4,10.002,9.098,8.946,7.924,9.024,8.137,5.654,4.92,,,0.894,0.902,0.565,
best,512,bf16,4096,32,0.9004,4,10.254,9.164,9.098,8.009,9.317,8.226,5.816,4.974,,,0.887,0.909,0.567,
best,512,bf16,4096,64,0.9004,4,10.358,9.314,9.262,8.109,9.37,8.316,5.878,5.018,,,0.894,0.905,0.568,
best,512,bf16,4096,128,0.9004,4,10.63,9.482,9.549,8.274,9.73,8.484,6.242,5.226,,,0.898,0.915,0.587,
best,512,bf16,4096,256,0.9004,4,11.635,10.298,11.046,9.858,11.086,9.852,10.531,9.043,,,0.949,0.953,0.905,
best,512,bf16,4096,512,0.9004,4,20.935,18.014,18.904,16.835,19.165,16.835,18.954,16.594,,,0.903,0.915,0.905,
best,512,bf16,4096,1024,0.9004,4,30.843,28.125,28.93,26.396,28.919,26.38,32.555,28.14,,,0.938,0.938,1.056,
best,512,bf16,4096,2048,0.9004,4,54.347,50.818,51.789,48.499,51.943,48.446,62.01,54.573,,,0.953,0.956,1.141,
best,512,bf16,8192,1,0.9004,16,18.101,16.024,14.072,12.865,14.314,13.212,6.563,5.697,,,0.777,0.791,0.363,
best,512,bf16,8192,2,0.9004,16,17.934,15.984,14.058,12.845,14.387,13.206,6.526,5.71,,,0.784,0.802,0.364,
best,512,bf16,8192,4,0.9004,16,17.85,15.983,14.032,12.855,14.467,13.207,6.574,5.739,,,0.786,0.811,0.368,
best,512,bf16,8192,8,0.9004,16,17.848,15.987,14.214,12.883,14.49,13.241,6.669,5.752,,,0.796,0.812,0.374,
best,512,bf16,8192,16,0.9004,16,18.162,16.37,14.368,13.265,14.718,13.628,6.789,6.159,,,0.791,0.81,0.374,
best,512,bf16,8192,32,0.9004,16,18.157,16.448,14.509,13.37,14.79,13.695,6.938,6.213,,,0.799,0.815,0.382,
