scenario,K,dtype,N,BS,hr,layer,gvr_ms_auto_cold_us,gvr_ms_auto_warm_us,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,op21_cold_speedup_vs_gvr_cutedsl,op21_cold_speedup_vs_gvr_multicta_cutedsl,op21_cold_speedup_vs_radix_cutedsl,op21_cold_speedup_vs_sglang_streaming
best,512,bf16,4096,1,0.9004,4,9.963,8.745,8.47,7.532,8.65,7.748,5.166,4.463,,,0.85,0.868,0.519,
best,512,bf16,8192,1,0.9004,16,19.059,16.013,14.091,12.856,14.322,13.226,6.534,5.708,,,0.739,0.751,0.343,
best,512,bf16,16384,1,0.9004,4,15.573,13.784,11.483,9.708,10.829,9.402,9.346,8.625,,,0.737,0.695,0.6,
best,512,bf16,32768,1,0.9004,36,21.87,17.72,12.786,11.009,13.094,11.226,12.733,11.576,,,0.585,0.599,0.582,
best,512,bf16,65536,1,0.9004,24,42.717,25.235,29.331,27.689,25.162,23.272,13.037,11.837,,,0.687,0.589,0.305,
best,512,bf16,131072,1,0.9004,28,27.71,23.744,24.075,22.403,16.962,15.53,13.75,12.792,,,0.869,0.612,0.496,
best,512,bf16,262144,1,0.9004,4,37.28,33.664,35.407,33.43,19.12,17.46,13.701,12.859,,,0.95,0.513,0.368,
best,512,bf16,524288,1,0.9004,30,105.888,92.341,131.86,129.152,50.787,48.473,14.165,13.208,,,1.245,0.48,0.134,
best,512,bf16,1048576,1,0.9004,36,99.482,94.744,111.319,107.762,40.291,37.129,14.392,13.077,,,1.119,0.405,0.145,
best,512,fp16,4096,1,0.9004,4,9.762,8.527,8.656,7.665,8.926,7.911,5.067,4.383,,,0.887,0.914,0.519,
best,512,fp16,8192,1,0.9004,16,22.282,17.452,16.301,15.037,16.597,15.416,6.456,5.645,,,0.732,0.745,0.29,
best,512,fp16,16384,1,0.9004,4,15.451,13.677,14.354,12.614,13.733,12.271,8.87,8.173,,,0.929,0.889,0.574,
best,512,fp16,32768,1,0.9004,36,20.098,17.702,12.789,10.892,12.962,11.068,12.582,11.459,,,0.636,0.645,0.626,
best,512,fp16,65536,1,0.9004,24,40.611,26.744,28.981,27.187,25.151,23.351,12.803,11.656,,,0.714,0.619,0.315,
best,512,fp16,131072,1,0.9004,28,26.251,23.357,22.263,20.511,15.418,14.021,13.747,12.776,,,0.848,0.587,0.524,
best,512,fp16,262144,1,0.9004,4,35.429,32.867,35.226,33.12,19.73,17.991,13.767,12.806,,,0.994,0.557,0.389,
best,512,fp16,524288,1,0.9004,30,105.869,92.777,129.416,126.809,52.247,49.754,13.89,12.851,,,1.222,0.494,0.131,
best,512,fp16,1048576,1,0.9004,36,98.488,93.164,108.987,105.303,41.107,37.748,14.298,13.065,,,1.107,0.417,0.145,
best,512,fp32,4096,1,0.9004,4,10.991,9.719,10.067,8.86,10.014,8.787,6.202,5.531,7.293,6.346,0.916,0.911,0.564,0.664
