scenario,K,N,BS,arm,us_cold,us_warm
best,512,4096,1,gvr_cutedsl,12.776,10.54144
best,512,4096,1,radix_cutedsl,6.3776,5.77408
best,512,4096,1,gvr_multicta_cutedsl,12.3104,10.457600000000001
best,512,4096,1,radix_single_cuda,14.5504,13.57696
best,512,4096,1,radix_multi_cuda,36.2096,31.50016
best,512,4096,1,op27_hls,11.811200000000001,10.1824
best,512,4096,1,op26_r0auto,10.192,8.30466
best,512,4096,1,sglang_v2,4.96,4.02688
best,512,4096,1,flashinfer_topk,6.4624,5.9852799999999995
best,512,4096,2,gvr_cutedsl,12.1616,10.538879999999999
best,512,4096,2,radix_cutedsl,6.3728,5.78944
best,512,4096,2,gvr_multicta_cutedsl,12.0528,10.471680000000001
best,512,4096,2,radix_single_cuda,14.728,13.608319999999999
best,512,4096,2,radix_multi_cuda,36.87685,31.76192
best,512,4096,2,op27_hls,11.622399999999999,10.186879999999999
best,512,4096,2,op26_r0auto,9.84965,8.314879999999999
best,512,4096,2,sglang_v2,4.8048,4.09344
best,512,4096,2,flashinfer_topk,6.4784,6.034560000000001
best,512,4096,4,gvr_cutedsl,12.2144,10.53952
best,512,4096,4,radix_cutedsl,6.5008,5.765140000000001
best,512,4096,4,gvr_multicta_cutedsl,12.024,10.45186
best,512,4096,4,radix_single_cuda,14.572799999999999,13.59936
best,512,4096,4,radix_multi_cuda,34.7424,31.86496
best,512,4096,4,op27_hls,11.590399999999999,10.18498
best,512,4096,4,op26_r0auto,9.8896,8.296959999999999
best,512,4096,4,sglang_v2,4.8368,4.05824
best,512,4096,4,flashinfer_topk,6.4976,6.036479999999999
best,512,4096,8,gvr_cutedsl,12.1104,10.536959999999999
best,512,4096,8,radix_cutedsl,6.5136,5.79138
best,512,4096,8,gvr_multicta_cutedsl,12.0912,10.46272
best,512,4096,8,radix_single_cuda,14.6656,13.61152
best,512,4096,8,radix_multi_cuda,34.3648,31.6064
best,512,4096,8,op27_hls,11.558399999999999,10.179200000000002
best,512,4096,8,op26_r0auto,9.9984,8.29248
best,512,4096,8,sglang_v2,4.7648,4.05312
best,512,4096,8,flashinfer_topk,6.5152,5.972479999999999
best,512,4096,16,gvr_cutedsl,12.140799999999999,10.54656
best,512,4096,16,radix_cutedsl,6.5952,5.7926400000000005
best,512,4096,16,gvr_multicta_cutedsl,12.1504,10.47232
best,512,4096,16,radix_single_cuda,14.78565,13.61984
best,512,4096,16,radix_multi_cuda,34.342400000000005,31.7088
best,512,4096,16,op27_hls,11.5632,10.174719999999999
best,512,4096,16,op26_r0auto,10.0944,8.303360000000001
best,512,4096,16,sglang_v2,4.7664,4.05824
best,512,4096,16,flashinfer_topk,6.5984,6.03904
best,512,4096,32,gvr_cutedsl,12.364799999999999,10.65728
best,512,4096,32,radix_cutedsl,6.657649999999999,5.8528
best,512,4096,32,gvr_multicta_cutedsl,12.38885,10.5792
best,512,4096,32,radix_single_cuda,14.798399999999999,13.685139999999999
best,512,4096,32,radix_multi_cuda,34.1584,32.0
best,512,4096,32,op27_hls,11.750399999999999,10.26432
best,512,4096,32,op26_r0auto,10.268799999999999,8.407680000000001
best,512,4096,32,sglang_v2,4.8768,4.10816
best,512,4096,32,flashinfer_topk,6.6864,6.150399999999999
best,512,4096,64,gvr_cutedsl,12.5664,10.72256
best,512,4096,64,radix_cutedsl,6.752,5.8848
best,512,4096,64,gvr_multicta_cutedsl,12.4208,10.65856
best,512,4096,64,radix_single_cuda,14.83685,13.710719999999998
best,512,4096,64,radix_multi_cuda,34.2928,31.9821
best,512,4096,64,op27_hls,11.95045,10.4224
best,512,4096,64,op26_r0auto,10.3696,8.44672
best,512,4096,64,sglang_v2,4.982399999999999,4.135680000000001
best,512,4096,64,flashinfer_topk,6.8016499999999995,6.17664
best,512,4096,128,gvr_cutedsl,12.88,10.94528
best,512,4096,128,radix_cutedsl,7.296,6.27776
best,512,4096,128,gvr_multicta_cutedsl,12.7648,10.88256
best,512,4096,128,radix_single_cuda,15.2192,13.88418
best,512,4096,128,radix_multi_cuda,40.766400000000004,39.55586
best,512,4096,128,op27_hls,12.2624,10.67008
best,512,4096,128,op26_r0auto,10.7424,8.64258
best,512,4096,128,sglang_v2,5.1888000000000005,4.24832
best,512,4096,128,flashinfer_topk,7.1232,6.29824
best,512,4096,256,gvr_cutedsl,16.052799999999998,13.76768
best,512,4096,256,radix_cutedsl,12.8256,11.118739999999999
best,512,4096,256,gvr_multicta_cutedsl,15.376,13.163540000000001
best,512,4096,256,radix_single_cuda,22.49445,21.21216
best,512,4096,256,radix_multi_cuda,74.46565,72.921
best,512,4096,256,op27_hls,13.022450000000001,11.09568
best,512,4096,256,op26_r0auto,12.923200000000001,10.744959999999999
best,512,4096,256,sglang_v2,6.6656,5.7024
best,512,4096,256,flashinfer_topk,9.6816,8.663680000000001
best,512,4096,512,gvr_cutedsl,27.6784,24.417939999999998
best,512,4096,512,radix_cutedsl,23.2608,20.73538
best,512,4096,512,gvr_multicta_cutedsl,28.377599999999997,24.83136
best,512,4096,512,radix_single_cuda,39.27845,37.91362
best,512,4096,512,radix_multi_cuda,132.9185,131.3255
best,512,4096,512,op27_hls,23.848,19.91936
best,512,4096,512,op26_r0auto,22.6624,18.96384
best,512,4096,512,sglang_v2,11.2256,9.83552
best,512,4096,512,flashinfer_topk,17.128,15.66082
best,512,4096,1024,gvr_cutedsl,42.744,38.608019999999996
best,512,4096,1024,radix_cutedsl,39.5616,35.337
best,512,4096,1024,gvr_multicta_cutedsl,49.873599999999996,43.85024
best,512,4096,1024,radix_single_cuda,64.44319999999999,63.12258
best,512,4096,1024,radix_multi_cuda,243.41775,241.89832
best,512,4096,1024,op27_hls,36.296,31.12128
best,512,4096,1024,op26_r0auto,34.48,29.866259999999997
best,512,4096,1024,sglang_v2,18.3424,16.30208
best,512,4096,1024,flashinfer_topk,28.44,26.46146
best,512,4096,2048,gvr_cutedsl,76.55845,71.12964
best,512,4096,2048,radix_cutedsl,76.2801,69.11426
best,512,4096,2048,gvr_multicta_cutedsl,91.36805,82.71618
best,512,4096,2048,radix_single_cuda,123.35364999999999,121.5527
best,512,4096,2048,radix_multi_cuda,479.65945,477.55992
best,512,4096,2048,op27_hls,61.688,55.39906
best,512,4096,2048,op26_r0auto,60.9552,54.33986
best,512,4096,2048,sglang_v2,32.688,30.1312
best,512,4096,2048,flashinfer_topk,52.587199999999996,49.6109
best,512,8192,1,gvr_cutedsl,12.788799999999998,11.14624
best,512,8192,1,radix_cutedsl,7.704,7.18464
best,512,8192,1,gvr_multicta_cutedsl,12.6256,11.13344
best,512,8192,1,radix_single_cuda,16.88,15.39328
best,512,8192,1,radix_multi_cuda,37.66405,32.60608
best,512,8192,1,op27_hls,12.489600000000001,11.12512
best,512,8192,1,op26_r0auto,9.872,8.334100000000001
best,512,8192,1,sglang_v2,5.496,4.8045
best,512,8192,1,flashinfer_topk,11.384,10.64578
best,512,8192,2,gvr_cutedsl,12.5168,11.13344
best,512,8192,2,radix_cutedsl,7.7216000000000005,7.2198400000000005
best,512,8192,2,gvr_multicta_cutedsl,12.3952,11.13472
best,512,8192,2,radix_single_cuda,17.03845,15.42336
best,512,8192,2,radix_multi_cuda,37.9728,32.944019999999995
best,512,8192,2,op27_hls,12.3344,11.11168
best,512,8192,2,op26_r0auto,9.686399999999999,8.34432
best,512,8192,2,sglang_v2,5.5488,4.83266
best,512,8192,2,flashinfer_topk,11.393600000000001,10.707840000000001
best,512,8192,4,gvr_cutedsl,12.539200000000001,11.1277
best,512,8192,4,radix_cutedsl,7.7328,7.22112
best,512,8192,4,gvr_multicta_cutedsl,12.512049999999999,11.1424
best,512,8192,4,radix_single_cuda,16.9136,15.44002
best,512,8192,4,radix_multi_cuda,35.6416,32.9184
best,512,8192,4,op27_hls,12.45125,11.09378
best,512,8192,4,op26_r0auto,9.8336,8.349440000000001
best,512,8192,4,sglang_v2,5.4288,4.8511999999999995
best,512,8192,4,flashinfer_topk,11.425600000000001,10.70528
best,512,8192,8,gvr_cutedsl,12.6256,11.14048
best,512,8192,8,radix_cutedsl,7.736,7.220479999999999
best,512,8192,8,gvr_multicta_cutedsl,12.6656,11.14944
best,512,8192,8,radix_single_cuda,17.072,15.431040000000001
best,512,8192,8,radix_multi_cuda,35.44005,33.00096
best,512,8192,8,op27_hls,12.4848,11.08418
best,512,8192,8,op26_r0auto,10.0176,8.346879999999999
best,512,8192,8,sglang_v2,5.44,4.83968
best,512,8192,8,flashinfer_topk,11.6624,10.85698
best,512,8192,16,gvr_cutedsl,12.68,11.15072
best,512,8192,16,radix_cutedsl,7.8208,7.229439999999999
best,512,8192,16,gvr_multicta_cutedsl,12.734399999999999,11.145620000000001
best,512,8192,16,radix_single_cuda,17.09925,15.44448
best,512,8192,16,radix_multi_cuda,35.41765,32.938900000000004
best,512,8192,16,op27_hls,12.414399999999999,11.08416
best,512,8192,16,op26_r0auto,10.0208,8.35264
best,512,8192,16,sglang_v2,5.5168,4.8326400000000005
best,512,8192,16,flashinfer_topk,13.7568,13.0733
best,512,8192,32,gvr_cutedsl,12.936,11.23392
best,512,8192,32,radix_cutedsl,7.904,7.276800000000001
best,512,8192,32,gvr_multicta_cutedsl,12.780850000000001,11.239040000000001
best,512,8192,32,radix_single_cuda,17.148799999999998,15.511059999999999
best,512,8192,32,radix_multi_cuda,35.39845,33.21984
best,512,8192,32,op27_hls,12.712,11.16992
best,512,8192,32,op26_r0auto,10.168,8.41986
best,512,8192,32,sglang_v2,5.6192,4.86912
best,512,8192,32,flashinfer_topk,14.6048,14.00898
best,512,8192,64,gvr_cutedsl,13.1072,11.32672
best,512,8192,64,radix_cutedsl,8.216,7.31968
best,512,8192,64,gvr_multicta_cutedsl,13.0208,11.32608
best,512,8192,64,radix_single_cuda,17.328,15.571219999999999
best,512,8192,64,radix_multi_cuda,36.24,33.53601999999999
best,512,8192,64,op27_hls,12.872,11.35552
best,512,8192,64,op26_r0auto,10.411200000000001,8.47554
best,512,8192,64,sglang_v2,5.752,4.91072
best,512,8192,64,flashinfer_topk,13.884799999999998,12.86208
best,512,8192,128,gvr_cutedsl,13.635200000000001,11.53856
best,512,8192,128,radix_cutedsl,8.7873,7.42528
best,512,8192,128,gvr_multicta_cutedsl,13.49445,11.542399999999999
best,512,8192,128,radix_single_cuda,17.7648,15.7376
best,512,8192,128,radix_multi_cuda,42.78885,41.11298
best,512,8192,128,op27_hls,13.329600000000001,11.61152
best,512,8192,128,op26_r0auto,10.8608,8.67136
best,512,8192,128,sglang_v2,6.3216,5.03296
best,512,8192,128,flashinfer_topk,13.5648,12.59842
best,512,8192,256,gvr_cutedsl,17.6576,14.99008
best,512,8192,256,radix_cutedsl,15.460799999999999,13.446399999999999
best,512,8192,256,gvr_multicta_cutedsl,17.011200000000002,14.32256
best,512,8192,256,radix_single_cuda,25.312,23.41378
best,512,8192,256,radix_multi_cuda,78.3841,76.16388
best,512,8192,256,op27_hls,15.0656,12.898579999999999
best,512,8192,256,op26_r0auto,13.8352,10.97282
best,512,8192,256,sglang_v2,8.072,6.8608199999999995
best,512,8192,256,flashinfer_topk,11.8656,10.19968
best,512,8192,512,gvr_cutedsl,29.9648,26.68864
best,512,8192,512,radix_cutedsl,28.1281,25.2576
best,512,8192,512,gvr_multicta_cutedsl,30.888,27.057299999999998
best,512,8192,512,radix_single_cuda,44.2576,41.67298
best,512,8192,512,radix_multi_cuda,139.27365,137.03688
best,512,8192,512,op27_hls,27.961650000000002,22.80578
best,512,8192,512,op26_r0auto,24.19375,19.762580000000003
best,512,8192,512,sglang_v2,13.608,12.0109
best,512,8192,512,flashinfer_topk,20.84805,18.349439999999998
best,512,8192,1024,gvr_cutedsl,46.75685,42.3501
best,512,8192,1024,radix_cutedsl,47.5856,43.230760000000004
best,512,8192,1024,gvr_multicta_cutedsl,53.83525,47.55716
best,512,8192,1024,radix_single_cuda,71.632,68.69254
best,512,8192,1024,radix_multi_cuda,254.1361,251.7902
best,512,8192,1024,op27_hls,41.93285,35.555879999999995
best,512,8192,1024,op26_r0auto,37.34245,31.11234
best,512,8192,1024,sglang_v2,22.11045,19.74464
best,512,8192,1024,flashinfer_topk,35.352,31.046400000000002
best,512,8192,2048,gvr_cutedsl,84.18405,79.29216000000001
best,512,8192,2048,radix_cutedsl,92.10095,84.62722
best,512,8192,2048,gvr_multicta_cutedsl,99.7072,90.85124
best,512,8192,2048,radix_single_cuda,135.57770000000002,132.13768
best,512,8192,2048,radix_multi_cuda,500.14905,498.77724
best,512,8192,2048,op27_hls,71.38725,64.53636
best,512,8192,2048,op26_r0auto,64.14569999999999,57.67618
best,512,8192,2048,sglang_v2,40.10085,36.56192
best,512,8192,2048,flashinfer_topk,66.8369,58.77058
best,512,16384,1,gvr_cutedsl,13.5328,12.138879999999999
best,512,16384,1,radix_cutedsl,11.1968,10.616959999999999
best,512,16384,1,gvr_multicta_cutedsl,13.491200000000001,12.13378
best,512,16384,1,radix_single_cuda,20.0352,17.32738
best,512,16384,1,radix_multi_cuda,37.74245,32.55744
best,512,16384,1,op27_hls,15.3072,14.08706
best,512,16384,1,op26_r0auto,11.804799999999998,10.43712
best,512,16384,1,sglang_v2,6.9872,6.13826
best,512,16384,1,flashinfer_topk,11.9264,10.88898
best,512,16384,2,gvr_cutedsl,13.446399999999999,12.1389
best,512,16384,2,radix_cutedsl,11.246450000000001,10.65216
best,512,16384,2,gvr_multicta_cutedsl,13.6576,12.12416
best,512,16384,2,radix_single_cuda,20.04,17.366400000000002
best,512,16384,2,radix_multi_cuda,37.3376,32.54144
best,512,16384,2,op27_hls,15.264,14.07874
best,512,16384,2,op26_r0auto,11.8736,10.4333
