scenario,K,N,arm,us_cold,us_warm
best,512,4096,gvr_cutedsl,12.72325,10.544
best,512,4096,radix_cutedsl,6.3568,5.77472
best,512,4096,gvr_multicta_cutedsl,12.2544,10.4589
best,512,4096,radix_single_cuda,14.51685,13.57888
best,512,4096,radix_multi_cuda,36.203199999999995,31.50082
best,512,4096,op27_hls,11.7424,10.191379999999999
best,512,4096,op26_r0auto,10.195200000000002,8.30656
best,512,4096,sglang_v2,4.9072,4.02496
best,512,4096,flashinfer_topk,6.4944,5.990399999999999
best,512,8192,gvr_cutedsl,12.6736,11.13922
best,512,8192,radix_cutedsl,7.707199999999999,7.19168
best,512,8192,gvr_multicta_cutedsl,12.6096,11.14752
best,512,8192,radix_single_cuda,16.929650000000002,15.38496
best,512,8192,radix_multi_cuda,37.712,32.59586
best,512,8192,op27_hls,12.5136,11.13666
best,512,8192,op26_r0auto,9.8816,8.34624
best,512,8192,sglang_v2,5.5616,4.8096000000000005
best,512,8192,flashinfer_topk,11.3824,10.632959999999999
best,512,16384,gvr_cutedsl,13.4512,12.13248
best,512,16384,radix_cutedsl,11.1872,10.60416
best,512,16384,gvr_multicta_cutedsl,13.444799999999999,12.147219999999999
best,512,16384,radix_single_cuda,20.056,17.296
best,512,16384,radix_multi_cuda,37.752050000000004,32.57282
best,512,16384,op27_hls,15.2768,14.097280000000001
best,512,16384,op26_r0auto,11.7568,10.44736
best,512,16384,sglang_v2,7.00165,6.13952
best,512,16384,flashinfer_topk,11.90405,10.89408
best,512,32768,gvr_cutedsl,13.987200000000001,12.205459999999999
best,512,32768,radix_cutedsl,18.7456,18.06464
best,512,32768,gvr_multicta_cutedsl,13.9792,12.20098
best,512,32768,radix_single_cuda,27.072,22.60034
best,512,32768,radix_multi_cuda,39.11525,33.92772
best,512,32768,op27_hls,19.1872,17.75618
best,512,32768,op26_r0auto,13.489600000000001,11.66208
best,512,32768,sglang_v2,10.4832,8.47042
best,512,32768,flashinfer_topk,11.64485,10.92288
best,512,65536,gvr_cutedsl,23.71365,22.12418
best,512,65536,radix_cutedsl,18.576,18.03264
best,512,65536,gvr_multicta_cutedsl,18.88805,17.21794
best,512,65536,radix_single_cuda,42.2752,33.41188
best,512,65536,radix_multi_cuda,40.552,35.87522
best,512,65536,op27_hls,19.7424,18.449939999999998
best,512,65536,op26_r0auto,13.9024,12.33666
best,512,65536,sglang_v2,9.3696,8.31362
best,512,65536,flashinfer_topk,12.5824,11.606399999999999
