model,K,dtype,op,BS,gm_us_cold,gm_us_warm,ratio_vs_base_cold,ratio_vs_base_warm
flash,512,fp32,gvr_cutedsl,1,14.829,12.216,1.0,1.0
flash,512,fp32,gvr_cutedsl,2,14.707,12.196,1.0,1.0
flash,512,fp32,gvr_cutedsl,4,14.940,12.338,1.0,1.0
flash,512,fp32,gvr_cutedsl,8,15.101,12.426,1.0,1.0
flash,512,fp32,gvr_cutedsl,16,15.391,12.749,1.0,1.0
flash,512,fp32,gvr_cutedsl,32,15.775,12.962,1.0,1.0
flash,512,fp32,gvr_cutedsl,64,16.301,13.061,1.0,1.0
flash,512,fp32,gvr_cutedsl,128,17.295,13.446,1.0,1.0
flash,512,fp32,gvr_cutedsl,256,23.181,18.091,1.0,1.0
flash,512,fp32,gvr_cutedsl,512,43.677,33.125,1.0,1.0
flash,512,fp32,gvr_cutedsl,1024,67.593,58.498,1.0,1.0
flash,512,fp32,gvr_cutedsl,2048,112.271,105.715,1.0,1.0
flash,512,fp32,op21_legacy,1,17.274,15.283,1.1649,1.251
flash,512,fp32,op21_legacy,2,17.349,15.287,1.1797,1.2535
flash,512,fp32,op21_legacy,4,17.552,15.387,1.1748,1.2471
flash,512,fp32,op21_legacy,8,17.654,15.492,1.1691,1.2467
flash,512,fp32,op21_legacy,16,17.892,15.804,1.1625,1.2397
flash,512,fp32,op21_legacy,32,18.233,16.014,1.1558,1.2355
flash,512,fp32,op21_legacy,64,18.598,16.185,1.1409,1.2391
flash,512,fp32,op21_legacy,128,19.411,16.642,1.1224,1.2377
flash,512,fp32,op21_legacy,256,22.356,18.478,0.9644,1.0214
flash,512,fp32,op21_legacy,512,43.286,33.137,0.9911,1.0004
flash,512,fp32,op21_legacy,1024,66.876,58.098,0.9894,0.9932
flash,512,fp32,op21_legacy,2048,110.488,104.550,0.9841,0.989
flash,512,fp32,op27_hls,1,17.229,15.241,1.1618,1.2476
flash,512,fp32,op27_hls,2,17.311,15.244,1.1771,1.2499
flash,512,fp32,op27_hls,4,17.482,15.351,1.1701,1.2443
flash,512,fp32,op27_hls,8,17.684,15.481,1.1711,1.2459
flash,512,fp32,op27_hls,16,17.908,15.769,1.1635,1.2369
flash,512,fp32,op27_hls,32,18.233,15.985,1.1558,1.2332
flash,512,fp32,op27_hls,64,18.594,16.175,1.1406,1.2384
flash,512,fp32,op27_hls,128,19.363,16.583,1.1196,1.2333
