model,K,dtype,layer,hit_rate,op,us_cold,us_warm,vdiff,recall,n_neg
flash,512,bf16,2,0.4375,gvr_cutedsl,14.661,10.959,0.0,1.0,0
flash,512,bf16,2,0.4375,gvr_multicta_cutedsl,11.554,9.489,0.0,1.0,0
flash,512,bf16,2,0.4375,op21_legacy,20.997,18.033,0.0,1.0,0
flash,512,bf16,2,0.4375,op26_1cta,13.333,10.903,0.0,1.0,0
flash,512,bf16,2,0.4375,op26_mc,11.461,9.495,0.0,1.0,0
flash,512,bf16,2,0.4375,op26_r0auto,18.595,16.068,0.0,1.0,0
flash,512,bf16,2,0.4375,op27_hls,23.715,18.122,0.0,1.0,0
flash,512,bf16,2,0.4375,radix_cutedsl,14.160,13.110,0.0,1.0,0
flash,512,bf16,2,0.4375,radix_multi_cuda,37.974,33.681,0.0,1.0,0
flash,512,bf16,2,0.4375,radix_single_cuda,22.139,19.515,0.0,1.0,0
flash,512,bf16,4,0.3281,gvr_cutedsl,12.718,10.795,0.0,1.0,0
flash,512,bf16,4,0.3281,gvr_multicta_cutedsl,11.786,9.369,0.0,1.0,0
flash,512,bf16,4,0.3281,op21_legacy,22.024,19.592,0.0,1.0,0
flash,512,bf16,4,0.3281,op26_1cta,12.648,10.730,0.0,1.0,0
flash,512,bf16,4,0.3281,op26_mc,11.706,9.359,0.0,1.0,0
flash,512,bf16,4,0.3281,op26_r0auto,13.797,11.974,0.0,1.0,0
flash,512,bf16,4,0.3281,op27_hls,24.998,19.748,0.0,1.0,0
flash,512,bf16,4,0.3281,radix_cutedsl,14.667,13.252,0.0,1.0,0
flash,512,bf16,4,0.3281,radix_multi_cuda,38.261,33.810,0.0,1.0,0
flash,512,bf16,4,0.3281,radix_single_cuda,22.336,19.942,0.0,1.0,0
flash,512,bf16,6,0.5039,gvr_cutedsl,15.768,13.381,0.0,1.0,0
flash,512,bf16,6,0.5039,gvr_multicta_cutedsl,14.218,11.759,0.0,1.0,0
flash,512,bf16,6,0.5039,op21_legacy,24.013,21.320,0.0,1.0,0
flash,512,bf16,6,0.5039,op26_1cta,15.222,13.211,0.0,1.0,0
flash,512,bf16,6,0.5039,op26_mc,13.702,11.754,0.0,1.0,0
