dtype,arm,hint_dependent,hit_plus1,hit_noshift,us_plus1,us_noshift,paired_noshift_speedup,per_layer_min,per_layer_max
fp32,gvr_cutedsl,True,0.441,0.663,20.722,25.605,0.8093,0.599,1.44
fp32,op26_r0auto,True,0.441,0.663,20.011,17.497,1.1437,0.951,1.499
fp32,op27_hls,True,0.441,0.663,25.863,24.239,1.067,0.941,1.274
fp32,op26_1cta,True,0.441,0.663,18.914,21.565,0.8771,0.714,1.654
fp32,op26_mc,True,0.441,0.663,20.266,21.987,0.9217,0.701,1.645
fp32,gvr_multicta_cutedsl,True,0.441,0.663,19.298,21.788,0.8857,0.68,1.26
fp32,radix_cutedsl,False,0.441,0.663,16.812,16.867,0.9968,0.975,1.004
fp32,radix_single_cuda,False,0.441,0.663,48.893,48.936,0.9991,0.993,1.005
fp32,sglang_v2,False,0.441,0.663,11.654,11.63,1.0021,0.992,1.011
fp32,flashinfer_topk,False,0.441,0.663,13.954,13.967,0.999,0.992,1.003
bf16,gvr_cutedsl,True,0.44,0.662,17.434,21.185,0.8229,0.733,1.045
bf16,op26_r0auto,True,0.44,0.662,19.68,17.404,1.1308,0.935,1.519
bf16,op27_hls,True,0.44,0.662,24.183,23.724,1.0193,0.939,1.171
bf16,op26_1cta,True,0.44,0.662,17.379,21.178,0.8206,0.737,1.042
bf16,op26_mc,True,0.44,0.662,18.289,21.537,0.8492,0.632,1.773
bf16,gvr_multicta_cutedsl,True,0.44,0.662,16.755,19.889,0.8424,0.733,1.045
bf16,radix_cutedsl,False,0.44,0.662,11.899,14.584,0.8159,0.795,0.826
bf16,radix_single_cuda,False,0.44,0.662,38.788,39.0,0.9946,0.984,1.007
fp16,gvr_cutedsl,True,0.441,0.663,18.456,22.059,0.8367,0.73,1.041
fp16,op26_r0auto,True,0.441,0.663,19.395,17.349,1.1179,0.939,1.514
fp16,op27_hls,True,0.441,0.663,21.538,20.558,1.0476,0.935,1.294
fp16,op26_1cta,True,0.441,0.663,18.42,21.954,0.839,0.736,1.042
fp16,op26_mc,True,0.441,0.663,18.797,22.127,0.8495,0.596,1.786
fp16,gvr_multicta_cutedsl,True,0.441,0.663,17.052,20.115,0.8477,0.727,1.039
fp16,radix_cutedsl,False,0.441,0.663,11.803,14.501,0.8139,0.793,0.827
fp16,radix_single_cuda,False,0.441,0.663,39.226,39.236,0.9997,0.987,1.025
