scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,512,bf16,4096,1,10.57,8.957,9.605,8.248,9.568,8.269,5.616,4.815,10.479,9.134,10.652,9.444,14.251,13.496,36.742,32.045,10.078,8.861,10.143,9.161,10.708,9.454,,,1.1005,1.1047,1.8821,1.0087,0.9923,0.7417,0.2877,1.0488,1.0421,0.9871,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,2,10.242,8.984,9.259,8.246,9.338,8.284,5.701,4.895,10.705,9.187,10.664,9.481,14.746,13.588,37.301,32.123,10.19,8.905,10.774,9.224,10.986,9.489,,,1.1062,1.0968,1.7965,0.9567,0.9604,0.6946,0.2746,1.0051,0.9506,0.9323,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,4,10.026,8.974,9.371,8.254,9.314,8.291,5.6,4.878,10.199,9.17,10.729,9.487,14.283,13.484,36.239,31.921,10.061,8.883,10.212,9.172,10.532,9.43,,,1.0699,1.0764,1.7904,0.983,0.9345,0.702,0.2767,0.9965,0.9818,0.952,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,8,9.995,8.955,9.389,8.28,9.437,8.278,5.629,4.881,10.326,9.146,10.413,9.453,14.173,13.457,35.501,32.094,9.845,8.89,10.294,9.13,10.492,9.4,,,1.0645,1.0591,1.7756,0.9679,0.9599,0.7052,0.2815,1.0152,0.971,0.9526,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,16,10.093,8.991,9.309,8.243,9.486,8.291,5.675,4.876,10.283,9.17,10.712,9.476,14.217,13.507,34.855,32.251,10.131,8.927,10.435,9.162,10.523,9.463,,,1.0842,1.064,1.7785,0.9815,0.9422,0.7099,0.2896,0.9962,0.9672,0.9591,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,32,10.178,9.012,9.512,8.275,9.406,8.31,5.747,4.915,10.341,9.19,10.77,9.45,14.415,13.507,35.082,32.273,10.251,8.932,10.443,9.192,10.599,9.458,,,1.07,1.0821,1.771,0.9842,0.945,0.7061,0.2901,0.9929,0.9746,0.9603,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,64,10.213,9.103,9.574,8.365,9.594,8.398,5.8,4.945,10.591,9.295,10.763,9.537,14.38,13.486,34.82,32.174,10.299,9.034,10.676,9.29,10.714,9.51,,,1.0667,1.0645,1.7609,0.9643,0.9489,0.7102,0.2933,0.9916,0.9566,0.9532,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,128,10.514,9.263,9.811,8.48,9.773,8.52,6.174,5.16,10.788,9.462,10.962,9.677,14.679,13.69,41.784,39.759,10.435,9.189,10.842,9.457,10.998,9.668,,,1.0717,1.0758,1.7029,0.9746,0.9591,0.7163,0.2516,1.0076,0.9697,0.956,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,256,12.702,11.437,11.098,9.661,11.131,9.72,10.454,8.926,12.731,11.435,12.159,10.671,21.706,21.066,75.487,73.278,11.852,10.421,12.828,11.432,12.149,10.671,,,1.1445,1.1411,1.215,0.9977,1.0447,0.5852,0.1683,1.0717,0.9902,1.0455,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,512,21.514,19.619,20.203,17.08,20.374,17.35,18.878,16.582,21.514,19.625,21.629,19.163,38.604,37.943,134.227,131.694,20.379,18.212,21.538,19.623,21.514,19.189,,,1.0649,1.056,1.1396,1.0,0.9947,0.5573,0.1603,1.0557,0.9989,1.0,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,1024,33.328,31.292,29.49,26.506,30.734,27.152,32.32,28.054,33.274,31.286,33.123,29.745,64.049,63.297,244.721,241.622,31.223,28.275,33.101,31.287,32.951,29.804,,,1.1301,1.0844,1.0312,1.0016,1.0062,0.5204,0.1362,1.0674,1.0069,1.0114,,1,ms_1cta,1,ms_1cta
best,512,bf16,4096,2048,61.141,58.131,51.459,47.624,52.306,48.449,62.243,54.531,61.136,58.13,57.334,53.523,122.738,122.137,479.801,478.301,55.504,51.943,61.133,58.137,57.291,53.504,,,1.1881,1.1689,0.9823,1.0001,1.0664,0.4981,0.1274,1.1016,1.0001,1.0672,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,1,13.205,11.919,10.242,8.771,10.006,8.844,6.76,6.15,13.377,12.253,11.564,10.19,16.4,15.346,37.019,33.166,13.458,11.926,13.428,12.249,11.284,10.259,,,1.2893,1.3197,1.9534,0.9871,1.1419,0.8052,0.3567,0.9812,0.9834,1.1702,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,2,13.15,11.9,9.954,8.76,10.088,8.832,6.757,6.164,13.35,12.268,11.675,10.209,16.54,15.352,37.067,33.147,13.377,11.881,13.258,12.258,11.321,10.273,,,1.3211,1.3035,1.9461,0.985,1.1263,0.795,0.3548,0.983,0.9919,1.1616,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,4,13.234,11.912,10.022,8.776,10.024,8.854,6.773,6.167,13.851,12.292,11.385,10.194,16.361,15.363,36.717,33.494,13.159,11.882,13.874,12.287,11.727,10.262,,,1.3205,1.3202,1.9539,0.9555,1.1624,0.8089,0.3604,1.0057,0.9539,1.1285,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,8,13.139,11.909,10.091,8.772,9.912,8.838,6.787,6.183,13.478,12.226,11.284,10.165,16.027,15.357,35.679,33.243,13.021,11.875,13.57,12.214,11.556,10.236,,,1.3021,1.3256,1.9359,0.9748,1.1644,0.8198,0.3683,1.0091,0.9682,1.137,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,16,13.218,11.88,10.006,8.77,10.176,8.813,6.867,6.166,13.725,12.199,11.571,10.209,16.201,15.295,35.566,33.245,13.191,11.857,13.845,12.192,11.647,10.201,,,1.321,1.2989,1.9249,0.9631,1.1423,0.8159,0.3716,1.002,0.9547,1.1349,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,32,13.338,11.94,10.21,8.792,10.285,8.867,6.93,6.218,13.647,12.285,11.826,10.256,16.396,15.364,36.083,33.429,13.565,11.914,13.849,12.286,11.723,10.256,,,1.3064,1.2968,1.9247,0.9774,1.1279,0.8135,0.3696,0.9833,0.9631,1.1378,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,64,13.354,12.045,10.317,8.888,10.32,8.943,7.066,6.248,13.631,12.382,11.619,10.354,16.265,15.367,35.582,33.214,13.281,12.038,13.678,12.373,11.679,10.372,,,1.2944,1.294,1.8899,0.9797,1.1493,0.821,0.3753,1.0055,0.9763,1.1434,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,128,13.744,12.225,10.538,9.011,10.554,9.08,7.336,6.353,14.143,12.561,11.963,10.506,16.589,15.566,42.449,41.0,13.685,12.168,14.283,12.546,12.012,10.486,,,1.3042,1.3023,1.8735,0.9718,1.1489,0.8285,0.3238,1.0043,0.9623,1.1442,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,256,17.171,15.401,12.968,11.158,13.133,11.276,12.885,11.311,17.189,15.417,14.244,12.224,24.46,23.556,78.261,76.124,13.258,11.483,17.219,15.398,14.134,12.25,,,1.3241,1.3075,1.3326,0.999,1.2055,0.702,0.2194,1.2951,0.9972,1.2149,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,512,29.274,26.744,23.379,19.919,23.918,20.438,23.494,21.196,29.204,26.771,25.395,22.3,43.483,42.46,139.053,137.108,22.816,19.938,29.178,26.766,25.722,22.33,,,1.2521,1.2239,1.246,1.0024,1.1527,0.6732,0.2105,1.283,1.0033,1.1381,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,1024,45.707,42.795,35.248,30.826,35.966,31.786,40.05,36.115,45.751,42.796,38.74,34.72,71.408,70.432,254.199,251.925,34.617,31.193,45.775,42.805,39.072,34.81,,,1.2967,1.2708,1.1412,0.999,1.1798,0.6401,0.1798,1.3204,0.9985,1.1698,,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,2048,84.354,80.408,60.502,56.068,62.442,57.646,77.907,70.536,84.328,80.38,67.463,62.642,137.383,136.064,500.854,498.423,62.184,57.617,84.468,80.363,67.323,62.696,,,1.3942,1.3509,1.0828,1.0003,1.2504,0.614,0.1684,1.3565,0.9987,1.253,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,1,12.466,10.949,12.286,10.415,11.926,10.41,9.893,9.184,11.583,10.606,15.145,13.345,18.975,17.317,36.26,32.789,12.704,10.832,11.589,10.591,14.618,13.286,,,1.0147,1.0453,1.2601,1.0762,0.8231,0.657,0.3438,0.9813,1.0757,0.8528,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,2,12.574,10.915,12.262,10.39,11.907,10.431,9.89,9.201,12.217,10.547,15.005,13.317,18.817,17.408,36.356,33.006,12.39,10.844,12.183,10.558,15.181,13.251,,,1.0254,1.056,1.2714,1.0292,0.838,0.6682,0.3459,1.0149,1.0321,0.8283,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,4,12.507,10.898,12.246,10.404,11.984,10.404,9.851,9.194,12.043,10.528,14.89,13.29,18.667,17.173,36.012,32.849,12.393,10.832,12.04,10.525,14.978,13.191,,,1.0213,1.0436,1.2696,1.0385,0.84,0.67,0.3473,1.0092,1.0388,0.835,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,8,12.651,10.932,12.12,10.383,12.011,10.4,9.894,9.203,12.161,10.605,15.14,13.338,18.975,17.33,36.488,33.038,12.681,10.866,12.146,10.613,15.042,13.203,,,1.0438,1.0533,1.2787,1.0403,0.8356,0.6667,0.3467,0.9976,1.0416,0.841,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,16,12.72,10.922,12.376,10.405,12.157,10.385,9.955,9.219,12.248,10.574,15.025,13.245,18.853,17.329,35.875,33.241,12.547,10.86,12.24,10.567,15.22,13.243,,,1.0278,1.0463,1.2777,1.0385,0.8466,0.6747,0.3546,1.0138,1.0392,0.8357,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,32,12.642,10.954,12.349,10.435,12.174,10.43,9.973,9.256,12.126,10.605,14.862,13.231,18.638,17.327,34.573,32.624,12.487,10.896,12.089,10.608,14.936,13.25,,,1.0237,1.0384,1.2676,1.0426,0.8506,0.6783,0.3657,1.0124,1.0457,0.8464,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,64,12.925,11.069,12.493,10.548,12.358,10.531,10.142,9.325,12.391,10.754,15.366,13.345,18.838,17.309,36.01,33.422,12.866,10.968,12.368,10.759,15.435,13.323,,,1.0346,1.0459,1.2744,1.0431,0.8411,0.6861,0.3589,1.0046,1.045,0.8374,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,128,13.445,11.283,13.099,10.701,12.901,10.68,10.757,9.467,12.911,10.956,15.688,13.518,19.242,17.637,43.602,42.034,13.327,11.177,12.931,10.96,15.785,13.52,,,1.0264,1.0422,1.2499,1.0414,0.857,0.6987,0.3084,1.0089,1.0397,0.8518,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,256,16.83,14.426,17.16,14.676,17.045,14.659,19.128,17.427,16.496,14.514,19.15,16.982,27.519,26.457,79.835,77.973,16.304,14.032,16.593,14.509,19.103,16.979,,,0.9808,0.9874,0.8799,1.0202,0.8789,0.6116,0.2108,1.0323,1.0143,0.881,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,512,29.718,26.007,29.698,25.941,30.448,25.856,35.821,33.294,28.254,25.085,33.824,30.185,49.044,47.476,140.908,138.515,28.612,24.784,28.214,25.07,34.077,30.093,,,1.0007,0.976,0.8296,1.0518,0.8786,0.6059,0.2109,1.0387,1.0533,0.8721,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,1024,46.394,41.664,45.678,40.711,45.731,40.638,61.338,57.157,43.772,39.857,52.113,47.349,80.743,78.874,260.424,256.792,44.092,39.391,43.629,39.844,52.082,47.433,,,1.0157,1.0145,0.7564,1.0599,0.8903,0.5746,0.1781,1.0522,1.0634,0.8908,,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,2048,83.722,77.524,81.32,74.815,81.133,74.71,119.909,112.442,80.348,75.44,94.058,88.054,153.766,152.2,510.206,509.59,79.485,72.937,80.375,75.322,93.945,87.902,,,1.0295,1.0319,0.6982,1.042,0.8901,0.5445,0.1641,1.0533,1.0416,0.8912,,1,ms_1cta,1,ms_1cta
best,512,bf16,32768,1,14.546,12.95,13.933,11.43,13.538,11.423,14.277,13.485,14.776,13.308,16.128,13.918,23.63,21.251,37.796,34.556,14.585,12.959,14.782,13.3,16.162,13.921,,,1.044,1.0745,1.0188,0.9844,0.9019,0.6156,0.3849,0.9973,0.984,0.9,,1,ms_1cta,1,ms_1cta
best,512,bf16,32768,2,14.371,12.941,13.637,11.425,13.491,11.42,14.371,13.595,15.098,13.311,15.489,13.961,23.397,21.37,37.027,34.174,14.24,12.922,15.156,13.317,15.767,13.919,,,1.0538,1.0652,1.0,0.9518,0.9278,0.6142,0.3881,1.0092,0.9482,0.9115,,1,ms_1cta,1,ms_1cta
best,512,bf16,32768,4,14.397,12.928,13.68,11.425,13.637,11.415,14.826,13.736,14.952,13.268,15.969,13.942,23.304,21.309,36.76,34.119,14.304,12.925,14.871,13.268,16.006,13.891,,,1.0524,1.0557,0.9711,0.9629,0.9016,0.6178,0.3916,1.0065,0.9681,0.8995,,1,ms_1cta,1,ms_1cta
