scenario,sweep,K,dtype,N,BS,cluster_size,mc_cold_us_074,mc_warm_us_074,base_cold_us_074,base_warm_us_074,speedup_same_node_cold
best,bs,512,bf16,4096,1,1,10.479,9.134,10.742,9.112,1.0251
best,bs,512,bf16,4096,2,1,10.705,9.187,10.136,9.075,0.9468
best,bs,512,bf16,4096,4,1,10.199,9.17,10.213,9.072,1.0014
best,bs,512,bf16,4096,8,1,10.326,9.146,10.243,9.105,0.992
best,bs,512,bf16,4096,16,1,10.283,9.17,10.166,9.101,0.9886
best,bs,512,bf16,4096,32,1,10.341,9.19,10.304,9.142,0.9964
best,bs,512,bf16,4096,64,1,10.591,9.295,10.229,9.169,0.9658
best,bs,512,bf16,4096,128,1,10.788,9.462,10.544,9.283,0.9774
best,bs,512,bf16,4096,256,1,12.731,11.435,12.622,11.471,0.9914
best,bs,512,bf16,4096,512,1,21.514,19.625,21.507,19.65,0.9997
best,bs,512,bf16,4096,1024,1,33.274,31.286,33.432,31.429,1.0047
best,bs,512,bf16,4096,2048,1,61.136,58.13,61.349,58.245,1.0035
best,bs,512,bf16,8192,1,1,13.377,12.253,13.541,12.04,1.0123
best,bs,512,bf16,8192,2,1,13.35,12.268,13.514,12.019,1.0123
best,bs,512,bf16,8192,4,1,13.851,12.292,13.366,12.015,0.965
best,bs,512,bf16,8192,8,1,13.478,12.226,13.464,12.079,0.999
best,bs,512,bf16,8192,16,1,13.725,12.199,13.28,12.061,0.9676
best,bs,512,bf16,8192,32,1,13.647,12.285,13.498,12.064,0.9891
best,bs,512,bf16,8192,64,1,13.631,12.382,13.571,12.094,0.9956
best,bs,512,bf16,8192,128,1,14.143,12.561,13.826,12.239,0.9776
best,bs,512,bf16,8192,256,1,17.189,15.417,17.24,15.431,1.003
best,bs,512,bf16,8192,512,1,29.204,26.771,29.323,26.739,1.0041
best,bs,512,bf16,8192,1024,1,45.751,42.796,45.698,42.871,0.9988
best,bs,512,bf16,8192,2048,1,84.328,80.38,84.319,80.478,0.9999
best,bs,512,bf16,16384,1,1,11.583,10.606,13.08,11.115,1.1292
best,bs,512,bf16,16384,2,1,12.217,10.547,12.735,11.091,1.0424
best,bs,512,bf16,16384,4,1,12.043,10.528,12.712,11.098,1.0556
best,bs,512,bf16,16384,8,1,12.161,10.605,12.71,11.086,1.0451
best,bs,512,bf16,16384,16,1,12.248,10.574,12.735,11.102,1.0398
best,bs,512,bf16,16384,32,1,12.126,10.605,12.8,11.125,1.0556
best,bs,512,bf16,16384,64,1,12.391,10.754,12.998,11.139,1.049
best,bs,512,bf16,16384,128,1,12.911,10.956,13.523,11.282,1.0474
best,bs,512,bf16,16384,256,1,16.496,14.514,17.031,14.405,1.0324
best,bs,512,bf16,16384,512,1,28.254,25.085,29.782,26.085,1.0541
best,bs,512,bf16,16384,1024,1,43.772,39.857,46.562,41.845,1.0637
best,bs,512,bf16,16384,2048,1,80.348,75.44,83.754,77.723,1.0424
best,bs,512,bf16,32768,1,1,14.776,13.308,14.811,13.122,1.0024
best,bs,512,bf16,32768,2,1,15.098,13.311,14.558,13.093,0.9642
best,bs,512,bf16,32768,4,1,14.952,13.268,14.722,13.114,0.9846
best,bs,512,bf16,32768,8,1,15.044,13.291,14.768,13.135,0.9817
best,bs,512,bf16,32768,16,1,15.458,13.276,14.685,13.133,0.95
best,bs,512,bf16,32768,32,1,15.509,13.325,14.923,13.171,0.9622
best,bs,512,bf16,32768,64,1,15.765,13.464,15.405,13.258,0.9772
best,bs,512,bf16,32768,128,1,16.387,13.711,16.206,13.398,0.989
best,bs,512,bf16,32768,256,1,22.713,19.607,21.946,18.91,0.9662
best,bs,512,bf16,32768,512,1,38.451,33.952,37.6,33.061,0.9779
best,bs,512,bf16,32768,1024,1,61.298,55.874,59.619,54.336,0.9726
best,bs,512,bf16,32768,2048,1,111.922,110.193,109.565,107.25,0.9789
best,bs,512,bf16,65536,1,4,20.676,19.212,24.115,22.628,1.1663
best,bs,512,bf16,65536,2,4,20.768,19.324,23.998,22.608,1.1555
best,bs,512,bf16,65536,4,4,20.789,19.259,24.191,22.645,1.1636
best,bs,512,bf16,65536,8,4,21.069,19.449,24.158,22.669,1.1466
best,bs,512,bf16,65536,16,4,21.274,19.48,24.312,22.666,1.1428
best,bs,512,bf16,65536,32,2,22.952,21.133,24.531,22.71,1.0688
best,bs,512,bf16,65536,64,2,23.662,21.521,25.115,22.815,1.0614
best,bs,512,bf16,65536,128,1,26.507,23.565,26.157,23.07,0.9868
best,bs,512,bf16,65536,256,1,44.51,40.157,42.454,38.077,0.9538
best,bs,512,bf16,65536,512,1,79.156,71.271,75.933,67.418,0.9593
best,bs,512,bf16,65536,1024,1,127.045,122.037,120.42,115.314,0.9479
best,bs,512,bf16,65536,2048,1,235.973,232.01,222.964,218.34,0.9449
best,bs,512,bf16,131072,1,4,17.523,16.181,24.68,23.012,1.4084
best,bs,512,bf16,131072,2,4,17.245,16.22,24.683,23.017,1.4313
best,bs,512,bf16,131072,4,4,17.769,16.253,24.511,23.029,1.3794
best,bs,512,bf16,131072,8,4,17.947,16.344,24.56,23.066,1.3685
best,bs,512,bf16,131072,16,4,18.322,16.395,24.883,23.079,1.3581
best,bs,512,bf16,131072,32,2,21.352,19.324,25.341,23.133,1.1868
best,bs,512,bf16,131072,64,2,22.916,19.682,26.022,23.286,1.1355
best,bs,512,bf16,131072,128,1,28.687,24.08,28.09,23.585,0.9792
best,bs,512,bf16,131072,256,1,51.759,42.153,49.313,39.896,0.9527
best,bs,512,bf16,131072,512,1,118.399,103.99,102.464,89.778,0.8654
best,bs,512,bf16,131072,1024,1,174.236,155.842,156.589,140.781,0.8987
best,bs,512,bf16,131072,2048,1,280.872,265.282,266.118,252.457,0.9475
best,bs,512,bf16,262144,1,4,19.842,18.253,36.189,34.353,1.8239
best,bs,512,bf16,262144,2,4,19.894,18.301,36.355,34.362,1.8274
best,bs,512,bf16,262144,4,4,19.998,18.348,36.322,34.373,1.8163
best,bs,512,bf16,262144,8,4,20.213,18.449,36.583,34.431,1.8099
best,bs,512,bf16,262144,16,4,20.941,18.485,36.719,34.433,1.7535
best,bs,512,bf16,262144,32,2,28.212,25.162,37.262,34.497,1.3208
best,bs,512,bf16,262144,64,2,30.265,25.569,38.456,34.704,1.2706
best,bs,512,bf16,262144,128,1,46.941,36.548,44.677,35.03,0.9518
best,bs,512,bf16,262144,256,1,103.637,92.138,96.623,85.328,0.9323
best,bs,512,bf16,262144,512,1,201.356,172.187,190.494,157.521,0.9461
best,bs,512,bf16,262144,1024,1,315.663,295.557,303.981,277.123,0.963
best,bs,512,bf16,262144,2048,1,566.11,551.474,543.618,524.952,0.9603
best,bs,512,bf16,524288,2,4,26.814,24.771,61.699,58.858,2.301
best,bs,512,bf16,524288,4,4,26.961,24.73,61.511,58.897,2.2815
best,bs,512,bf16,524288,8,4,27.399,24.872,61.674,58.91,2.251
best,bs,512,bf16,524288,16,4,28.051,24.926,61.861,58.938,2.2053
best,bs,512,bf16,524288,32,2,42.23,37.832,62.655,59.024,1.4837
best,bs,512,bf16,524288,64,2,48.4,38.299,66.855,59.255,1.3813
best,bs,512,bf16,1048576,2,4,42.014,39.172,113.618,109.821,2.7043
best,bs,512,bf16,1048576,4,4,42.409,39.141,113.423,109.86,2.6745
best,bs,512,bf16,1048576,8,4,42.766,39.268,113.544,109.906,2.655
best,bs,512,bf16,1048576,16,4,43.942,39.384,114.031,109.936,2.595
best,bs,512,bf16,1048576,32,2,74.479,65.425,116.218,110.009,1.5604
best,bs,512,bf16,1048576,64,2,102.294,91.651,134.58,126.824,1.3156
best,bs,512,fp16,4096,1,1,11.11,9.983,12.149,10.5,1.0935
best,bs,512,fp16,4096,2,1,11.087,9.996,11.57,10.467,1.0436
best,bs,512,fp16,4096,4,1,11.158,10.133,11.554,10.453,1.0355
best,bs,512,fp16,4096,8,1,11.367,10.117,11.64,10.492,1.024
best,bs,512,fp16,4096,16,1,11.458,10.466,11.523,10.509,1.0057
best,bs,512,fp16,4096,32,1,11.567,10.639,11.827,10.534,1.0225
best,bs,512,fp16,4096,64,1,11.915,10.686,11.71,10.577,0.9828
best,bs,512,fp16,4096,128,1,12.22,10.848,11.954,10.7,0.9782
best,bs,512,fp16,4096,256,1,14.872,13.479,14.693,13.537,0.988
best,bs,512,fp16,4096,512,1,25.24,23.402,25.08,23.4,0.9937
best,bs,512,fp16,4096,1024,1,39.253,37.42,39.446,37.564,1.0049
best,bs,512,fp16,4096,2048,1,72.922,70.089,72.982,70.172,1.0008
best,bs,512,fp16,8192,1,1,14.05,12.678,14.658,13.052,1.0433
best,bs,512,fp16,8192,2,1,13.824,12.643,14.512,13.037,1.0498
best,bs,512,fp16,8192,4,1,14.514,12.78,14.43,13.054,0.9942
best,bs,512,fp16,8192,8,1,14.282,12.768,14.597,13.106,1.0221
best,bs,512,fp16,8192,16,1,14.746,13.113,14.36,13.092,0.9738
best,bs,512,fp16,8192,32,1,14.8,13.25,14.453,13.108,0.9766
best,bs,512,fp16,8192,64,1,14.616,13.302,14.662,13.148,1.0031
best,bs,512,fp16,8192,128,1,15.03,13.517,14.936,13.294,0.9937
best,bs,512,fp16,8192,256,1,18.676,16.776,18.618,16.819,0.9969
best,bs,512,fp16,8192,512,1,31.864,29.399,31.826,29.381,0.9988
best,bs,512,fp16,8192,1024,1,50.149,47.117,49.902,47.178,0.9951
best,bs,512,fp16,8192,2048,1,92.467,88.634,92.395,88.681,0.9992
best,bs,512,fp16,16384,1,1,14.115,12.579,15.562,13.628,1.1025
best,bs,512,fp16,16384,2,1,14.269,12.527,15.261,13.589,1.0695
best,bs,512,fp16,16384,4,1,14.315,12.641,15.331,13.613,1.071
best,bs,512,fp16,16384,8,1,14.388,12.684,15.288,13.645,1.0626
best,bs,512,fp16,16384,16,1,14.742,13.023,15.261,13.618,1.0352
best,bs,512,fp16,16384,32,1,14.685,13.184,15.421,13.64,1.0501
best,bs,512,fp16,16384,64,1,14.778,13.232,15.589,13.695,1.0549
