scenario,sweep,K,dtype,N,BS,ms_path,op25_cold_us_local,op25_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,4096,1,ms_1cta,10.652,9.444,9.872,8.552,0.9268
best,bs,512,bf16,4096,2,ms_1cta,10.664,9.481,9.486,8.537,0.8895
best,bs,512,bf16,4096,4,ms_1cta,10.729,9.487,9.485,8.554,0.8841
best,bs,512,bf16,4096,8,ms_1cta,10.413,9.453,9.686,8.546,0.9302
best,bs,512,bf16,4096,16,ms_1cta,10.712,9.476,9.808,8.896,0.9156
best,bs,512,bf16,4096,32,ms_1cta,10.77,9.45,10.088,9.045,0.9367
best,bs,512,bf16,4096,64,ms_1cta,10.763,9.537,10.195,9.11,0.9472
best,bs,512,bf16,4096,128,ms_1cta,10.962,9.677,10.512,9.305,0.9589
best,bs,512,bf16,4096,256,ms_1cta,12.159,10.671,12.639,11.475,1.0395
best,bs,512,bf16,4096,512,ms_1cta,21.629,19.163,21.573,19.674,0.9974
best,bs,512,bf16,4096,1024,ms_1cta,33.123,29.745,33.397,31.396,1.0083
best,bs,512,bf16,4096,2048,ms_1cta,57.334,53.523,61.319,58.199,1.0695
best,bs,512,bf16,8192,1,ms_1cta,11.564,10.19,12.786,11.476,1.1057
best,bs,512,bf16,8192,2,ms_1cta,11.675,10.209,12.559,11.437,1.0757
best,bs,512,bf16,8192,4,ms_1cta,11.385,10.194,12.786,11.493,1.1231
best,bs,512,bf16,8192,8,ms_1cta,11.284,10.165,12.885,11.501,1.1419
best,bs,512,bf16,8192,16,ms_1cta,11.571,10.209,12.995,11.818,1.1231
best,bs,512,bf16,8192,32,ms_1cta,11.826,10.256,13.207,11.966,1.1168
best,bs,512,bf16,8192,64,ms_1cta,11.619,10.354,13.453,12.054,1.1578
best,bs,512,bf16,8192,128,ms_1cta,11.963,10.506,13.835,12.252,1.1565
best,bs,512,bf16,8192,256,ms_1cta,14.244,12.224,17.202,15.443,1.2077
best,bs,512,bf16,8192,512,ms_1cta,25.395,22.3,29.354,26.817,1.1559
best,bs,512,bf16,8192,1024,ms_1cta,38.74,34.72,45.711,42.922,1.1799
best,bs,512,bf16,8192,2048,ms_1cta,67.463,62.642,84.332,80.492,1.25
best,bs,512,bf16,16384,1,ms_1cta,15.145,13.345,12.013,10.502,0.7932
best,bs,512,bf16,16384,2,ms_1cta,15.005,13.317,12.109,10.488,0.807
best,bs,512,bf16,16384,4,ms_1cta,14.89,13.29,12.227,10.522,0.8212
best,bs,512,bf16,16384,8,ms_1cta,15.14,13.338,12.253,10.52,0.8093
best,bs,512,bf16,16384,16,ms_1cta,15.025,13.245,12.501,10.856,0.832
best,bs,512,bf16,16384,32,ms_1cta,14.862,13.231,12.802,10.988,0.8614
best,bs,512,bf16,16384,64,ms_1cta,15.366,13.345,12.85,11.091,0.8363
best,bs,512,bf16,16384,128,ms_1cta,15.688,13.518,13.581,11.308,0.8657
best,bs,512,bf16,16384,256,ms_1cta,19.15,16.982,16.928,14.428,0.884
best,bs,512,bf16,16384,512,ms_1cta,33.824,30.185,30.018,26.207,0.8875
best,bs,512,bf16,16384,1024,ms_1cta,52.113,47.349,46.464,41.855,0.8916
best,bs,512,bf16,16384,2048,ms_1cta,94.058,88.054,83.58,77.413,0.8886
best,bs,512,bf16,32768,1,ms_1cta,16.128,13.918,14.365,12.551,0.8907
best,bs,512,bf16,32768,2,ms_1cta,15.489,13.961,14.699,12.534,0.949
best,bs,512,bf16,32768,4,ms_1cta,15.969,13.942,14.229,12.563,0.891
best,bs,512,bf16,32768,8,ms_1cta,15.968,13.952,14.338,12.561,0.8979
