scenario,sweep,K,dtype,N,BS,op,op26_cold_us_local,op26_warm_us_local,anchor_op,anchor_cold_us_local,anchor_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,4096,1,op26_1cta,9.477,8.449,gvr_cutedsl,9.744,8.53,1.0282
best,bs,512,bf16,4096,2,op26_1cta,9.408,8.458,gvr_cutedsl,9.504,8.524,1.0102
best,bs,512,bf16,4096,4,op26_1cta,9.61,8.492,gvr_cutedsl,9.474,8.551,0.9858
best,bs,512,bf16,4096,8,op26_1cta,9.554,8.497,gvr_cutedsl,9.623,8.549,1.0072
best,bs,512,bf16,4096,16,op26_1cta,9.859,8.838,gvr_cutedsl,9.84,8.892,0.9981
best,bs,512,bf16,4096,32,op26_1cta,10.072,8.95,gvr_cutedsl,10.01,9.041,0.9938
best,bs,512,bf16,4096,64,op26_1cta,10.173,9.046,gvr_cutedsl,10.175,9.121,1.0002
best,bs,512,bf16,4096,128,op26_1cta,10.486,9.235,gvr_cutedsl,10.565,9.313,1.0075
best,bs,512,bf16,4096,256,op26_1cta,11.813,10.482,gvr_cutedsl,12.621,11.511,1.0684
best,bs,512,bf16,4096,512,op26_1cta,20.315,18.316,gvr_cutedsl,21.528,19.735,1.0597
best,bs,512,bf16,4096,1024,op26_1cta,31.166,28.46,gvr_cutedsl,33.474,31.478,1.0741
best,bs,512,bf16,4096,2048,op26_1cta,55.715,52.115,gvr_cutedsl,61.44,58.328,1.1028
best,bs,512,bf16,8192,1,op26_1cta,12.947,11.445,gvr_cutedsl,12.712,11.438,0.9818
best,bs,512,bf16,8192,2,op26_1cta,12.768,11.445,gvr_cutedsl,12.475,11.429,0.9771
best,bs,512,bf16,8192,4,op26_1cta,12.69,11.469,gvr_cutedsl,12.726,11.495,1.0028
best,bs,512,bf16,8192,8,op26_1cta,12.771,11.478,gvr_cutedsl,12.886,11.506,1.009
best,bs,512,bf16,8192,16,op26_1cta,12.986,11.811,gvr_cutedsl,13.042,11.828,1.0043
best,bs,512,bf16,8192,32,op26_1cta,13.402,11.944,gvr_cutedsl,13.296,11.972,0.9921
best,bs,512,bf16,8192,64,op26_1cta,13.355,12.042,gvr_cutedsl,13.459,12.07,1.0078
best,bs,512,bf16,8192,128,op26_1cta,13.771,12.235,gvr_cutedsl,13.838,12.271,1.0049
best,bs,512,bf16,8192,256,op26_1cta,13.374,11.48,gvr_cutedsl,17.23,15.457,1.2883
best,bs,512,bf16,8192,512,op26_1cta,22.751,20.005,gvr_cutedsl,29.256,26.863,1.2859
best,bs,512,bf16,8192,1024,op26_1cta,34.759,31.366,gvr_cutedsl,45.837,42.967,1.3187
best,bs,512,bf16,8192,2048,op26_1cta,62.151,57.756,gvr_cutedsl,84.389,80.558,1.3578
best,bs,512,bf16,16384,1,op26_1cta,12.262,10.434,gvr_cutedsl,12.149,10.495,0.9908
best,bs,512,bf16,16384,2,op26_1cta,11.962,10.402,gvr_cutedsl,12.166,10.501,1.0171
best,bs,512,bf16,16384,4,op26_1cta,12.17,10.44,gvr_cutedsl,12.197,10.537,1.0022
best,bs,512,bf16,16384,8,op26_1cta,12.227,10.444,gvr_cutedsl,12.272,10.531,1.0037
best,bs,512,bf16,16384,16,op26_1cta,12.434,10.783,gvr_cutedsl,12.57,10.851,1.0109
best,bs,512,bf16,16384,32,op26_1cta,12.653,10.938,gvr_cutedsl,12.802,10.998,1.0118
best,bs,512,bf16,16384,64,op26_1cta,12.872,11.016,gvr_cutedsl,12.909,11.101,1.0029
best,bs,512,bf16,16384,128,op26_1cta,13.418,11.2,gvr_cutedsl,13.512,11.32,1.007
best,bs,512,bf16,16384,256,op26_1cta,16.394,14.065,gvr_cutedsl,17.002,14.462,1.0371
best,bs,512,bf16,16384,512,op26_1cta,28.567,24.92,gvr_cutedsl,29.755,26.154,1.0416
best,bs,512,bf16,16384,1024,op26_1cta,44.142,39.556,gvr_cutedsl,46.522,41.79,1.0539
best,bs,512,bf16,16384,2048,op26_1cta,79.677,73.051,gvr_cutedsl,83.92,77.568,1.0533
best,bs,512,bf16,32768,1,op26_1cta,14.331,12.527,gvr_cutedsl,14.317,12.557,0.999
best,bs,512,bf16,32768,2,op26_1cta,14.214,12.537,gvr_cutedsl,14.344,12.52,1.0091
best,bs,512,bf16,32768,4,op26_1cta,14.214,12.545,gvr_cutedsl,14.262,12.542,1.0034
best,bs,512,bf16,32768,8,op26_1cta,14.296,12.559,gvr_cutedsl,14.37,12.552,1.0052
best,bs,512,bf16,32768,16,op26_1cta,14.496,12.882,gvr_cutedsl,14.627,12.877,1.009
best,bs,512,bf16,32768,32,op26_1cta,14.84,13.014,gvr_cutedsl,14.866,13.01,1.0018
best,bs,512,bf16,32768,64,op26_1cta,15.211,13.15,gvr_cutedsl,15.291,13.157,1.0053
best,bs,512,bf16,32768,128,op26_1cta,16.01,13.417,gvr_cutedsl,15.872,13.423,0.9914
best,bs,512,bf16,32768,256,op26_1cta,19.906,17.031,gvr_cutedsl,22.006,18.976,1.1055
best,bs,512,bf16,32768,512,op26_1cta,33.835,29.328,gvr_cutedsl,37.607,33.22,1.1115
best,bs,512,bf16,32768,1024,op26_1cta,53.375,47.786,gvr_cutedsl,59.642,54.586,1.1174
best,bs,512,bf16,32768,2048,op26_1cta,96.309,93.793,gvr_cutedsl,109.665,107.433,1.1387
best,bs,512,bf16,65536,1,op26_1cta,23.551,22.158,gvr_cutedsl,23.518,22.117,0.9986
best,bs,512,bf16,65536,2,op26_1cta,23.594,22.163,gvr_cutedsl,23.464,22.094,0.9945
best,bs,512,bf16,65536,4,op26_1cta,23.661,22.247,gvr_cutedsl,23.426,22.181,0.9901
best,bs,512,bf16,65536,8,op26_1cta,23.663,22.259,gvr_cutedsl,23.608,22.197,0.9977
best,bs,512,bf16,65536,16,op26_1cta,24.09,22.568,gvr_cutedsl,23.989,22.488,0.9958
best,bs,512,bf16,65536,32,op26_1cta,24.482,22.697,gvr_cutedsl,24.322,22.645,0.9935
best,bs,512,bf16,65536,64,op26_1cta,25.018,22.874,gvr_cutedsl,24.898,22.803,0.9952
best,bs,512,bf16,65536,128,op26_1cta,26.029,23.222,gvr_cutedsl,25.981,23.171,0.9982
best,bs,512,bf16,65536,256,op26_1cta,40.653,36.66,gvr_cutedsl,42.46,38.146,1.0444
best,bs,512,bf16,65536,512,op26_1cta,72.213,64.409,gvr_cutedsl,76.032,67.555,1.0529
best,bs,512,bf16,65536,1024,op26_1cta,116.164,111.034,gvr_cutedsl,120.568,115.415,1.0379
best,bs,512,bf16,65536,2048,op26_1cta,216.276,211.788,gvr_cutedsl,223.478,218.635,1.0333
best,bs,512,bf16,131072,1,op26_1cta,23.989,22.52,gvr_cutedsl,24.075,22.465,1.0036
best,bs,512,bf16,131072,2,op26_1cta,24.058,22.539,gvr_cutedsl,23.987,22.46,0.997
best,bs,512,bf16,131072,4,op26_1cta,24.302,22.622,gvr_cutedsl,24.296,22.54,0.9998
best,bs,512,bf16,131072,8,op26_1cta,24.477,22.632,gvr_cutedsl,24.458,22.563,0.9992
best,bs,512,bf16,131072,16,op26_1cta,24.814,22.949,gvr_cutedsl,24.709,22.862,0.9958
best,bs,512,bf16,131072,32,op26_1cta,25.206,23.069,gvr_cutedsl,25.125,23.022,0.9968
best,bs,512,bf16,131072,64,op26_1cta,26.077,23.301,gvr_cutedsl,25.989,23.24,0.9966
best,bs,512,bf16,131072,128,op26_1cta,28.083,23.729,gvr_cutedsl,28.046,23.708,0.9987
best,bs,512,bf16,131072,256,op26_1cta,47.811,38.897,gvr_cutedsl,49.256,40.039,1.0302
best,bs,512,bf16,131072,512,op26_1cta,98.832,88.32,gvr_cutedsl,102.485,89.874,1.037
best,bs,512,bf16,131072,1024,op26_1cta,146.348,133.965,gvr_cutedsl,157.221,141.032,1.0743
best,bs,512,bf16,131072,2048,op26_1cta,253.841,241.011,gvr_cutedsl,265.924,252.798,1.0476
best,bs,512,bf16,262144,1,op26_1cta,35.979,34.013,gvr_cutedsl,35.749,33.808,0.9936
best,bs,512,bf16,262144,2,op26_1cta,35.832,33.991,gvr_cutedsl,35.547,33.809,0.992
best,bs,512,bf16,262144,4,op26_1cta,35.798,34.11,gvr_cutedsl,35.682,33.905,0.9968
best,bs,512,bf16,262144,8,op26_1cta,35.947,34.133,gvr_cutedsl,35.754,33.925,0.9946
best,bs,512,bf16,262144,16,op26_1cta,36.635,34.438,gvr_cutedsl,36.47,34.231,0.9955
best,bs,512,bf16,262144,32,op26_1cta,37.349,34.599,gvr_cutedsl,37.122,34.393,0.9939
best,bs,512,bf16,262144,64,op26_1cta,38.536,34.894,gvr_cutedsl,38.32,34.675,0.9944
best,bs,512,bf16,262144,128,op26_1cta,44.758,35.397,gvr_cutedsl,44.656,35.187,0.9977
best,bs,512,bf16,262144,256,op26_1cta,92.88,81.208,gvr_cutedsl,96.335,85.384,1.0372
best,bs,512,bf16,262144,512,op26_1cta,181.621,152.687,gvr_cutedsl,189.913,157.5,1.0457
best,bs,512,bf16,262144,1024,op26_1cta,295.393,269.721,gvr_cutedsl,304.42,278.186,1.0306
best,bs,512,bf16,262144,2048,op26_1cta,519.429,503.854,gvr_cutedsl,540.917,524.624,1.0414
best,bs,512,bf16,524288,2,op26_1cta,60.927,58.725,gvr_cutedsl,61.034,58.293,1.0018
best,bs,512,bf16,524288,4,op26_1cta,61.162,58.944,gvr_cutedsl,60.835,58.523,0.9947
best,bs,512,bf16,524288,8,op26_1cta,61.447,58.985,gvr_cutedsl,60.88,58.56,0.9908
best,bs,512,bf16,524288,16,op26_1cta,61.989,59.227,gvr_cutedsl,61.81,58.832,0.9971
best,bs,512,bf16,524288,32,op26_1cta,63.048,59.413,gvr_cutedsl,62.647,58.993,0.9936
best,bs,512,bf16,524288,64,op26_1cta,66.912,59.688,gvr_cutedsl,66.458,59.284,0.9932
best,bs,512,bf16,1048576,2,op26_1cta,113.25,110.068,gvr_cutedsl,112.647,109.234,0.9947
best,bs,512,bf16,1048576,4,op26_1cta,113.405,110.439,gvr_cutedsl,112.618,109.589,0.9931
best,bs,512,bf16,1048576,8,op26_1cta,113.802,110.45,gvr_cutedsl,112.988,109.661,0.9928
best,bs,512,bf16,1048576,16,op26_1cta,114.597,110.722,gvr_cutedsl,113.903,109.888,0.9939
best,bs,512,bf16,1048576,32,op26_1cta,116.829,110.879,gvr_cutedsl,116.304,110.046,0.9955
best,bs,512,bf16,1048576,64,op26_1cta,134.589,126.613,gvr_cutedsl,134.159,126.475,0.9968
best,bs,512,fp16,4096,1,op26_1cta,11.262,9.962,gvr_cutedsl,11.286,9.9,1.0021
best,bs,512,fp16,4096,2,op26_1cta,10.958,9.969,gvr_cutedsl,10.866,9.894,0.9916
best,bs,512,fp16,4096,4,op26_1cta,11.253,10.169,gvr_cutedsl,11.034,10.076,0.9805
