scenario,sweep,K,dtype,N,BS,r0_arm,op26r_cold_us_local,op26r_warm_us_local,base_cold_us_local,base_warm_us_local,radix_cold_us_local,radix_warm_us_local,speedup_vs_base_same_node_cold,speedup_vs_radix_same_node_cold
best,bs,512,bf16,4096,1,plain,9.293,8.293,9.616,8.362,5.237,4.389,1.0348,0.5635
best,bs,512,bf16,4096,2,plain,9.293,8.317,9.448,8.361,5.098,4.403,1.0167,0.5486
best,bs,512,bf16,4096,4,plain,9.51,8.442,9.683,8.49,5.139,4.448,1.0182,0.5404
best,bs,512,bf16,4096,8,plain,9.597,8.449,9.618,8.515,5.184,4.461,1.0022,0.5402
best,bs,512,bf16,4096,16,plain,9.998,8.81,9.846,8.865,5.592,4.826,0.9848,0.5593
best,bs,512,bf16,4096,32,plain,9.986,8.932,10.109,9.023,5.682,4.902,1.0123,0.569
best,bs,512,bf16,4096,64,plain,10.208,9.03,10.114,9.098,5.787,4.943,0.9908,0.5669
best,bs,512,bf16,4096,128,plain,10.45,9.244,10.49,9.291,6.211,5.172,1.0038,0.5944
best,bs,512,bf16,4096,256,plain,11.813,10.472,12.69,11.513,10.49,8.973,1.0742,0.888
best,bs,512,bf16,4096,512,plain,20.379,18.345,21.614,19.728,19.106,16.615,1.0606,0.9375
best,bs,512,bf16,4096,1024,plain,31.046,28.451,33.366,31.462,32.019,28.146,1.0747,1.0313
best,bs,512,bf16,4096,2048,plain,55.546,52.11,61.267,58.307,62.651,54.696,1.103,1.1279
best,bs,512,bf16,8192,1,plain,12.376,11.321,12.566,11.311,6.35,5.686,1.0154,0.5131
best,bs,512,bf16,8192,2,plain,12.402,11.279,12.926,11.275,6.355,5.697,1.0423,0.5124
best,bs,512,bf16,8192,4,plain,12.48,11.414,13.011,11.432,6.419,5.757,1.0425,0.5143
best,bs,512,bf16,8192,8,plain,12.686,11.433,12.877,11.448,6.416,5.773,1.0151,0.5058
best,bs,512,bf16,8192,16,plain,13.229,11.78,13.179,11.804,6.92,6.122,0.9962,0.5231
best,bs,512,bf16,8192,32,plain,13.251,11.943,13.277,11.955,7.01,6.203,1.002,0.529
best,bs,512,bf16,8192,64,plain,13.386,12.027,13.411,12.042,7.123,6.265,1.0019,0.5321
best,bs,512,bf16,8192,128,plain,13.741,12.225,13.709,12.262,7.376,6.37,0.9977,0.5368
best,bs,512,bf16,8192,256,plain,13.354,11.505,17.08,15.477,12.867,11.326,1.279,0.9635
best,bs,512,bf16,8192,512,plain,22.738,20.046,29.282,26.868,23.736,21.274,1.2878,1.0439
best,bs,512,bf16,8192,1024,plain,34.733,31.345,45.725,42.918,40.254,36.253,1.3165,1.159
best,bs,512,bf16,8192,2048,plain,62.282,57.756,84.318,80.598,78.182,70.694,1.3538,1.2553
best,bs,512,bf16,16384,1,1cta,11.237,9.627,12.275,10.335,9.302,8.744,1.0924,0.8278
