scenario,sweep,K,dtype,N,BS,op,op27_cold_us_local,op27_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,4096,1,op27_hls,10.662,9.386,10.525,8.893,0.9872
best,bs,512,bf16,4096,2,op27_hls,10.658,9.36,9.936,8.862,0.9323
best,bs,512,bf16,4096,4,op27_hls,10.502,9.374,9.997,8.921,0.9519
best,bs,512,bf16,4096,8,op27_hls,10.638,9.416,10.134,8.97,0.9526
best,bs,512,bf16,4096,16,op27_hls,10.499,9.426,10.07,8.956,0.9591
best,bs,512,bf16,4096,32,op27_hls,10.67,9.478,10.246,9.031,0.9603
best,bs,512,bf16,4096,64,op27_hls,10.734,9.576,10.232,9.166,0.9532
best,bs,512,bf16,4096,128,op27_hls,11.01,9.707,10.525,9.3,0.9559
best,bs,512,bf16,4096,256,op27_hls,12.059,10.722,12.608,11.492,1.0455
best,bs,512,bf16,4096,512,op27_hls,21.496,19.267,21.496,19.699,1.0
best,bs,512,bf16,4096,1024,op27_hls,33.137,29.945,33.516,31.44,1.0114
best,bs,512,bf16,4096,2048,op27_hls,57.449,53.615,61.31,58.252,1.0672
best,bs,512,bf16,8192,1,op27_hls,11.346,10.171,13.278,11.817,1.1703
best,bs,512,bf16,8192,2,op27_hls,11.408,10.174,13.251,11.785,1.1616
best,bs,512,bf16,8192,4,op27_hls,11.723,10.214,13.23,11.856,1.1286
best,bs,512,bf16,8192,8,op27_hls,11.749,10.235,13.358,11.908,1.1369
best,bs,512,bf16,8192,16,op27_hls,11.606,10.223,13.171,11.906,1.1348
best,bs,512,bf16,8192,32,op27_hls,11.665,10.273,13.272,11.96,1.1378
best,bs,512,bf16,8192,64,op27_hls,11.745,10.412,13.43,12.091,1.1435
best,bs,512,bf16,8192,128,op27_hls,12.051,10.505,13.789,12.247,1.1442
best,bs,512,bf16,8192,256,op27_hls,14.2,12.282,17.251,15.441,1.2149
best,bs,512,bf16,8192,512,op27_hls,25.728,22.393,29.281,26.82,1.1381
best,bs,512,bf16,8192,1024,op27_hls,39.057,34.939,45.689,42.954,1.1698
best,bs,512,bf16,8192,2048,op27_hls,67.361,62.774,84.402,80.508,1.253
best,bs,512,bf16,16384,1,op27_hls,14.912,13.144,12.717,10.832,0.8528
best,bs,512,bf16,16384,2,op27_hls,15.112,13.153,12.517,10.834,0.8283
best,bs,512,bf16,16384,4,op27_hls,15.195,13.208,12.688,10.912,0.835
best,bs,512,bf16,16384,8,op27_hls,15.088,13.225,12.69,10.95,0.8411
best,bs,512,bf16,16384,16,op27_hls,15.061,13.227,12.587,10.909,0.8357
best,bs,512,bf16,16384,32,op27_hls,15.126,13.273,12.803,10.973,0.8464
best,bs,512,bf16,16384,64,op27_hls,15.368,13.402,12.869,11.135,0.8374
best,bs,512,bf16,16384,128,op27_hls,15.846,13.536,13.497,11.296,0.8518
best,bs,512,bf16,16384,256,op27_hls,19.248,17.028,16.958,14.468,0.881
best,bs,512,bf16,16384,512,op27_hls,34.291,30.398,29.905,26.271,0.8721
best,bs,512,bf16,16384,1024,op27_hls,52.284,47.637,46.574,41.843,0.8908
best,bs,512,bf16,16384,2048,op27_hls,93.834,87.765,83.623,77.403,0.8912
best,bs,512,bf16,32768,1,op27_hls,15.779,13.843,14.201,12.877,0.9
best,bs,512,bf16,32768,2,op27_hls,16.019,13.856,14.601,12.882,0.9115
best,bs,512,bf16,32768,4,op27_hls,16.131,13.91,14.509,12.946,0.8994
best,bs,512,bf16,32768,8,op27_hls,16.289,13.936,14.624,12.98,0.8978
best,bs,512,bf16,32768,16,op27_hls,16.294,13.944,14.734,12.95,0.9043
best,bs,512,bf16,32768,32,op27_hls,16.419,14.004,14.872,13.028,0.9058
best,bs,512,bf16,32768,64,op27_hls,16.747,14.18,15.288,13.217,0.9129
best,bs,512,bf16,32768,128,op27_hls,17.485,14.319,16.083,13.452,0.9198
best,bs,512,bf16,32768,256,op27_hls,24.07,20.871,21.921,18.962,0.9107
best,bs,512,bf16,32768,512,op27_hls,42.092,37.362,37.6,33.232,0.8933
best,bs,512,bf16,32768,1024,op27_hls,65.834,59.052,59.651,54.517,0.9061
best,bs,512,bf16,32768,2048,op27_hls,118.399,115.535,109.521,107.343,0.925
best,bs,512,bf16,65536,1,op27_hls,14.331,12.813,23.846,22.433,1.6639
best,bs,512,bf16,65536,2,op27_hls,14.377,12.874,23.822,22.408,1.657
best,bs,512,bf16,65536,4,op27_hls,14.357,12.937,23.928,22.495,1.6666
best,bs,512,bf16,65536,8,op27_hls,14.672,13.081,24.09,22.533,1.6419
best,bs,512,bf16,65536,16,op27_hls,14.809,13.138,24.153,22.526,1.631
best,bs,512,bf16,65536,32,op27_hls,15.536,13.636,24.419,22.638,1.5718
best,bs,512,bf16,65536,64,op27_hls,23.582,20.874,24.992,22.847,1.0598
best,bs,512,bf16,65536,128,op27_hls,24.321,21.14,25.95,23.189,1.067
best,bs,512,bf16,65536,256,op27_hls,35.297,31.097,42.477,38.137,1.2034
best,bs,512,bf16,65536,512,op27_hls,61.918,55.18,75.971,67.56,1.227
best,bs,512,bf16,65536,1024,op27_hls,97.818,93.621,120.602,115.538,1.2329
best,bs,512,bf16,65536,2048,op27_hls,177.014,173.614,223.147,218.408,1.2606
best,bs,512,bf16,131072,1,op27_hls,14.546,12.941,24.414,22.814,1.6784
best,bs,512,bf16,131072,2,op27_hls,14.222,12.948,24.547,22.794,1.726
best,bs,512,bf16,131072,4,op27_hls,14.499,12.96,24.429,22.879,1.6849
best,bs,512,bf16,131072,8,op27_hls,15.578,13.804,24.454,22.927,1.5698
best,bs,512,bf16,131072,16,op27_hls,16.021,13.998,24.787,22.927,1.5472
best,bs,512,bf16,131072,32,op27_hls,16.614,14.494,25.174,23.029,1.5152
best,bs,512,bf16,131072,64,op27_hls,31.182,27.325,25.941,23.298,0.8319
best,bs,512,bf16,131072,128,op27_hls,32.121,27.642,28.093,23.667,0.8746
best,bs,512,bf16,131072,256,op27_hls,53.507,47.36,49.22,40.012,0.9199
best,bs,512,bf16,131072,512,op27_hls,98.642,90.553,102.498,90.12,1.0391
best,bs,512,bf16,131072,1024,op27_hls,158.398,152.31,157.674,140.733,0.9954
best,bs,512,bf16,131072,2048,op27_hls,295.45,290.757,266.061,252.714,0.9005
best,bs,512,bf16,262144,1,op27_hls,14.726,12.781,35.982,34.138,2.4434
best,bs,512,bf16,262144,2,op27_hls,14.752,12.896,36.145,34.152,2.4502
best,bs,512,bf16,262144,4,op27_hls,14.645,12.851,36.163,34.221,2.4693
best,bs,512,bf16,262144,8,op27_hls,15.03,13.019,36.34,34.29,2.4178
best,bs,512,bf16,262144,16,op27_hls,17.04,14.48,36.524,34.281,2.1434
best,bs,512,bf16,262144,32,op27_hls,17.909,14.729,37.096,34.414,2.0714
best,bs,512,bf16,262144,64,op27_hls,28.731,22.458,38.344,34.698,1.3346
best,bs,512,bf16,262144,128,op27_hls,32.019,22.807,44.622,35.184,1.3936
best,bs,512,bf16,262144,256,op27_hls,91.703,89.897,96.439,85.088,1.0516
best,bs,512,bf16,262144,512,op27_hls,155.542,152.696,190.697,157.37,1.226
best,bs,512,bf16,262144,1024,op27_hls,261.655,259.227,304.119,276.754,1.1623
best,bs,512,bf16,262144,2048,op27_hls,490.592,487.95,540.567,525.021,1.1019
best,bs,512,bf16,524288,2,op27_hls,19.456,18.715,61.439,58.639,3.1578
best,bs,512,bf16,524288,4,op27_hls,16.014,13.699,61.135,58.756,3.8176
best,bs,512,bf16,524288,8,op27_hls,16.502,13.853,61.204,58.81,3.7089
best,bs,512,bf16,524288,16,op27_hls,28.849,24.08,61.814,58.815,2.1427
best,bs,512,bf16,524288,32,op27_hls,21.385,16.301,62.537,58.949,2.9243
best,bs,512,bf16,524288,64,op27_hls,42.766,30.013,66.444,59.275,1.5537
best,bs,512,bf16,1048576,2,op27_hls,23.149,20.816,112.736,109.563,4.87
best,bs,512,bf16,1048576,4,op27_hls,19.939,16.572,113.001,109.696,5.6673
best,bs,512,bf16,1048576,8,op27_hls,20.449,16.608,113.149,109.77,5.5332
best,bs,512,bf16,1048576,16,op27_hls,37.088,29.397,113.844,109.783,3.0696
best,bs,512,bf16,1048576,32,op27_hls,55.215,42.39,116.112,109.934,2.1029
best,bs,512,bf16,1048576,64,op27_hls,74.451,67.73,134.144,126.237,1.8018
best,bs,512,fp16,4096,1,op27_hls,9.654,8.706,11.338,9.966,1.1744
best,bs,512,fp16,4096,2,op27_hls,9.598,8.719,10.958,9.963,1.1417
best,bs,512,fp16,4096,4,op27_hls,9.814,8.738,10.902,9.964,1.1109
best,bs,512,fp16,4096,8,op27_hls,9.79,8.704,11.077,9.951,1.1315
best,bs,512,fp16,4096,16,op27_hls,10.125,9.072,11.296,10.302,1.1157
best,bs,512,fp16,4096,32,op27_hls,10.338,9.179,11.454,10.433,1.108
best,bs,512,fp16,4096,64,op27_hls,10.374,9.221,11.577,10.498,1.116
best,bs,512,fp16,4096,128,op27_hls,10.669,9.382,11.955,10.684,1.1205
best,bs,512,fp16,4096,256,op27_hls,11.872,10.418,14.71,13.503,1.239
best,bs,512,fp16,4096,512,op27_hls,21.283,18.694,25.157,23.369,1.182
best,bs,512,fp16,4096,1024,op27_hls,32.508,29.198,39.507,37.441,1.2153
best,bs,512,fp16,4096,2048,op27_hls,56.252,52.282,73.065,70.096,1.2989
best,bs,512,fp16,8192,1,op27_hls,11.117,9.766,13.777,12.517,1.2393
best,bs,512,fp16,8192,2,op27_hls,11.045,9.778,13.537,12.5,1.2256
best,bs,512,fp16,8192,4,op27_hls,10.961,9.791,13.861,12.527,1.2646
best,bs,512,fp16,8192,8,op27_hls,11.051,9.773,13.966,12.548,1.2638
best,bs,512,fp16,8192,16,op27_hls,11.376,10.095,14.126,12.867,1.2417
best,bs,512,fp16,8192,32,op27_hls,11.677,10.207,14.347,12.995,1.2287
best,bs,512,fp16,8192,64,op27_hls,11.645,10.286,14.517,13.064,1.2466
best,bs,512,fp16,8192,128,op27_hls,11.989,10.429,14.896,13.267,1.2425
best,bs,512,fp16,8192,256,op27_hls,14.185,12.18,18.669,16.76,1.3161
best,bs,512,fp16,8192,512,op27_hls,25.46,22.356,31.852,29.325,1.2511
best,bs,512,fp16,8192,1024,op27_hls,39.193,34.773,50.014,47.104,1.2761
best,bs,512,fp16,8192,2048,op27_hls,67.223,62.42,92.365,88.608,1.374
best,bs,512,fp16,16384,1,op27_hls,14.539,12.763,14.624,13.086,1.0058
best,bs,512,fp16,16384,2,op27_hls,14.349,12.763,14.741,13.052,1.0273
best,bs,512,fp16,16384,4,op27_hls,14.385,12.763,14.776,13.082,1.0272
best,bs,512,fp16,16384,8,op27_hls,14.555,12.761,14.76,13.082,1.0141
best,bs,512,fp16,16384,16,op27_hls,14.83,13.099,15.123,13.403,1.0198
best,bs,512,fp16,16384,32,op27_hls,15.038,13.203,15.411,13.549,1.0248
best,bs,512,fp16,16384,64,op27_hls,15.206,13.295,15.497,13.618,1.0191
best,bs,512,fp16,16384,128,op27_hls,15.857,13.478,16.065,13.815,1.0131
best,bs,512,fp16,16384,256,op27_hls,18.984,16.706,19.916,17.518,1.0491
best,bs,512,fp16,16384,512,op27_hls,33.712,29.946,35.332,31.633,1.0481
best,bs,512,fp16,16384,1024,op27_hls,51.766,46.963,54.719,49.798,1.057
best,bs,512,fp16,16384,2048,op27_hls,92.877,86.623,98.687,92.771,1.0626
best,bs,512,fp16,32768,1,op27_hls,15.883,13.445,14.905,12.461,0.9384
best,bs,512,fp16,32768,2,op27_hls,15.733,13.477,14.139,12.459,0.8987
best,bs,512,fp16,32768,4,op27_hls,15.67,13.482,14.153,12.48,0.9032
best,bs,512,fp16,32768,8,op27_hls,15.832,13.472,14.237,12.48,0.8993
best,bs,512,fp16,32768,16,op27_hls,16.025,13.782,14.597,12.765,0.9109
best,bs,512,fp16,32768,32,op27_hls,16.317,13.901,14.729,12.893,0.9027
best,bs,512,fp16,32768,64,op27_hls,16.673,14.011,15.187,13.016,0.9109
best,bs,512,fp16,32768,128,op27_hls,17.48,14.243,16.024,13.316,0.9167
best,bs,512,fp16,32768,256,op27_hls,23.921,20.46,21.665,18.889,0.9057
best,bs,512,fp16,32768,512,op27_hls,41.905,36.915,37.065,32.52,0.8845
best,bs,512,fp16,32768,1024,op27_hls,65.335,58.412,58.529,53.181,0.8958
