scenario,sweep,K,dtype,N,BS,op,radix_cold_us_local,radix_warm_us_local,base_cold_us_local,base_warm_us_local,speedup_same_node_cold
best,bs,512,bf16,4096,1,radix_multi_cuda,36.742,32.045,10.53,8.9,0.2866
best,bs,512,bf16,4096,2,radix_multi_cuda,37.301,32.123,9.789,8.9,0.2624
best,bs,512,bf16,4096,4,radix_multi_cuda,36.239,31.921,9.915,8.955,0.2736
best,bs,512,bf16,4096,8,radix_multi_cuda,35.501,32.094,10.104,8.964,0.2846
best,bs,512,bf16,4096,16,radix_multi_cuda,34.855,32.251,10.032,8.984,0.2878
best,bs,512,bf16,4096,32,radix_multi_cuda,35.082,32.273,9.982,9.033,0.2845
best,bs,512,bf16,4096,64,radix_multi_cuda,34.82,32.174,10.146,9.186,0.2914
best,bs,512,bf16,4096,128,radix_multi_cuda,41.784,39.759,10.349,9.282,0.2477
best,bs,512,bf16,4096,256,radix_multi_cuda,75.487,73.278,12.71,11.491,0.1684
best,bs,512,bf16,4096,512,radix_multi_cuda,134.227,131.694,21.472,19.703,0.16
best,bs,512,bf16,4096,1024,radix_multi_cuda,244.721,241.622,33.36,31.456,0.1363
best,bs,512,bf16,4096,2048,radix_multi_cuda,479.801,478.301,61.372,58.294,0.1279
best,bs,512,bf16,8192,1,radix_multi_cuda,37.019,33.166,12.995,11.826,0.351
best,bs,512,bf16,8192,2,radix_multi_cuda,37.067,33.147,12.912,11.824,0.3483
best,bs,512,bf16,8192,4,radix_multi_cuda,36.717,33.494,13.216,11.858,0.3599
best,bs,512,bf16,8192,8,radix_multi_cuda,35.679,33.243,13.27,11.898,0.3719
best,bs,512,bf16,8192,16,radix_multi_cuda,35.566,33.245,13.23,11.92,0.372
best,bs,512,bf16,8192,32,radix_multi_cuda,36.083,33.429,13.19,11.963,0.3655
best,bs,512,bf16,8192,64,radix_multi_cuda,35.582,33.214,13.357,12.118,0.3754
best,bs,512,bf16,8192,128,radix_multi_cuda,42.449,41.0,13.714,12.242,0.3231
best,bs,512,bf16,8192,256,radix_multi_cuda,78.261,76.124,17.142,15.468,0.219
best,bs,512,bf16,8192,512,radix_multi_cuda,139.053,137.108,29.219,26.804,0.2101
best,bs,512,bf16,8192,1024,radix_multi_cuda,254.199,251.925,45.739,42.921,0.1799
best,bs,512,bf16,8192,2048,radix_multi_cuda,500.854,498.423,84.343,80.51,0.1684
best,bs,512,bf16,16384,1,radix_multi_cuda,36.26,32.789,12.416,10.887,0.3424
best,bs,512,bf16,16384,2,radix_multi_cuda,36.356,33.006,12.438,10.851,0.3421
best,bs,512,bf16,16384,4,radix_multi_cuda,36.012,32.849,12.521,10.959,0.3477
best,bs,512,bf16,16384,8,radix_multi_cuda,36.488,33.038,12.472,10.945,0.3418
best,bs,512,bf16,16384,16,radix_multi_cuda,35.875,33.241,12.549,10.929,0.3498
best,bs,512,bf16,16384,32,radix_multi_cuda,34.573,32.624,12.709,10.989,0.3676
best,bs,512,bf16,16384,64,radix_multi_cuda,36.01,33.422,12.96,11.164,0.3599
best,bs,512,bf16,16384,128,radix_multi_cuda,43.602,42.034,13.429,11.29,0.308
best,bs,512,bf16,16384,256,radix_multi_cuda,79.835,77.973,16.937,14.452,0.2122
best,bs,512,bf16,16384,512,radix_multi_cuda,140.908,138.515,29.86,26.241,0.2119
best,bs,512,bf16,16384,1024,radix_multi_cuda,260.424,256.792,46.385,41.831,0.1781
best,bs,512,bf16,16384,2048,radix_multi_cuda,510.206,509.59,83.994,77.54,0.1646
best,bs,512,bf16,32768,1,radix_multi_cuda,37.796,34.556,14.521,12.887,0.3842
best,bs,512,bf16,32768,2,radix_multi_cuda,37.027,34.174,14.437,12.867,0.3899
best,bs,512,bf16,32768,4,radix_multi_cuda,36.76,34.119,14.63,12.927,0.398
best,bs,512,bf16,32768,8,radix_multi_cuda,36.484,34.235,14.712,12.978,0.4032
best,bs,512,bf16,32768,16,radix_multi_cuda,36.537,34.422,14.654,12.976,0.4011
best,bs,512,bf16,32768,32,radix_multi_cuda,42.836,42.396,15.013,13.037,0.3505
best,bs,512,bf16,32768,64,radix_multi_cuda,60.832,60.127,15.328,13.243,0.252
best,bs,512,bf16,32768,128,radix_multi_cuda,47.35,45.128,16.038,13.439,0.3387
best,bs,512,bf16,32768,256,radix_multi_cuda,86.575,84.216,21.979,18.928,0.2539
best,bs,512,bf16,32768,512,radix_multi_cuda,151.869,148.967,37.646,33.214,0.2479
best,bs,512,bf16,32768,1024,radix_multi_cuda,277.832,275.536,59.836,54.526,0.2154
best,bs,512,bf16,32768,2048,radix_multi_cuda,550.408,550.954,109.621,107.403,0.1992
best,bs,512,bf16,65536,1,radix_multi_cuda,39.176,35.941,23.808,22.444,0.6077
best,bs,512,bf16,65536,2,radix_multi_cuda,38.595,35.644,23.88,22.454,0.6187
best,bs,512,bf16,65536,4,radix_multi_cuda,38.672,35.524,23.963,22.536,0.6196
best,bs,512,bf16,65536,8,radix_multi_cuda,38.187,35.678,24.161,22.556,0.6327
best,bs,512,bf16,65536,16,radix_multi_cuda,38.353,36.368,24.077,22.55,0.6278
best,bs,512,bf16,65536,32,radix_multi_cuda,45.754,44.496,24.432,22.633,0.534
best,bs,512,bf16,65536,64,radix_multi_cuda,65.128,64.003,25.019,22.851,0.3842
best,bs,512,bf16,65536,128,radix_multi_cuda,53.982,51.072,26.025,23.165,0.4821
best,bs,512,bf16,65536,256,radix_multi_cuda,98.44,94.77,42.396,38.146,0.4307
best,bs,512,bf16,65536,512,radix_multi_cuda,171.741,167.409,75.871,67.514,0.4418
best,bs,512,bf16,65536,1024,radix_multi_cuda,316.117,314.671,120.397,115.461,0.3809
best,bs,512,bf16,65536,2048,radix_multi_cuda,621.594,621.709,223.198,218.496,0.3591
best,bs,512,bf16,131072,1,radix_multi_cuda,41.243,37.986,24.582,22.826,0.596
best,bs,512,bf16,131072,2,radix_multi_cuda,41.252,37.662,24.321,22.839,0.5896
best,bs,512,bf16,131072,4,radix_multi_cuda,41.11,37.758,24.686,22.876,0.6005
best,bs,512,bf16,131072,8,radix_multi_cuda,41.118,37.633,24.517,22.949,0.5963
best,bs,512,bf16,131072,16,radix_multi_cuda,40.421,38.216,24.864,22.923,0.6151
best,bs,512,bf16,131072,32,radix_multi_cuda,48.95,47.294,25.166,23.051,0.5141
best,bs,512,bf16,131072,64,radix_multi_cuda,71.085,69.179,25.948,23.307,0.365
best,bs,512,bf16,131072,128,radix_multi_cuda,66.745,62.595,27.926,23.66,0.4184
