scenario,K,dtype,N,BS,gvr_cutedsl_cold_us,gvr_cutedsl_warm_us,op21_legacy_cold_us,op21_legacy_warm_us,op21_hls_cold_us,op21_hls_warm_us,radix_cutedsl_cold_us,radix_cutedsl_warm_us,gvr_multicta_cutedsl_cold_us,gvr_multicta_cutedsl_warm_us,op25_hls_cold_us,op25_hls_warm_us,radix_single_cuda_cold_us,radix_single_cuda_warm_us,radix_multi_cuda_cold_us,radix_multi_cuda_warm_us,op26_1cta_cold_us,op26_1cta_warm_us,op26_mc_cold_us,op26_mc_warm_us,op27_hls_cold_us,op27_hls_warm_us,op26_r0auto_cold_us,op26_r0auto_warm_us,sglang_streaming_cold_us,sglang_streaming_warm_us,speedup_vs_base_op21_legacy,speedup_vs_base_op21_hls,speedup_vs_base_radix_cutedsl,speedup_vs_base_gvr_multicta_cutedsl,speedup_vs_base_op25_hls,speedup_vs_base_radix_single_cuda,speedup_vs_base_radix_multi_cuda,speedup_vs_base_op26_1cta,speedup_vs_base_op26_mc,speedup_vs_base_op27_hls,speedup_vs_base_sglang_streaming,speedup_vs_base_op26_r0auto,mc_cluster_size,op25_ms_path,op26_mc_cluster_size,op27_ms_path
best,512,bf16,4096,1,10.616,8.961,9.619,8.243,9.586,8.271,5.653,4.815,10.461,9.146,10.778,9.453,14.308,13.514,36.809,32.076,10.235,8.875,10.171,9.168,10.774,9.454,11.252,9.864,,,1.1036,1.1074,1.8779,1.0148,0.985,0.742,0.2884,1.0372,1.0438,0.9853,,0.9435,1,ms_1cta,1,ms_1cta
best,512,bf16,8192,1,13.258,11.9,10.488,8.799,10.187,8.833,6.744,6.123,13.624,12.248,11.424,10.204,16.439,15.289,37.002,33.079,13.292,11.916,13.702,12.213,11.559,10.259,11.54,10.099,,,1.2641,1.3015,1.9659,0.9731,1.1605,0.8065,0.3583,0.9974,0.9676,1.147,,1.1489,1,ms_1cta,1,ms_1cta
best,512,bf16,16384,1,12.731,10.971,12.128,10.44,12.202,10.435,9.715,9.176,11.964,10.656,15.217,13.385,18.886,17.366,36.571,32.973,12.657,10.915,12.05,10.665,15.168,13.297,12.023,10.376,,,1.0497,1.0434,1.3104,1.0641,0.8366,0.6741,0.3481,1.0058,1.0565,0.8393,,1.0589,1,ms_1cta,1,ms_1cta
best,512,bf16,32768,1,14.752,12.951,13.811,11.42,13.858,11.427,14.293,13.404,15.218,13.284,16.182,13.963,23.939,21.238,38.401,34.521,14.702,12.922,15.472,13.286,15.853,13.955,12.534,10.853,,,1.0681,1.0645,1.0321,0.9694,0.9116,0.6162,0.3842,1.0034,0.9535,0.9305,,1.177,1,ms_1cta,1,ms_1cta
best,512,bf16,65536,1,23.885,22.513,12.861,11.543,12.912,11.485,14.045,13.187,20.932,19.226,13.934,12.296,33.571,29.299,39.257,35.914,23.966,22.573,20.833,19.216,14.341,12.871,14.751,13.034,,,1.8572,1.8498,1.7006,1.1411,1.7142,0.7115,0.6084,0.9966,1.1465,1.6655,,1.6192,4,msc_C8,4,msc_C8
best,512,bf16,131072,1,24.549,22.9,12.952,11.611,13.061,11.684,14.075,13.226,17.404,16.106,14.206,12.349,53.579,46.119,41.755,38.016,24.673,22.967,17.698,16.131,14.468,12.955,15.182,13.782,,,1.8954,1.8796,1.7442,1.4105,1.7281,0.4582,0.5879,0.995,1.3871,1.6968,,1.617,4,msc_C8,4,msc_C8
best,512,bf16,262144,1,36.067,34.218,13.866,12.149,13.962,12.063,14.267,13.309,19.709,18.198,13.977,12.319,93.431,79.49,44.991,41.225,36.33,34.419,19.725,18.159,14.595,12.965,18.59,17.009,,,2.6011,2.5832,2.528,1.83,2.5805,0.386,0.8016,0.9928,1.8285,2.4712,,1.9401,4,msc_C8,4,msc_C8
best,512,bf16,524288,1,61.386,58.799,15.683,13.521,15.704,13.417,14.07,13.11,26.678,24.637,15.737,13.06,176.964,146.93,52.34,46.465,61.532,59.221,26.832,24.635,15.894,13.799,24.612,22.653,,,3.9142,3.9089,4.3629,2.301,3.9007,0.3469,1.1728,0.9976,2.2878,3.8622,,2.4941,4,msc_C8,4,msc_C8
best,512,bf16,1048576,1,113.215,109.719,18.883,15.688,19.555,15.789,14.979,13.676,41.97,39.032,19.161,15.844,340.204,282.162,69.458,61.176,114.035,110.572,41.964,39.044,19.768,16.573,37.395,35.188,,,5.9956,5.7896,7.5582,2.6975,5.9086,0.3328,1.63,0.9928,2.6979,5.7272,,3.0275,4,msc_C8,4,msc_C8
best,512,fp16,4096,1,11.109,9.784,8.638,7.684,8.733,7.733,5.016,4.332,11.075,9.98,9.513,8.598,13.482,12.783,34.515,30.497,11.217,9.848,10.875,10.002,9.507,8.55,8.636,7.664,,,1.2861,1.2721,2.2147,1.0031,1.1678,0.824,0.3219,0.9904,1.0215,1.1685,,1.2864,1,ms_1cta,1,ms_1cta
