scenario,K,dtype,N,hr,ladder,accept,best_cand,counts,straddle,all_below,all_above
real,512,fp32,8192,0.516,m2_a,True,839,839|184,False,False,False
real,512,fp32,8192,0.516,m2_b,True,1293,1293|237,False,False,False
real,512,fp32,8192,0.516,m2_c,True,727,727|153,False,False,False
real,512,fp32,8192,0.516,m3_a,True,585,1837|585|153,False,False,False
real,512,fp32,8192,0.516,m3_b,True,1559,1559|489|134,False,False,False
real,512,fp32,8192,0.516,m3_c,True,659,1837|659|237,False,False,False
real,512,fp32,8192,0.516,uh4,True,727,1837|727|338|107,False,False,False
real,512,fp32,16384,0.67,m2_a,True,620,620|132,False,False,False
real,512,fp32,16384,0.67,m2_b,True,1008,1008|168,False,False,False
real,512,fp32,16384,0.67,m2_c,False,,466|104,False,True,False
real,512,fp32,16384,0.67,m3_a,True,2511,2511|351|104,False,False,False
real,512,fp32,16384,0.67,m3_b,True,1425,1425|309|95,False,False,False
real,512,fp32,16384,0.67,m3_c,True,2511,2511|426|168,False,False,False
real,512,fp32,16384,0.67,uh4,True,2511,2511|466|240|78,False,False,False
real,512,fp32,32768,0.727,m2_a,False,,507|136,False,True,False
real,512,fp32,32768,0.727,m2_b,True,750,750|175,False,False,False
real,512,fp32,32768,0.727,m2_c,False,,441|104,False,True,False
real,512,fp32,32768,0.727,m3_a,True,1305,1305|349|104,False,False,False
real,512,fp32,32768,0.727,m3_b,True,918,918|316|95,False,False,False
real,512,fp32,32768,0.727,m3_c,True,1305,1305|408|175,False,False,False
real,512,fp32,32768,0.727,uh4,True,1305,1305|441|236|80,False,False,False
real,512,fp32,65536,0.842,m2_a,False,,389|128,False,True,False
real,512,fp32,65536,0.842,m2_b,False,,490|155,False,True,False
real,512,fp32,65536,0.842,m2_c,False,,356|105,False,True,False
real,512,fp32,65536,0.842,m3_a,True,763,763|294|105,False,False,False
real,512,fp32,65536,0.842,m3_b,True,562,562|260|94,False,False,False
real,512,fp32,65536,0.842,m3_c,True,763,763|316|155,False,False,False
real,512,fp32,65536,0.842,uh4,True,763,763|356|206|77,False,False,False
real,512,fp32,131072,0.846,m2_a,False,,382|128,False,True,False
real,512,fp32,131072,0.846,m2_b,False,,471|157,False,True,False
real,512,fp32,131072,0.846,m2_c,False,,356|108,False,True,False
real,512,fp32,131072,0.846,m3_a,True,741,741|296|108,False,False,False
real,512,fp32,131072,0.846,m3_b,True,550,550|263|94,False,False,False
real,512,fp32,131072,0.846,m3_c,True,741,741|317|157,False,False,False
real,512,fp32,131072,0.846,uh4,True,741,741|356|208|77,False,False,False
real,512,fp32,262144,0.473,m2_a,True,766,766|191,False,False,False
real,512,fp32,262144,0.473,m2_b,True,1046,1046|233,False,False,False
real,512,fp32,262144,0.473,m2_c,True,693,693|146,False,False,False
real,512,fp32,262144,0.473,m3_a,True,613,1570|613|146,False,False,False
real,512,fp32,262144,0.473,m3_b,True,563,1316|563|132,False,False,False
real,512,fp32,262144,0.473,m3_c,True,636,1570|636|233,False,False,False
real,512,fp32,262144,0.473,uh4,True,693,1570|693|364|108,False,False,False
real,512,fp32,524288,0.73,m2_a,False,,481|137,False,True,False
real,512,fp32,524288,0.73,m2_b,True,610,610|165,False,False,False
real,512,fp32,524288,0.73,m2_c,False,,420|110,False,True,False
real,512,fp32,524288,0.73,m3_a,True,753,753|347|110,False,False,False
real,512,fp32,524288,0.73,m3_b,True,681,681|307|102,False,False,False
real,512,fp32,524288,0.73,m3_c,True,753,753|385|165,False,False,False
real,512,fp32,524288,0.73,uh4,True,753,753|420|233|81,False,False,False
real,512,fp32,1048576,0.785,m2_a,False,,427|135,False,True,False
real,512,fp32,1048576,0.785,m2_b,True,538,538|164,False,False,False
real,512,fp32,1048576,0.785,m2_c,False,,383|112,False,True,False
real,512,fp32,1048576,0.785,m3_a,True,897,897|307|112,False,False,False
real,512,fp32,1048576,0.785,m3_b,True,660,660|273|94,False,False,False
real,512,fp32,1048576,0.785,m3_c,True,897,897|354|164,False,False,False
real,512,fp32,1048576,0.785,uh4,True,897,897|383|214|78,False,False,False
real,512,bf16,8192,0.516,m2_a,True,835,835|181,False,False,False
real,512,bf16,8192,0.516,m2_b,True,1282,1282|231,False,False,False
real,512,bf16,8192,0.516,m2_c,True,724,724|150,False,False,False
real,512,bf16,8192,0.516,m3_a,True,583,1812|583|150,False,False,False
real,512,bf16,8192,0.516,m3_b,True,1548,1548|484|132,False,False,False
real,512,bf16,8192,0.516,m3_c,True,655,1812|655|231,False,False,False
real,512,bf16,8192,0.516,uh4,True,724,1812|724|337|107,False,False,False
real,512,bf16,16384,0.67,m2_a,True,586,586|134,False,False,False
real,512,bf16,16384,0.67,m2_b,True,1012,1012|168,False,False,False
real,512,bf16,16384,0.67,m2_c,False,,469|107,False,True,False
real,512,bf16,16384,0.67,m3_a,True,2523,2523|355|107,False,False,False
real,512,bf16,16384,0.67,m3_b,True,1429,1429|311|95,False,False,False
real,512,bf16,16384,0.67,m3_c,True,2523,2523|429|168,False,False,False
real,512,bf16,16384,0.67,uh4,True,2523,2523|469|232|79,False,False,False
real,512,bf16,32768,0.727,m2_a,False,,502|136,False,True,False
real,512,bf16,32768,0.727,m2_b,True,748,748|174,False,False,False
real,512,bf16,32768,0.727,m2_c,False,,435|107,False,True,False
real,512,bf16,32768,0.727,m3_a,True,1300,1300|348|107,False,False,False
real,512,bf16,32768,0.727,m3_b,True,916,916|314|95,False,False,False
real,512,bf16,32768,0.727,m3_c,True,1300,1300|404|174,False,False,False
real,512,bf16,32768,0.727,uh4,True,1300,1300|435|238|79,False,False,False
real,512,bf16,65536,0.842,m2_a,False,,391|128,False,True,False
real,512,bf16,65536,0.842,m2_b,False,,475|156,False,True,False
real,512,bf16,65536,0.842,m2_c,False,,357|105,False,True,False
real,512,bf16,65536,0.842,m3_a,True,766,766|295|105,False,False,False
real,512,bf16,65536,0.842,m3_b,True,568,568|260|95,False,False,False
real,512,bf16,65536,0.842,m3_c,True,766,766|318|156,False,False,False
real,512,bf16,65536,0.842,uh4,True,766,766|357|206|81,False,False,False
real,512,bf16,131072,0.846,m2_a,False,,380|133,False,True,False
real,512,bf16,131072,0.846,m2_b,False,,471|157,False,True,False
real,512,bf16,131072,0.846,m2_c,False,,357|103,False,True,False
real,512,bf16,131072,0.846,m3_a,True,743,743|297|103,False,False,False
real,512,bf16,131072,0.846,m3_b,True,551,551|257|95,False,False,False
real,512,bf16,131072,0.846,m3_c,True,743,743|319|157,False,False,False
real,512,bf16,131072,0.846,uh4,True,743,743|357|210|80,False,False,False
real,512,bf16,262144,0.473,m2_a,True,770,770|187,False,False,False
real,512,bf16,262144,0.473,m2_b,True,1030,1030|231,False,False,False
real,512,bf16,262144,0.473,m2_c,True,694,694|145,False,False,False
real,512,bf16,262144,0.473,m3_a,True,613,1571|613|145,False,False,False
real,512,bf16,262144,0.473,m3_b,True,563,1317|563|132,False,False,False
real,512,bf16,262144,0.473,m3_c,True,637,1571|637|231,False,False,False
real,512,bf16,262144,0.473,uh4,True,694,1571|694|363|109,False,False,False
