K,dtype,N,scen,BS,frozen_us,runner_us,op26_us,frozen_vs_op26,runner_vs_op26,runner_cfg,op26_arm,exact_all
512,bf16,16384,best,64,11.465,10.522,11.438,1.002,0.920,cs1/T512/mb1,1cta,True
512,bf16,16384,best,256,21.811,14.003,15.030,1.451,0.932,cs1/T512/mb3,1cta,True
512,bf16,16384,best,1024,72.155,36.395,39.435,1.830,0.923,cs1/T512/mb3,1cta,True
512,bf16,65536,best,64,29.039,16.271,15.591,1.862,1.044,cs2/T512/mb1,mc,True
512,bf16,65536,best,256,108.211,25.898,25.077,4.315,1.033,cs1/T512/mb3,1cta,True
512,bf16,65536,best,1024,419.013,72.070,69.879,5.996,1.031,cs1/T512/mb3,1cta,True
512,bf16,131072,best,64,32.268,20.149,18.550,1.739,1.086,cs2/T1024/mb1,mc,True
512,bf16,131072,best,256,121.940,42.637,39.609,3.079,1.076,cs1/T512/mb3,1cta,True
512,bf16,131072,best,1024,469.093,137.577,116.511,4.026,1.181,cs1/T512/mb3,1cta,True
512,fp32,16384,best,64,12.418,10.778,12.377,1.003,0.871,cs1/T512/mb1,plain,True
512,fp32,16384,best,256,23.884,14.960,20.022,1.193,0.747,cs1/T512/mb2,plain,True
512,fp32,16384,best,1024,79.550,46.865,57.258,1.389,0.818,cs1/T512/mb2,plain,True
512,fp32,65536,best,64,31.572,16.729,17.189,1.837,0.973,cs2/T512/mb1,mc,True
512,fp32,65536,best,256,117.675,30.054,33.058,3.560,0.909,cs1/T512/mb2,1cta,True
512,fp32,65536,best,1024,447.345,94.166,117.152,3.819,0.804,cs1/T512/mb2,1cta,True
512,fp32,131072,best,64,35.672,23.425,22.034,1.619,1.063,cs2/T1024/mb1,mc,True
512,fp32,131072,best,256,130.532,56.672,61.206,2.133,0.926,cs1/T512/mb2,1cta,True
512,fp32,131072,best,1024,488.177,183.927,200.492,2.435,0.917,cs1/T512/mb2,1cta,True
1024,bf16,65536,best,1024,431.152,74.800,74.540,5.784,1.003,cs1/T512/mb3,1cta,True
1024,fp32,131072,worst,1024,480.469,188.324,211.643,2.270,0.890,cs1/T512/mb2,1cta,True
