model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
flash,4k,22,bf16,1027,1,1,0.638671875,8.7919,7.3136,8.303799999999999,1.202,1.135,True
flash,4k,22,bf16,1027,1,2,0.638671875,8.28635,7.2879499999999995,8.19835,1.137,1.125,True
flash,4k,22,bf16,1027,1,4,0.638671875,8.5504,7.4368,8.3455,1.15,1.122,True
flash,4k,22,bf16,1027,1,8,0.638671875,8.37915,7.3759,8.0768,1.136,1.095,True
flash,4k,22,bf16,1027,1,16,0.638671875,8.5519,7.53275,8.2975,1.135,1.102,True
flash,4k,22,bf16,1027,1,32,0.638671875,8.7328,7.68795,8.497549999999999,1.136,1.105,True
flash,4k,22,bf16,1027,1,64,0.638671875,8.96955,7.935899999999999,8.75515,1.13,1.103,True
flash,4k,22,bf16,1027,1,128,0.638671875,9.203149999999999,8.0928,8.98555,1.137,1.11,True
flash,4k,22,bf16,1027,1,256,0.638671875,10.00315,8.91025,9.5823,1.123,1.075,True
flash,4k,22,bf16,1027,1,512,0.638671875,17.175849999999997,15.687850000000001,16.55665,1.095,1.055,True
flash,4k,22,bf16,1027,1,1024,0.638671875,26.59995,23.595,25.2863,1.127,1.072,True
flash,4k,22,fp16,1027,1,1,0.638671875,8.84795,7.4639,8.2222,1.185,1.102,True
flash,4k,22,fp16,1027,1,2,0.638671875,8.403049999999999,7.406350000000001,8.11355,1.135,1.095,True
flash,4k,22,fp16,1027,1,4,0.638671875,8.5935,7.563149999999999,8.3759,1.136,1.107,True
flash,4k,22,fp16,1027,1,8,0.638671875,8.4686,7.487850000000001,8.25915,1.131,1.103,True
flash,4k,22,fp16,1027,1,16,0.638671875,8.65745,7.67655,8.364700000000001,1.128,1.09,True
flash,4k,22,fp16,1027,1,32,0.638671875,8.895850000000001,7.953600000000001,8.65275,1.118,1.088,True
flash,4k,22,fp16,1027,1,64,0.638671875,8.942350000000001,7.9887,8.671899999999999,1.119,1.086,True
flash,4k,22,fp16,1027,1,128,0.638671875,9.248,8.22395,8.9647,1.125,1.09,True
flash,4k,22,fp16,1027,1,256,0.638671875,9.99675,8.90385,9.540700000000001,1.123,1.072,True
