model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
flash,4k,10,fp32,1027,1,1,0.846,11.895850000000001,7.552,7.86545,1.575,1.042,True
flash,4k,10,fp32,1027,1,2,0.846,11.755049999999999,7.69435,7.7855,1.528,1.012,True
flash,4k,10,fp32,1027,1,4,0.846,11.58855,7.50535,8.0224,1.544,1.069,True
flash,4k,10,fp32,1027,1,8,0.846,11.651,7.5855500000000005,8.08935,1.536,1.066,True
flash,4k,10,fp32,1027,1,16,0.846,11.9935,7.93915,8.2896,1.511,1.044,True
flash,4k,10,fp32,1027,1,32,0.846,12.12935,8.0496,8.31985,1.507,1.034,True
flash,4k,10,fp32,1027,1,64,0.846,12.20625,8.0448,8.414399999999999,1.517,1.046,True
flash,4k,10,fp32,1027,1,128,0.846,12.49425,8.327950000000001,8.692549999999999,1.5,1.044,True
flash,4k,10,fp32,1027,1,256,0.846,13.9854,9.343950000000001,10.27675,1.497,1.1,True
flash,4k,10,fp32,1027,1,512,0.846,26.1885,17.1677,18.1678,1.525,1.058,True
flash,4k,10,fp32,1027,1,1024,0.846,49.298550000000006,31.7323,27.759700000000002,1.554,0.875,True
flash,8k,10,fp32,2051,1,1,0.672,9.417549999999999,7.990399999999999,9.0684,1.179,1.135,True
flash,8k,10,fp32,2051,1,2,0.672,9.577399999999999,8.07675,9.08415,1.186,1.125,True
flash,8k,10,fp32,2051,1,4,0.672,9.39515,7.8527,8.8384,1.196,1.126,True
flash,8k,10,fp32,2051,1,8,0.672,9.585600000000001,8.0591,9.106950000000001,1.189,1.13,True
flash,8k,10,fp32,2051,1,16,0.672,9.624,8.184,9.0896,1.176,1.111,True
flash,8k,10,fp32,2051,1,32,0.672,9.82075,8.357700000000001,9.411200000000001,1.175,1.126,True
flash,8k,10,fp32,2051,1,64,0.672,9.98395,8.389850000000001,9.6176,1.19,1.146,True
flash,8k,10,fp32,2051,1,128,0.672,10.3934,8.8464,9.77905,1.175,1.105,True
flash,8k,10,fp32,2051,1,256,0.672,11.5486,9.9229,11.5935,1.164,1.168,True
flash,8k,10,fp32,2051,1,512,0.672,21.24455,18.19975,20.78525,1.167,1.142,True
flash,8k,10,fp32,2051,1,1024,0.672,38.90675,32.665099999999995,31.421950000000002,1.191,0.962,True
flash,16k,10,fp32,4099,1,1,0.648,12.3935,8.988700000000001,10.219,1.379,1.137,True
flash,16k,10,fp32,4099,1,2,0.648,12.275,8.92,9.9871,1.376,1.12,True
flash,16k,10,fp32,4099,1,4,0.648,12.1678,8.820450000000001,10.0272,1.379,1.137,True
flash,16k,10,fp32,4099,1,8,0.648,12.383799999999999,9.02075,9.984,1.373,1.107,True
flash,16k,10,fp32,4099,1,16,0.648,12.56465,9.211,10.37585,1.364,1.126,True
flash,16k,10,fp32,4099,1,32,0.648,12.6495,9.288,10.5168,1.362,1.132,True
flash,16k,10,fp32,4099,1,64,0.648,12.836649999999999,9.54195,10.7088,1.345,1.122,True
flash,16k,10,fp32,4099,1,128,0.648,13.19185,9.77735,10.90075,1.349,1.115,True
flash,16k,10,fp32,4099,1,256,0.648,15.483049999999999,11.379100000000001,13.3407,1.361,1.172,True
flash,16k,10,fp32,4099,1,512,0.648,28.62525,20.5533,23.66045,1.393,1.151,True
flash,16k,10,fp32,4099,1,1024,0.648,50.9401,36.89395,36.0859,1.381,0.978,True
flash,32k,10,fp32,8195,1,1,0.723,15.26855,8.84475,10.0704,1.726,1.139,True
flash,32k,10,fp32,8195,1,2,0.723,15.319700000000001,8.9424,9.9312,1.713,1.111,True
flash,32k,10,fp32,8195,1,4,0.723,15.196549999999998,8.763200000000001,9.9804,1.734,1.139,True
flash,32k,10,fp32,8195,1,8,0.723,15.5053,9.13115,10.2704,1.698,1.125,True
flash,32k,10,fp32,8195,1,16,0.723,15.596549999999999,9.2608,10.393600000000001,1.684,1.122,True
flash,32k,10,fp32,8195,1,32,0.723,15.7742,9.366299999999999,10.5135,1.684,1.122,True
flash,32k,10,fp32,8195,1,64,0.723,15.9854,9.683200000000001,10.753549999999999,1.651,1.111,True
flash,32k,10,fp32,8195,1,128,0.723,16.55495,10.235149999999999,11.36435,1.617,1.11,True
flash,32k,10,fp32,8195,1,256,0.723,20.4606,12.3757,14.15975,1.653,1.144,True
flash,32k,10,fp32,8195,1,512,0.723,37.58825,22.095650000000003,24.4268,1.701,1.106,True
flash,32k,10,fp32,8195,1,1024,0.723,66.0871,39.53385,38.54675,1.672,0.975,True
flash,64k,10,fp32,16387,1,1,0.582,16.407799999999998,10.398200000000001,11.124799999999999,1.578,1.07,True
flash,64k,10,fp32,16387,1,2,0.582,16.1677,10.1631,11.0784,1.591,1.09,True
flash,64k,10,fp32,16387,1,4,0.582,16.55025,10.4719,11.11515,1.58,1.061,True
flash,64k,10,fp32,16387,1,8,0.582,16.561349999999997,10.4848,11.3184,1.58,1.08,True
flash,64k,10,fp32,16387,1,16,0.582,16.766099999999998,10.6784,11.51495,1.57,1.078,True
flash,64k,10,fp32,16387,1,32,0.582,16.99495,10.908700000000001,11.798350000000001,1.558,1.082,True
flash,64k,10,fp32,16387,1,64,0.582,17.40455,11.33895,12.2272,1.535,1.078,True
flash,64k,10,fp32,16387,1,128,0.582,18.3965,12.25105,13.1696,1.502,1.075,True
flash,64k,10,fp32,16387,1,256,0.582,23.414099999999998,15.289299999999999,18.626900000000003,1.531,1.218,True
flash,64k,10,fp32,16387,1,512,0.582,42.84425,27.5117,33.762800000000006,1.557,1.227,True
flash,64k,10,fp32,16387,1,1024,0.582,74.439,49.22175,53.38325,1.512,1.085,True
flash,128k,10,fp32,32771,1,1,0.523,14.339049999999999,12.59515,13.79665,1.138,1.095,True
flash,128k,10,fp32,32771,1,2,0.523,14.236600000000001,12.479899999999999,13.670200000000001,1.141,1.095,True
flash,128k,10,fp32,32771,1,4,0.523,14.401399999999999,12.77915,14.04935,1.127,1.099,True
flash,128k,10,fp32,32771,1,8,0.523,14.49105,12.736,13.918299999999999,1.138,1.093,True
flash,128k,10,fp32,32771,1,16,0.523,14.964649999999999,13.23335,14.3544,1.131,1.085,True
flash,128k,10,fp32,32771,1,32,0.523,15.3901,13.70825,14.79035,1.123,1.079,True
flash,128k,10,fp32,32771,1,64,0.523,16.07505,14.2942,15.47175,1.125,1.082,True
flash,128k,10,fp32,32771,1,128,0.523,17.2542,15.33735,16.6893,1.125,1.088,True
flash,128k,10,fp32,32771,1,256,0.523,24.03965,20.934099999999997,25.9644,1.148,1.24,True
flash,128k,10,fp32,32771,1,512,0.523,44.8681,38.92275,51.405699999999996,1.153,1.321,True
flash,128k,10,fp32,32771,1,1024,0.523,78.76845,67.77515,78.33655,1.162,1.156,True
flash,256k,10,fp32,65538,4,1,0.193,17.2189,13.61895,13.947049999999999,1.264,1.024,True
flash,256k,10,fp32,65538,4,2,0.193,17.6606,14.06705,14.6029,1.255,1.038,True
flash,256k,10,fp32,65538,4,4,0.193,17.9758,14.307,14.651,1.256,1.024,True
flash,256k,10,fp32,65538,4,8,0.193,18.099,14.61895,15.115,1.238,1.034,True
flash,256k,10,fp32,65538,4,16,0.193,18.48775,14.9888,15.348600000000001,1.233,1.024,True
flash,256k,10,fp32,65538,4,32,0.193,19.3869,15.8542,16.3902,1.223,1.034,True
flash,256k,10,fp32,65538,2,64,0.193,21.8717,18.2238,17.923,1.2,0.983,True
flash,256k,10,fp32,65538,1,128,0.193,23.82375,20.356450000000002,25.90525,1.17,1.273,True
flash,256k,10,fp32,65538,1,256,0.193,36.911550000000005,31.7261,39.38505,1.163,1.241,True
flash,256k,10,fp32,65538,1,512,0.193,69.72710000000001,60.22005,86.28505,1.158,1.433,True
flash,256k,10,fp32,65538,1,1024,0.193,115.58885000000001,100.51065,130.46705,1.15,1.298,True
flash,512k,10,fp32,131075,8,1,0.455,17.343700000000002,17.9597,17.18215,0.966,0.957,True
flash,512k,10,fp32,131075,8,2,0.455,17.2269,17.79495,17.265349999999998,0.968,0.97,True
flash,512k,10,fp32,131075,8,4,0.455,17.59825,18.29895,17.539,0.962,0.958,True
flash,512k,10,fp32,131075,4,8,0.455,18.61095,19.623849999999997,17.91015,0.948,0.913,True
flash,512k,10,fp32,131075,4,16,0.455,19.2078,20.145349999999997,18.59345,0.953,0.923,True
flash,512k,10,fp32,131075,4,32,0.455,20.4045,21.19655,22.36125,0.963,1.055,True
flash,512k,10,fp32,131075,2,64,0.455,25.47325,26.743650000000002,25.3245,0.952,0.947,True
flash,512k,10,fp32,131075,1,128,0.455,34.4491,37.76275,38.4475,0.912,1.018,True
flash,512k,10,fp32,131075,1,256,0.455,66.7975,83.08535,88.0515,0.804,1.06,True
flash,512k,10,fp32,131075,1,512,0.455,119.29414999999999,149.5068,178.10160000000002,0.798,1.191,True
flash,512k,10,fp32,131075,1,1024,0.455,212.63225,272.31,282.5146,0.781,1.037,True
flash,1024k,10,fp32,262127,8,1,0.385,21.32125,21.19175,20.7517,1.006,0.979,True
flash,1024k,10,fp32,262127,8,2,0.385,21.2781,21.1133,20.6221,1.008,0.977,True
flash,1024k,10,fp32,262127,8,4,0.385,21.8285,21.658900000000003,21.318099999999998,1.008,0.984,True
flash,1024k,10,fp32,262127,4,8,0.385,22.795,23.148400000000002,21.9917,0.985,0.95,True
flash,1024k,10,fp32,262127,4,16,0.385,23.94525,23.990099999999998,22.812549999999998,0.998,0.951,True
flash,1024k,10,fp32,262127,4,32,0.385,27.041150000000002,27.13085,29.9468,0.997,1.104,True
flash,1024k,10,fp32,262127,2,64,0.385,38.80585,39.78515,38.063550000000006,0.975,0.957,True
flash,1024k,10,fp32,262127,1,128,0.385,63.8551,81.6164,79.90935,0.782,0.979,True
flash,1024k,10,fp32,262127,1,256,0.385,110.17460000000001,151.95795,152.03475,0.725,1.001,True
flash,1024k,10,fp32,262127,1,512,0.385,202.27725,271.70509999999996,305.56225,0.744,1.125,True
flash,1024k,10,fp32,262127,1,1024,0.385,382.9597,519.713,515.41385,0.737,0.992,True
flash,4k,22,fp32,1027,1,1,0.639,8.63345,7.44795,7.776,1.159,1.044,True
flash,4k,22,fp32,1027,1,2,0.639,8.4511,7.6223,7.737550000000001,1.109,1.015,True
