K,dtype,N,scen,cs,BS,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
512,bf16,4096,best,1,1,13.5185,8.432,12.7808,1.603,1.516,True
512,bf16,4096,best,1,2,13.1075,8.3216,12.7128,1.575,1.528,True
512,bf16,4096,best,1,4,12.984,8.352,12.489600000000001,1.555,1.495,True
512,bf16,4096,best,1,8,12.887049999999999,8.1216,12.579649999999999,1.587,1.549,True
512,bf16,4096,best,1,16,13.19215,8.584100000000001,12.836799999999998,1.537,1.495,True
512,bf16,4096,best,1,32,13.31725,8.68015,12.968,1.534,1.494,True
512,bf16,4096,best,1,64,13.4048,8.67365,13.064,1.545,1.506,True
512,bf16,4096,best,1,128,13.725200000000001,9.0048,13.300799999999999,1.524,1.477,True
512,bf16,4096,best,1,256,16.6369,10.5472,11.8032,1.577,1.119,True
512,bf16,4096,best,1,512,28.470650000000003,18.56175,20.72495,1.534,1.117,True
512,bf16,4096,best,1,1024,44.62755,27.5314,31.166700000000002,1.621,1.132,True
512,bf16,4096,worst,1,1,9.233799999999999,8.4065,8.4016,1.098,0.999,True
512,bf16,4096,worst,1,2,8.80165,8.352049999999998,8.4224,1.054,1.008,True
512,bf16,4096,worst,1,4,8.804950000000002,8.3041,8.5009,1.06,1.024,True
512,bf16,4096,worst,1,8,8.9825,8.51045,8.518450000000001,1.055,1.001,True
512,bf16,4096,worst,1,16,8.81125,8.43365,8.5649,1.045,1.016,True
512,bf16,4096,worst,1,32,9.0001,8.54245,8.6593,1.054,1.014,True
512,bf16,4096,worst,1,64,8.9409,8.52965,8.65125,1.048,1.014,True
512,bf16,4096,worst,1,128,9.2609,8.8353,8.864049999999999,1.048,1.003,True
512,bf16,4096,worst,1,256,10.6561,10.27365,9.718549999999999,1.037,0.946,True
512,bf16,4096,worst,1,512,18.1026,18.19855,17.332900000000002,0.995,0.952,True
512,bf16,4096,worst,1,1024,27.694650000000003,26.792150000000003,25.83865,1.034,0.964,True
512,bf16,8192,best,1,1,10.552,9.12025,10.3152,1.157,1.131,True
512,bf16,8192,best,1,2,10.664,9.281600000000001,10.48335,1.149,1.129,True
512,bf16,8192,best,1,4,10.584,9.33775,10.2352,1.133,1.096,True
512,bf16,8192,best,1,8,10.601600000000001,9.249600000000001,10.364799999999999,1.146,1.121,True
512,bf16,8192,best,1,16,10.8176,9.512,10.58415,1.137,1.113,True
512,bf16,8192,best,1,32,11.1184,9.856,10.808200000000001,1.128,1.097,True
512,bf16,8192,best,1,64,11.313600000000001,10.035200000000001,11.0338,1.127,1.1,True
512,bf16,8192,best,1,128,11.527299999999999,10.2384,11.246649999999999,1.126,1.098,True
512,bf16,8192,best,1,256,13.572799999999999,12.0176,13.1413,1.129,1.094,True
512,bf16,8192,best,1,512,23.07535,21.285,22.59225,1.084,1.061,True
512,bf16,8192,best,1,1024,35.51875,31.30585,34.682,1.135,1.108,True
512,bf16,8192,worst,1,1,10.616200000000001,9.51375,10.2433,1.116,1.077,True
512,bf16,8192,worst,1,2,10.4097,9.3009,9.8705,1.119,1.061,True
512,bf16,8192,worst,1,4,10.446549999999998,9.3904,10.097700000000001,1.112,1.075,True
512,bf16,8192,worst,1,8,10.508899999999999,9.5105,10.14095,1.105,1.066,True
512,bf16,8192,worst,1,16,10.496,9.46565,10.0785,1.109,1.065,True
512,bf16,8192,worst,1,32,10.464049999999999,9.475200000000001,10.0993,1.104,1.066,True
512,bf16,8192,worst,1,64,10.6737,9.6929,10.32165,1.101,1.065,True
512,bf16,8192,worst,1,128,10.8209,9.809700000000001,10.48975,1.103,1.069,True
512,bf16,8192,worst,1,256,12.68335,11.614450000000001,11.2785,1.092,0.971,True
512,bf16,8192,worst,1,512,21.4898,19.79855,19.260900000000003,1.085,0.973,True
512,bf16,8192,worst,1,1024,32.84185,30.0626,29.184150000000002,1.092,0.971,True
512,bf16,16384,best,1,1,13.1904,9.8864,10.875200000000001,1.334,1.1,True
512,bf16,16384,best,1,2,13.27525,10.104,11.0864,1.314,1.097,True
512,bf16,16384,best,1,4,13.2704,10.0096,11.112,1.326,1.11,True
512,bf16,16384,best,1,8,13.3425,10.08,11.152,1.324,1.106,True
512,bf16,16384,best,1,16,13.2865,10.10885,11.1776,1.314,1.106,True
512,bf16,16384,best,1,32,13.5312,10.3472,11.42595,1.308,1.104,True
512,bf16,16384,best,1,64,13.69475,10.504,11.5504,1.304,1.1,True
512,bf16,16384,best,1,128,14.179350000000001,10.9424,12.0256,1.296,1.099,True
512,bf16,16384,best,1,256,18.39695,13.549,14.6128,1.358,1.079,True
512,bf16,16384,best,1,512,31.06905,22.4738,24.8194,1.382,1.104,True
512,bf16,16384,best,1,1024,48.938,35.02105,38.48035,1.397,1.099,True
512,bf16,16384,worst,1,1,10.1121,10.344100000000001,10.963299999999998,0.978,1.06,True
512,bf16,16384,worst,1,2,9.9266,10.0416,10.71205,0.989,1.067,True
512,bf16,16384,worst,1,4,9.961649999999999,10.05125,10.68645,0.991,1.063,True
512,bf16,16384,worst,1,8,10.0033,10.188799999999999,10.793700000000001,0.982,1.059,True
512,bf16,16384,worst,1,16,10.1201,10.3073,10.89445,0.982,1.057,True
512,bf16,16384,worst,1,32,10.1505,10.313649999999999,10.93295,0.984,1.06,True
512,bf16,16384,worst,1,64,10.3233,10.520100000000001,11.104049999999999,0.981,1.056,True
512,bf16,16384,worst,1,128,10.924850000000001,11.01445,11.65445,0.992,1.058,True
512,bf16,16384,worst,1,256,13.6304,13.63695,14.1841,1.0,1.04,True
512,bf16,16384,worst,1,512,22.486549999999998,22.7602,24.00345,0.988,1.055,True
512,bf16,16384,worst,1,1024,34.8195,35.3346,37.032199999999996,0.985,1.048,True
512,bf16,32768,best,1,1,13.83845,11.9728,11.9472,1.156,0.998,True
512,bf16,32768,best,1,2,13.792549999999999,11.8336,11.7973,1.166,0.997,True
512,bf16,32768,best,1,4,13.7936,11.8896,11.859200000000001,1.16,0.997,True
512,bf16,32768,best,1,8,13.7986,11.809899999999999,11.821549999999998,1.168,1.001,True
512,bf16,32768,best,1,16,13.7633,11.9505,11.9104,1.152,0.997,True
512,bf16,32768,best,1,32,14.14405,12.249600000000001,12.2192,1.155,0.998,True
512,bf16,32768,best,1,64,14.42255,12.4848,12.521600000000001,1.155,1.003,True
512,bf16,32768,best,1,128,14.93445,13.0416,13.1928,1.145,1.012,True
512,bf16,32768,best,1,256,20.176099999999998,16.96175,17.2978,1.19,1.02,True
512,bf16,32768,best,1,512,33.98275,28.1155,28.9235,1.209,1.029,True
512,bf16,32768,best,1,1024,54.176449999999996,44.6708,46.035650000000004,1.213,1.031,True
512,bf16,32768,worst,1,1,11.60975,11.9297,11.69765,0.973,0.981,True
512,bf16,32768,worst,1,2,11.53935,11.844850000000001,11.69765,0.974,0.988,True
512,bf16,32768,worst,1,4,11.51375,11.848049999999999,11.71055,0.972,0.988,True
512,bf16,32768,worst,1,8,11.630450000000002,11.95215,11.745700000000001,0.973,0.983,True
512,bf16,32768,worst,1,16,11.8033,12.10885,12.0081,0.975,0.992,True
512,bf16,32768,worst,1,32,11.93285,12.2769,12.0209,0.972,0.979,True
512,bf16,32768,worst,1,64,12.26255,12.619299999999999,12.438450000000001,0.972,0.986,True
512,bf16,32768,worst,1,128,12.8305,13.1089,13.027299999999999,0.979,0.994,True
512,bf16,32768,worst,1,256,17.012900000000002,17.238599999999998,17.14415,0.987,0.995,True
512,bf16,32768,worst,1,512,27.8387,28.3027,28.22415,0.984,0.997,True
512,bf16,32768,worst,1,1024,44.293800000000005,45.0106,44.942699999999995,0.984,0.998,True
512,bf16,65536,best,4,1,18.63375,12.9472,13.619200000000001,1.439,1.052,True
512,bf16,65536,best,4,2,18.76975,13.052850000000001,13.5968,1.438,1.042,True
512,bf16,65536,best,4,4,19.0289,13.44005,14.04195,1.416,1.045,True
512,bf16,65536,best,4,8,19.283450000000002,13.584200000000001,14.272350000000001,1.42,1.051,True
512,bf16,65536,best,4,16,19.47055,13.7585,14.2544,1.415,1.036,True
512,bf16,65536,best,4,32,20.16175,14.241700000000002,15.20645,1.416,1.068,True
512,bf16,65536,best,2,64,23.7714,16.060950000000002,15.929649999999999,1.48,0.992,True
512,bf16,65536,best,1,128,23.689799999999998,17.0609,17.12005,1.389,1.003,True
512,bf16,65536,best,1,256,38.7539,24.7347,24.6002,1.567,0.995,True
512,bf16,65536,best,1,512,69.54145,42.778,43.24365,1.626,1.011,True
512,bf16,65536,best,1,1024,110.769,68.1557,68.4982,1.625,1.005,True
512,bf16,65536,worst,4,1,12.53605,12.923350000000001,13.0737,0.97,1.012,True
512,bf16,65536,worst,4,2,12.876850000000001,13.22245,13.3489,0.974,1.01,True
512,bf16,65536,worst,4,4,12.9714,13.28815,13.52325,0.976,1.018,True
512,bf16,65536,worst,4,8,13.1281,13.58575,13.7889,0.966,1.015,True
512,bf16,65536,worst,4,16,13.33285,13.656049999999999,13.79525,0.976,1.01,True
512,bf16,65536,worst,4,32,13.8306,14.17925,14.564950000000001,0.975,1.027,True
512,bf16,65536,worst,2,64,15.548950000000001,15.9041,15.14245,0.978,0.952,True
512,bf16,65536,worst,1,128,16.21455,17.10255,16.72495,0.948,0.978,True
512,bf16,65536,worst,1,256,24.07385,24.357,23.8962,0.988,0.981,True
512,bf16,65536,worst,1,512,42.16375,42.2416,41.7409,0.998,0.988,True
512,bf16,65536,worst,1,1024,66.1093,67.41975,66.2357,0.981,0.982,True
512,bf16,131072,best,8,1,16.7506,14.214649999999999,14.48325,1.178,1.019,True
512,bf16,131072,best,8,2,17.163349999999998,14.478399999999999,14.569600000000001,1.185,1.006,True
512,bf16,131072,best,8,4,17.31375,14.678700000000001,14.91215,1.18,1.016,True
512,bf16,131072,best,4,8,18.82105,15.72815,15.2113,1.197,0.967,True
512,bf16,131072,best,4,16,19.024150000000002,15.83855,15.585600000000001,1.201,0.984,True
