model,isl,N,K,L,BS,op,minb,active,rpw,waves,us,us_span,exact
flash,512k,131075,512,22,1,gvr_pr,,,,,24.2333,24.2333,True
flash,512k,131075,512,22,1,ext_v1,1,2,4,1,8.8423,8.8423,True
flash,512k,131075,512,22,1,ext_v3,3,3,6,1,9.1546,9.1546,True
flash,512k,131075,512,22,1,ext_v4,4,4,9,1,8.9975,8.9975,True
flash,512k,131075,512,22,2,gvr_pr,,,,,24.0765,24.0765,True
flash,512k,131075,512,22,2,ext_v1,1,2,4,1,9.6172,9.6172,True
flash,512k,131075,512,22,2,ext_v3,3,3,6,1,9.7576,9.7576,True
flash,512k,131075,512,22,2,ext_v4,4,4,9,1,9.6602,9.6602,True
flash,512k,131075,512,22,4,gvr_pr,,,,,24.1932,24.1932,True
flash,512k,131075,512,22,4,ext_v1,1,2,4,1,9.7465,9.7465,True
flash,512k,131075,512,22,4,ext_v3,3,3,6,1,10.0822,10.0822,True
flash,512k,131075,512,22,4,ext_v4,4,4,9,1,9.9575,9.9575,True
flash,512k,131075,512,22,8,gvr_pr,,,,,24.5644,24.5644,True
flash,512k,131075,512,22,8,ext_v1,1,2,4,2,19.3744,19.6288,True
flash,512k,131075,512,22,8,ext_v3,3,3,6,2,19.9345,20.1938,True
flash,512k,131075,512,22,8,ext_v4,4,4,9,1,11.1735,11.1735,True
flash,512k,131075,512,22,16,gvr_pr,,,,,25.2892,25.2892,True
flash,512k,131075,512,22,16,ext_v1,1,2,4,4,38.6896,39.4592,True
flash,512k,131075,512,22,16,ext_v3,3,3,6,3,31.0263,31.535,True
flash,512k,131075,512,22,16,ext_v4,4,4,9,2,22.3583,22.6127,True
flash,512k,131075,512,22,32,gvr_pr,,,,,27.3978,27.3978,True
flash,512k,131075,512,22,32,ext_v1,1,2,4,8,76.5062,78.285,True
flash,512k,131075,512,22,32,ext_v3,3,3,6,6,61.0271,62.3055,True
flash,512k,131075,512,22,32,ext_v4,4,4,9,4,44.1452,44.9099,True
pro,512k,131075,1024,30,1,gvr_pr,,,,,17.5315,17.5315,True
pro,512k,131075,1024,30,1,ext_v1,1,2,4,1,8.833,8.833,True
pro,512k,131075,1024,30,1,ext_v3,3,3,6,1,8.916,8.916,True
pro,512k,131075,1024,30,1,ext_v4,4,4,9,1,9.0008,9.0008,True
pro,512k,131075,1024,30,2,gvr_pr,,,,,17.3442,17.3442,True
pro,512k,131075,1024,30,2,ext_v1,1,2,4,1,9.2842,9.2842,True
pro,512k,131075,1024,30,2,ext_v3,3,3,6,1,9.3751,9.3751,True
pro,512k,131075,1024,30,2,ext_v4,4,4,9,1,9.5224,9.5224,True
pro,512k,131075,1024,30,4,gvr_pr,,,,,17.4001,17.4001,True
pro,512k,131075,1024,30,4,ext_v1,1,2,4,1,9.7783,9.7783,True
pro,512k,131075,1024,30,4,ext_v3,3,3,6,1,9.9051,9.9051,True
pro,512k,131075,1024,30,4,ext_v4,4,4,9,1,9.9495,9.9495,True
pro,512k,131075,1024,30,8,gvr_pr,,,,,18.0787,18.0787,True
pro,512k,131075,1024,30,8,ext_v1,1,2,4,2,19.5762,19.8305,True
pro,512k,131075,1024,30,8,ext_v3,3,3,6,2,20.0497,20.3057,True
pro,512k,131075,1024,30,8,ext_v4,4,4,9,1,11.2423,11.2423,True
pro,512k,131075,1024,30,16,gvr_pr,,,,,18.7007,18.7007,True
pro,512k,131075,1024,30,16,ext_v1,1,2,4,4,39.0498,39.8241,True
pro,512k,131075,1024,30,16,ext_v3,3,3,6,3,31.0087,31.527,True
pro,512k,131075,1024,30,16,ext_v4,4,4,9,2,22.2291,22.485,True
pro,512k,131075,1024,30,32,gvr_pr,,,,,20.1106,20.1106,True
pro,512k,131075,1024,30,32,ext_v1,1,2,4,8,77.0516,78.8481,True
pro,512k,131075,1024,30,32,ext_v3,3,3,6,6,60.7695,62.0494,True
pro,512k,131075,1024,30,32,ext_v4,4,4,9,4,43.5277,44.294,True
