model,isl,N,K,L,BS,kind,hit,cs,op,path,team,cap,rpw,waves,us,us_span,exact
flash,16k,4099,512,22,1,A,0.3438,1,gvr_pr,,,,,,10.1379,10.1379,True
flash,16k,4099,512,22,1,A,0.3438,,kf_compB,,,,,,5.6932,5.6932,True
flash,16k,4099,512,22,1,A,0.3438,,kf_compB_ext,0,1,0,1,1,5.7921,5.7921,True
flash,16k,4099,512,22,2,A,0.3438,1,gvr_pr,,,,,,10.0497,10.0497,True
flash,16k,4099,512,22,2,A,0.3438,,kf_compB,,,,,,11.405,11.6594,True
flash,16k,4099,512,22,2,A,0.3438,,kf_compB_ext,0,1,0,2,1,5.9104,5.9104,True
flash,16k,4099,512,22,4,A,0.3438,1,gvr_pr,,,,,,9.8897,9.8897,True
flash,16k,4099,512,22,4,A,0.3438,,kf_compB,,,,,,22.7733,23.538,True
flash,16k,4099,512,22,4,A,0.3438,,kf_compB_ext,0,1,0,4,1,5.8561,5.8561,True
flash,16k,4099,512,22,8,A,0.3438,1,gvr_pr,,,,,,10.2193,10.2193,True
flash,16k,4099,512,22,8,A,0.3438,,kf_compB,,,,,,45.2248,47.0184,True
flash,16k,4099,512,22,8,A,0.3438,,kf_compB_ext,0,1,0,8,1,5.8704,5.8704,True
flash,16k,4099,512,22,16,A,0.3438,1,gvr_pr,,,,,,10.0001,10.0001,True
flash,16k,4099,512,22,16,A,0.3438,,kf_compB,,,,,,89.5924,93.4324,True
flash,16k,4099,512,22,16,A,0.3438,,kf_compB_ext,0,1,0,16,1,5.9536,5.9536,True
flash,16k,4099,512,22,64,A,0.3438,1,gvr_pr,,,,,,10.101,10.101,True
flash,16k,4099,512,22,64,A,0.3438,,kf_compB,,,,,,355.0249,371.1197,True
flash,16k,4099,512,22,64,A,0.3438,,kf_compB_ext,0,1,0,64,1,6.1409,6.1409,True
flash,16k,4099,512,22,256,A,0.3438,1,gvr_pr,,,,,,19.3588,19.3588,True
flash,16k,4099,512,22,256,A,0.3438,,kf_compB,,,,,,1416.4126,1481.5718,True
flash,16k,4099,512,22,256,A,0.3438,,kf_compB_ext,0,1,0,256,1,11.3121,11.3121,True
flash,16k,4099,512,22,1024,A,0.3438,1,gvr_pr,,,,,,63.1434,63.1434,True
flash,16k,4099,512,22,1024,A,0.3438,,kf_compB,,,,,,5645.3475,5906.7428,True
flash,16k,4099,512,22,1024,A,0.3438,,kf_compB_ext,0,1,0,1024,1,35.8898,35.8898,True
flash,512k,131075,512,22,1,B,0.0566,4,gvr_pr,,,,,,23.6722,23.6722,True
flash,512k,131075,512,22,1,B,0.0566,,kf_compB,,,,,,9.269,9.269,True
flash,512k,131075,512,22,1,B,0.0566,,kf_compB_ext,1,65,296,4,1,9.2096,9.2096,True
flash,512k,131075,512,22,2,B,0.0566,4,gvr_pr,,,,,,23.8549,23.8549,True
flash,512k,131075,512,22,2,B,0.0566,,kf_compB,,,,,,18.3425,18.6002,True
flash,512k,131075,512,22,2,B,0.0566,,kf_compB_ext,1,65,296,4,1,9.3713,9.3713,True
flash,512k,131075,512,22,4,B,0.0566,4,gvr_pr,,,,,,24.2389,24.2389,True
flash,512k,131075,512,22,4,B,0.0566,,kf_compB,,,,,,36.4149,37.1862,True
flash,512k,131075,512,22,4,B,0.0566,,kf_compB_ext,1,65,296,4,1,9.7474,9.7474,True
flash,512k,131075,512,22,8,B,0.0566,4,gvr_pr,,,,,,24.66,24.66,True
flash,512k,131075,512,22,8,B,0.0566,,kf_compB,,,,,,72.4557,74.2446,True
flash,512k,131075,512,22,8,B,0.0566,,kf_compB_ext,1,65,296,4,2,19.778,20.0388,True
flash,512k,131075,512,22,16,B,0.0566,4,gvr_pr,,,,,,25.3843,25.3843,True
flash,512k,131075,512,22,16,B,0.0566,,kf_compB,,,,,,143.436,147.2634,True
flash,512k,131075,512,22,16,B,0.0566,,kf_compB_ext,1,65,296,4,4,39.0327,39.8039,True
flash,64k,16387,512,22,1,A,0.0762,1,gvr_pr,,,,,,13.1362,13.1362,True
flash,64k,16387,512,22,1,A,0.0762,,kf_compB,,,,,,8.0562,8.0562,True
flash,64k,16387,512,22,1,A,0.0762,,kf_compB_ext,0,1,0,1,1,8.0401,8.0401,True
flash,64k,16387,512,22,2,A,0.0762,1,gvr_pr,,,,,,13.4241,13.4241,True
flash,64k,16387,512,22,2,A,0.0762,,kf_compB,,,,,,16.1745,16.4577,True
flash,64k,16387,512,22,2,A,0.0762,,kf_compB_ext,0,1,0,2,1,8.1088,8.1088,True
flash,64k,16387,512,22,4,A,0.0762,1,gvr_pr,,,,,,13.0739,13.0739,True
flash,64k,16387,512,22,4,A,0.0762,,kf_compB,,,,,,32.2389,33.0149,True
flash,64k,16387,512,22,4,A,0.0762,,kf_compB_ext,0,1,0,4,1,8.1249,8.1249,True
flash,64k,16387,512,22,8,A,0.0762,1,gvr_pr,,,,,,13.061,13.061,True
flash,64k,16387,512,22,8,A,0.0762,,kf_compB,,,,,,64.4875,66.2796,True
flash,64k,16387,512,22,8,A,0.0762,,kf_compB_ext,0,1,0,8,1,8.1986,8.1986,True
flash,64k,16387,512,22,16,A,0.0762,1,gvr_pr,,,,,,13.4546,13.4546,True
flash,64k,16387,512,22,16,A,0.0762,,kf_compB,,,,,,127.8116,131.642,True
flash,64k,16387,512,22,16,A,0.0762,,kf_compB_ext,0,1,0,16,1,8.5633,8.5633,True
flash,64k,16387,512,22,64,A,0.0762,1,gvr_pr,,,,,,13.989,13.989,True
flash,64k,16387,512,22,64,A,0.0762,,kf_compB,,,,,,505.5417,521.7132,True
flash,64k,16387,512,22,64,A,0.0762,,kf_compB_ext,0,1,0,64,1,9.3681,9.3681,True
flash,64k,16387,512,22,256,A,0.0762,1,gvr_pr,,,,,,27.3733,27.3733,True
flash,64k,16387,512,22,256,A,0.0762,,kf_compB,,,,,,2017.2035,2082.4959,True
flash,64k,16387,512,22,256,A,0.0762,,kf_compB_ext,0,1,0,256,1,18.202,18.202,True
flash,64k,16387,512,22,1024,A,0.0762,1,gvr_pr,,,,,,91.9008,91.9008,True
flash,64k,16387,512,22,1024,A,0.0762,,kf_compB,,,,,,8073.088,8335.024,True
flash,64k,16387,512,22,1024,A,0.0762,,kf_compB_ext,0,1,0,1024,1,58.1594,58.1594,True
pro,16k,4099,1024,30,1,A,0.7393,1,gvr_pr,,,,,,10.8146,10.8146,True
pro,16k,4099,1024,30,1,A,0.7393,,kf_compB,,,,,,5.8881,5.8881,True
pro,16k,4099,1024,30,1,A,0.7393,,kf_compB_ext,0,1,0,1,1,5.9569,5.9569,True
pro,16k,4099,1024,30,2,A,0.7393,1,gvr_pr,,,,,,10.4035,10.4035,True
pro,16k,4099,1024,30,2,A,0.7393,,kf_compB,,,,,,11.7185,12.1218,True
pro,16k,4099,1024,30,2,A,0.7393,,kf_compB_ext,0,1,0,2,1,6.0209,6.0209,True
pro,16k,4099,1024,30,4,A,0.7393,1,gvr_pr,,,,,,10.4481,10.4481,True
pro,16k,4099,1024,30,4,A,0.7393,,kf_compB,,,,,,23.4215,24.1879,True
pro,16k,4099,1024,30,4,A,0.7393,,kf_compB_ext,0,1,0,4,1,6.0193,6.0193,True
pro,16k,4099,1024,30,8,A,0.7393,1,gvr_pr,,,,,,10.341,10.341,True
pro,16k,4099,1024,30,8,A,0.7393,,kf_compB,,,,,,46.6936,48.4904,True
pro,16k,4099,1024,30,8,A,0.7393,,kf_compB_ext,0,1,0,8,1,6.029,6.029,True
pro,16k,4099,1024,30,16,A,0.7393,1,gvr_pr,,,,,,10.3506,10.3506,True
pro,16k,4099,1024,30,16,A,0.7393,,kf_compB,,,,,,92.2431,96.0848,True
pro,16k,4099,1024,30,16,A,0.7393,,kf_compB_ext,0,1,0,16,1,6.0161,6.0161,True
pro,16k,4099,1024,30,64,A,0.7393,1,gvr_pr,,,,,,10.6514,10.6514,True
pro,16k,4099,1024,30,64,A,0.7393,,kf_compB,,,,,,366.5919,382.7586,True
pro,16k,4099,1024,30,64,A,0.7393,,kf_compB_ext,0,1,0,64,1,6.2721,6.2721,True
pro,16k,4099,1024,30,256,A,0.7393,1,gvr_pr,,,,,,20.253,20.253,True
pro,16k,4099,1024,30,256,A,0.7393,,kf_compB,,,,,,1460.8007,1526.1014,True
pro,16k,4099,1024,30,256,A,0.7393,,kf_compB_ext,0,1,0,256,1,11.6546,11.6546,True
pro,16k,4099,1024,30,1024,A,0.7393,1,gvr_pr,,,,,,66.4746,66.4746,True
pro,16k,4099,1024,30,1024,A,0.7393,,kf_compB,,,,,,5826.9014,6089.0373,True
pro,16k,4099,1024,30,1024,A,0.7393,,kf_compB_ext,0,1,0,1024,1,36.9943,36.9943,True
pro,512k,131075,1024,30,1,B,0.2305,4,gvr_pr,,,,,,17.2464,17.2464,True
pro,512k,131075,1024,30,1,B,0.2305,,kf_compB,,,,,,9.005,9.005,True
pro,512k,131075,1024,30,1,B,0.2305,,kf_compB_ext,1,65,296,4,1,8.8643,8.8643,True
pro,512k,131075,1024,30,2,B,0.2305,4,gvr_pr,,,,,,17.2306,17.2306,True
pro,512k,131075,1024,30,2,B,0.2305,,kf_compB,,,,,,17.9044,18.1653,True
pro,512k,131075,1024,30,2,B,0.2305,,kf_compB_ext,1,65,296,4,1,9.1122,9.1122,True
pro,512k,131075,1024,30,4,B,0.2305,4,gvr_pr,,,,,,17.7475,17.7475,True
pro,512k,131075,1024,30,4,B,0.2305,,kf_compB,,,,,,35.4949,36.263,True
pro,512k,131075,1024,30,4,B,0.2305,,kf_compB_ext,1,65,296,4,1,9.8243,9.8243,True
pro,512k,131075,1024,30,8,B,0.2305,4,gvr_pr,,,,,,18.0933,18.0933,True
pro,512k,131075,1024,30,8,B,0.2305,,kf_compB,,,,,,70.758,72.5326,True
pro,512k,131075,1024,30,8,B,0.2305,,kf_compB_ext,1,65,296,4,2,19.6964,19.9556,True
pro,512k,131075,1024,30,16,B,0.2305,4,gvr_pr,,,,,,18.802,18.802,True
pro,512k,131075,1024,30,16,B,0.2305,,kf_compB,,,,,,140.0461,143.8605,True
pro,512k,131075,1024,30,16,B,0.2305,,kf_compB_ext,1,65,296,4,4,39.3112,40.0743,True
v32,8k,8207,2048,34,1,A,0.8418,1,gvr_pr,,,,,,13.541,13.541,True
v32,8k,8207,2048,34,1,A,0.8418,,kf_compB,,,,,,7.7889,7.7889,True
v32,8k,8207,2048,34,1,A,0.8418,,kf_compB_ext,0,1,0,1,1,8.1314,8.1314,True
v32,8k,8207,2048,34,2,A,0.8418,1,gvr_pr,,,,,,13.6018,13.6018,True
