kind,model,isl,N,K,L,BS,op,pick,us,exact
target,flash,512k,131075,512,22,2,gvr_pr,,24.1923,True
target,flash,512k,131075,512,22,2,auto,0,9.5344,True
target,flash,512k,131075,512,22,4,gvr_pr,,24.1504,True
target,flash,512k,131075,512,22,4,auto,0,10.0592,True
target,flash,512k,131075,512,22,8,gvr_pr,,24.5824,True
target,flash,512k,131075,512,22,8,auto,0,11.2624,True
target,flash,512k,131075,512,22,16,gvr_pr,,25.3456,True
target,flash,512k,131075,512,22,16,auto,1,17.376,True
target,flash,512k,131075,512,22,32,gvr_pr,,27.3152,True
target,flash,512k,131075,512,22,32,auto,1,24.7232,True
target,flash,512k,131075,512,22,64,gvr_pr,,51.6384,True
target,flash,512k,131075,512,22,64,auto,2,30.8016,True
target,flash,512k,131075,512,22,128,gvr_pr,,100.464,True
target,flash,512k,131075,512,22,128,auto,2,41.2816,True
target,flash,512k,131075,512,22,256,gvr_pr,,195.4194,True
target,flash,512k,131075,512,22,256,auto,2,66.2993,True
target,flash,512k,131075,512,22,512,gvr_pr,,376.842,True
target,flash,512k,131075,512,22,512,auto,2,103.9408,True
target,flash,512k,131075,512,22,1024,gvr_pr,,734.0682,True
target,flash,512k,131075,512,22,1024,auto,3,225.2018,True
target,pro,512k,131075,1024,30,2,gvr_pr,,17.4512,True
target,pro,512k,131075,1024,30,2,auto,0,9.6,True
target,pro,512k,131075,1024,30,4,gvr_pr,,17.4192,True
target,pro,512k,131075,1024,30,4,auto,0,10.184,True
target,pro,512k,131075,1024,30,8,gvr_pr,,18.0433,True
target,pro,512k,131075,1024,30,8,auto,0,11.312,True
target,pro,512k,131075,1024,30,16,gvr_pr,,18.6608,True
target,pro,512k,131075,1024,30,16,auto,1,13.7312,True
target,pro,512k,131075,1024,30,32,gvr_pr,,20.136,True
target,pro,512k,131075,1024,30,32,auto,1,17.7312,True
target,pro,512k,131075,1024,30,64,gvr_pr,,37.8209,True
target,pro,512k,131075,1024,30,64,auto,2,23.9184,True
target,pro,512k,131075,1024,30,128,gvr_pr,,73.7329,True
target,pro,512k,131075,1024,30,128,auto,2,32.6336,True
target,pro,512k,131075,1024,30,256,gvr_pr,,142.2403,True
target,pro,512k,131075,1024,30,256,auto,2,48.712,True
target,pro,512k,131075,1024,30,512,gvr_pr,,272.8373,True
target,pro,512k,131075,1024,30,512,auto,2,81.9104,True
target,pro,512k,131075,1024,30,1024,gvr_pr,,522.5673,True
target,pro,512k,131075,1024,30,1024,auto,3,178.2643,True
gen,flash,256k,65538,512,22,2,gvr_pr,,15.2688,True
gen,flash,256k,65538,512,22,2,auto,0,9.1536,True
gen,flash,256k,65538,512,22,4,gvr_pr,,15.1856,True
gen,flash,256k,65538,512,22,4,auto,0,9.3344,True
gen,flash,256k,65538,512,22,8,gvr_pr,,15.5472,True
gen,flash,256k,65538,512,22,8,auto,0,9.8832,True
gen,flash,256k,65538,512,22,16,gvr_pr,,15.8,True
gen,flash,256k,65538,512,22,16,auto,0,11.0945,True
gen,flash,256k,65538,512,22,32,gvr_pr,,16.92,True
gen,flash,256k,65538,512,22,32,auto,1,14.2528,True
gen,flash,256k,65538,512,22,64,gvr_pr,,31.2304,True
gen,flash,256k,65538,512,22,64,auto,1,18.3344,True
gen,flash,256k,65538,512,22,128,gvr_pr,,59.6048,True
gen,flash,256k,65538,512,22,128,auto,2,29.4352,True
gen,flash,256k,65538,512,22,256,gvr_pr,,116.6561,True
gen,flash,256k,65538,512,22,256,auto,2,38.0081,True
gen,flash,256k,65538,512,22,512,gvr_pr,,227.5698,True
gen,flash,256k,65538,512,22,512,auto,2,58.7008,True
gen,flash,256k,65538,512,22,1024,gvr_pr,,443.6275,True
gen,flash,256k,65538,512,22,1024,auto,3,124.9889,True
gen,pro,1024k,262127,1024,30,2,gvr_pr,,21.6048,True
gen,pro,1024k,262127,1024,30,2,auto,0,10.2448,True
gen,pro,1024k,262127,1024,30,4,gvr_pr,,21.7537,True
gen,pro,1024k,262127,1024,30,4,auto,0,11.4656,True
gen,pro,1024k,262127,1024,30,8,gvr_pr,,22.312,True
gen,pro,1024k,262127,1024,30,8,auto,2,16.8528,True
gen,pro,1024k,262127,1024,30,16,gvr_pr,,22.9921,True
gen,pro,1024k,262127,1024,30,16,auto,2,18.9264,True
gen,pro,1024k,262127,1024,30,32,gvr_pr,,26.1377,True
gen,pro,1024k,262127,1024,30,32,auto,2,22.9745,True
gen,pro,1024k,262127,1024,30,64,gvr_pr,,50.0226,True
gen,pro,1024k,262127,1024,30,64,auto,2,31.504,True
gen,pro,1024k,262127,1024,30,128,gvr_pr,,96.7874,True
gen,pro,1024k,262127,1024,30,128,auto,2,50.5536,True
gen,pro,1024k,262127,1024,30,256,gvr_pr,,182.8324,True
gen,pro,1024k,262127,1024,30,256,auto,2,86.4915,True
gen,pro,1024k,262127,1024,30,512,gvr_pr,,345.6887,True
gen,pro,1024k,262127,1024,30,512,auto,2,139.5283,True
gen,pro,1024k,262127,1024,30,1024,gvr_pr,,664.5661,True
gen,pro,1024k,262127,1024,30,1024,auto,3,294.2117,True
