model,isl,N,K,L,BS,op,nteams,iters,us,us_span,exact
flash,512k,131075,512,22,1,gvr_pr,,,24.1421,24.1421,True
flash,512k,131075,512,22,1,ext_v4,,,8.9695,8.9695,True
flash,512k,131075,512,22,1,pq_v4,1,1,11.6911,11.6911,True
flash,512k,131075,512,22,2,gvr_pr,,,24.0252,24.0252,True
flash,512k,131075,512,22,2,ext_v4,,,9.5968,9.5968,True
flash,512k,131075,512,22,2,pq_v4,2,1,12.1247,12.1247,True
flash,512k,131075,512,22,4,gvr_pr,,,24.2093,24.2093,True
flash,512k,131075,512,22,4,ext_v4,,,9.8046,9.8046,True
flash,512k,131075,512,22,4,pq_v4,4,1,12.7965,12.7965,True
flash,512k,131075,512,22,8,gvr_pr,,,24.6157,24.6157,True
flash,512k,131075,512,22,8,ext_v4,,,10.9183,10.9183,True
flash,512k,131075,512,22,8,pq_v4,8,1,14.3326,14.3326,True
flash,512k,131075,512,22,16,gvr_pr,,,25.3664,25.3664,True
flash,512k,131075,512,22,16,ext_v4,,,21.9884,22.246,True
flash,512k,131075,512,22,16,pq_v4,9,2,26.5019,26.5019,True
flash,512k,131075,512,22,32,gvr_pr,,,27.3215,27.3215,True
flash,512k,131075,512,22,32,ext_v4,,,43.3962,44.1658,True
flash,512k,131075,512,22,32,pq_v4,9,4,49.7129,49.7129,True
flash,512k,131075,512,22,64,gvr_pr,,,51.6442,51.6442,True
flash,512k,131075,512,22,64,ext_v4,,,86.9796,88.7829,True
flash,512k,131075,512,22,64,pq_v4,9,8,97.8179,97.8179,True
pro,512k,131075,1024,30,1,gvr_pr,,,17.4622,17.4622,True
pro,512k,131075,1024,30,1,ext_v4,,,8.9934,8.9934,True
pro,512k,131075,1024,30,1,pq_v4,1,1,10.7534,10.7534,True
pro,512k,131075,1024,30,2,gvr_pr,,,17.2687,17.2687,True
pro,512k,131075,1024,30,2,ext_v4,,,9.3615,9.3615,True
pro,512k,131075,1024,30,2,pq_v4,2,1,11.1295,11.1295,True
pro,512k,131075,1024,30,4,gvr_pr,,,17.4015,17.4015,True
pro,512k,131075,1024,30,4,ext_v4,,,9.7774,9.7774,True
pro,512k,131075,1024,30,4,pq_v4,4,1,12.203,12.203,True
pro,512k,131075,1024,30,8,gvr_pr,,,18.1166,18.1166,True
pro,512k,131075,1024,30,8,ext_v4,,,10.8366,10.8366,True
pro,512k,131075,1024,30,8,pq_v4,8,1,13.5951,13.5951,True
pro,512k,131075,1024,30,16,gvr_pr,,,18.6894,18.6894,True
pro,512k,131075,1024,30,16,ext_v4,,,21.6813,21.9421,True
pro,512k,131075,1024,30,16,pq_v4,9,2,24.936,24.936,True
pro,512k,131075,1024,30,32,gvr_pr,,,20.1197,20.1197,True
pro,512k,131075,1024,30,32,ext_v4,,,43.0843,43.8555,True
pro,512k,131075,1024,30,32,pq_v4,9,4,46.9402,46.9402,True
pro,512k,131075,1024,30,64,gvr_pr,,,37.8524,37.8524,True
pro,512k,131075,1024,30,64,ext_v4,,,86.3205,88.106,True
pro,512k,131075,1024,30,64,pq_v4,9,8,90.8629,90.8629,True
