model,isl,N,K,L,BS,op,fb,us,exact
flash,512k,131075,512,22,8,gvr_pr,,24.7089,True
flash,512k,131075,512,22,8,ext_v4,,11.2241,True
flash,512k,131075,512,22,8,tp,,18.4737,True
flash,512k,131075,512,22,8,tp2,0,18.7249,True
flash,512k,131075,512,22,16,gvr_pr,,25.3233,True
flash,512k,131075,512,22,16,ext_v4,,22.288,True
flash,512k,131075,512,22,16,tp,,20.5233,True
flash,512k,131075,512,22,16,tp2,0,22.4881,True
flash,512k,131075,512,22,32,gvr_pr,,27.3296,True
flash,512k,131075,512,22,32,ext_v4,,44.1026,True
flash,512k,131075,512,22,32,tp,,31.16,True
flash,512k,131075,512,22,32,tp2,0,29.6628,True
flash,512k,131075,512,22,64,gvr_pr,,51.7522,True
flash,512k,131075,512,22,64,ext_v4,,87.2836,True
flash,512k,131075,512,22,64,tp,,42.8754,True
flash,512k,131075,512,22,64,tp2,0,39.1568,True
flash,512k,131075,512,22,256,gvr_pr,,195.4073,True
flash,512k,131075,512,22,256,ext_v4,,323.5885,True
flash,512k,131075,512,22,256,tp,,86.8179,True
flash,512k,131075,512,22,256,tp2,0,81.3699,True
flash,512k,131075,512,22,1024,gvr_pr,,733.0334,True
flash,512k,131075,512,22,1024,ext_v4,,1243.7732,True
flash,512k,131075,512,22,1024,tp,,237.6938,True
flash,512k,131075,512,22,1024,tp2,0,262.7788,True
pro,512k,131075,1024,30,8,gvr_pr,,18.1921,True
pro,512k,131075,1024,30,8,ext_v4,,11.32,True
pro,512k,131075,1024,30,8,tp,,14.7792,True
pro,512k,131075,1024,30,8,tp2,0,15.5825,True
pro,512k,131075,1024,30,16,gvr_pr,,18.6738,True
pro,512k,131075,1024,30,16,ext_v4,,22.4193,True
pro,512k,131075,1024,30,16,tp,,16.8561,True
pro,512k,131075,1024,30,16,tp2,0,18.9601,True
pro,512k,131075,1024,30,32,gvr_pr,,20.1233,True
pro,512k,131075,1024,30,32,ext_v4,,43.4418,True
pro,512k,131075,1024,30,32,tp,,24.3345,True
pro,512k,131075,1024,30,32,tp2,0,23.8337,True
pro,512k,131075,1024,30,64,gvr_pr,,37.9362,True
pro,512k,131075,1024,30,64,ext_v4,,86.6644,True
pro,512k,131075,1024,30,64,tp,,36.037,True
pro,512k,131075,1024,30,64,tp2,0,30.3665,True
pro,512k,131075,1024,30,256,gvr_pr,,142.4102,True
pro,512k,131075,1024,30,256,ext_v4,,319.3742,True
pro,512k,131075,1024,30,256,tp,,82.3604,True
pro,512k,131075,1024,30,256,tp2,0,61.1554,True
pro,512k,131075,1024,30,1024,gvr_pr,,523.1096,True
pro,512k,131075,1024,30,1024,ext_v4,,1229.6922,True
pro,512k,131075,1024,30,1024,tp,,239.3531,True
pro,512k,131075,1024,30,1024,tp2,0,204.0601,True
