model,isl,N,K,L,BS,op,C,us,us_span,exact
flash,512k,131075,512,22,8,gvr_pr,,24.7115,24.7115,True
flash,512k,131075,512,22,8,ext_v4,,11.2557,11.2557,True
flash,512k,131075,512,22,8,tp,8,18.3452,19.0923,True
flash,512k,131075,512,22,16,gvr_pr,,25.337,25.337,True
flash,512k,131075,512,22,16,ext_v4,,22.5193,22.7721,True
flash,512k,131075,512,22,16,tp,8,19.9899,20.5323,True
flash,512k,131075,512,22,32,gvr_pr,,27.3466,27.3466,True
flash,512k,131075,512,22,32,ext_v4,,44.0421,44.8101,True
flash,512k,131075,512,22,32,tp,8,30.9561,31.4681,True
flash,512k,131075,512,22,64,gvr_pr,,51.7476,51.7476,True
flash,512k,131075,512,22,64,ext_v4,,87.1499,88.9595,True
flash,512k,131075,512,22,64,tp,5,43.3862,43.8966,True
flash,512k,131075,512,22,256,gvr_pr,,195.3153,195.3153,True
flash,512k,131075,512,22,256,ext_v4,,323.9537,331.1184,True
flash,512k,131075,512,22,256,tp,2,87.062,87.5819,True
flash,512k,131075,512,22,1024,gvr_pr,,733.8881,733.8881,True
flash,512k,131075,512,22,1024,ext_v4,,1249.4196,1278.398,True
flash,512k,131075,512,22,1024,tp,1,237.7175,238.2359,True
pro,512k,131075,1024,30,8,gvr_pr,,18.2062,18.2062,True
pro,512k,131075,1024,30,8,ext_v4,,11.2653,11.2653,True
pro,512k,131075,1024,30,8,tp,8,14.7916,15.7613,True
pro,512k,131075,1024,30,16,gvr_pr,,18.7132,18.7132,True
pro,512k,131075,1024,30,16,ext_v4,,22.345,22.6042,True
pro,512k,131075,1024,30,16,tp,8,16.6956,17.406,True
pro,512k,131075,1024,30,32,gvr_pr,,20.0876,20.0876,True
pro,512k,131075,1024,30,32,ext_v4,,43.3157,44.0853,True
pro,512k,131075,1024,30,32,tp,8,24.6954,25.217,True
pro,512k,131075,1024,30,64,gvr_pr,,37.8599,37.8599,True
pro,512k,131075,1024,30,64,ext_v4,,86.401,88.2058,True
pro,512k,131075,1024,30,64,tp,5,36.0327,36.5479,True
pro,512k,131075,1024,30,256,gvr_pr,,142.6495,142.6495,True
pro,512k,131075,1024,30,256,ext_v4,,319.4998,326.6659,True
pro,512k,131075,1024,30,256,tp,2,82.5564,83.0812,True
pro,512k,131075,1024,30,1024,gvr_pr,,523.3573,523.3573,True
pro,512k,131075,1024,30,1024,ext_v4,,1230.9964,1259.9368,True
pro,512k,131075,1024,30,1024,tp,1,239.356,239.8824,True
