model,isl,N,K,L,BS,hit,cs,op,us,us_span,exact
flash,1024k,262127,512,10,1,0.3848,4,gvr_pr,21.816,21.816,True
flash,1024k,262127,512,10,1,0.3848,,kf_compB,9.3824,9.3824,True
flash,1024k,262127,512,10,2,0.3848,4,gvr_pr,22.1839,22.1839,True
flash,1024k,262127,512,10,2,0.3848,,kf_compB,18.4303,18.6863,True
flash,1024k,262127,512,10,4,0.3848,4,gvr_pr,22.5552,22.5552,True
flash,1024k,262127,512,10,4,0.3848,,kf_compB,36.5199,37.2944,True
flash,1024k,262127,512,10,8,0.3848,4,gvr_pr,23.224,23.224,True
flash,1024k,262127,512,10,8,0.3848,,kf_compB,72.7279,74.5024,True
flash,1024k,262127,512,10,16,0.3848,4,gvr_pr,23.9855,23.9855,True
flash,1024k,262127,512,10,16,0.3848,,kf_compB,143.4173,147.2717,True
flash,1024k,262127,512,10,32,0.3848,4,gvr_pr,27.0415,27.0415,True
flash,1024k,262127,512,10,32,0.3848,,kf_compB,285.4842,293.4074,True
flash,1024k,262127,512,10,64,0.3848,4,gvr_pr,51.8767,51.8767,True
flash,1024k,262127,512,10,64,0.3848,,kf_compB,571.9156,587.9811,True
flash,1024k,262127,512,10,128,0.3848,4,gvr_pr,100.4317,100.4317,True
flash,1024k,262127,512,10,128,0.3848,,kf_compB,1139.8277,1172.2485,True
flash,1024k,262127,512,10,256,0.3848,4,gvr_pr,187.5946,187.5946,True
flash,1024k,262127,512,10,256,0.3848,,kf_compB,2270.143,2335.3574,True
flash,1024k,262127,512,10,512,0.3848,4,gvr_pr,359.5414,359.5414,True
flash,1024k,262127,512,10,512,0.3848,,kf_compB,4533.4325,4664.0372,True
flash,1024k,262127,512,10,1024,0.3848,4,gvr_pr,689.3968,689.3968,True
flash,1024k,262127,512,10,1024,0.3848,,kf_compB,9059.3199,9320.9784,True
flash,1024k,262127,512,22,1,0.4219,4,gvr_pr,22.4415,22.4415,True
flash,1024k,262127,512,22,1,0.4219,,kf_compB,9.7759,9.7759,True
flash,1024k,262127,512,22,2,0.4219,4,gvr_pr,22.4544,22.4544,True
flash,1024k,262127,512,22,2,0.4219,,kf_compB,19.4496,19.704,True
flash,1024k,262127,512,22,4,0.4219,4,gvr_pr,22.6432,22.6432,True
flash,1024k,262127,512,22,4,0.4219,,kf_compB,38.7679,39.5328,True
flash,1024k,262127,512,22,8,0.4219,4,gvr_pr,23.3024,23.3024,True
flash,1024k,262127,512,22,8,0.4219,,kf_compB,77.3629,79.1518,True
flash,1024k,262127,512,22,16,0.4219,4,gvr_pr,24.0768,24.0768,True
flash,1024k,262127,512,22,16,0.4219,,kf_compB,153.1468,156.9868,True
flash,1024k,262127,512,22,32,0.4219,4,gvr_pr,27.04,27.04,True
flash,1024k,262127,512,22,32,0.4219,,kf_compB,305.0105,312.9129,True
flash,1024k,262127,512,22,64,0.4219,4,gvr_pr,51.8879,51.8879,True
flash,1024k,262127,512,22,64,0.4219,,kf_compB,610.2707,626.3763,True
flash,1024k,262127,512,22,128,0.4219,4,gvr_pr,100.6317,100.6317,True
flash,1024k,262127,512,22,128,0.4219,,kf_compB,1218.4917,1250.8789,True
flash,1024k,262127,512,22,256,0.4219,4,gvr_pr,189.126,189.126,True
flash,1024k,262127,512,22,256,0.4219,,kf_compB,2424.9853,2489.9945,True
flash,1024k,262127,512,22,512,0.4219,4,gvr_pr,360.6697,360.6697,True
flash,1024k,262127,512,22,512,0.4219,,kf_compB,4837.5847,4967.8853,True
flash,1024k,262127,512,22,1024,0.4219,4,gvr_pr,691.7953,691.7953,True
flash,1024k,262127,512,22,1024,0.4219,,kf_compB,9662.832,9923.5354,True
flash,1024k,262127,512,34,1,0.3789,4,gvr_pr,21.4288,21.4288,True
flash,1024k,262127,512,34,1,0.3789,,kf_compB,9.2431,9.2431,True
flash,1024k,262127,512,34,2,0.3789,4,gvr_pr,21.2653,21.2653,True
flash,1024k,262127,512,34,2,0.3789,,kf_compB,18.0272,18.2799,True
flash,1024k,262127,512,34,4,0.3789,4,gvr_pr,21.5408,21.5408,True
flash,1024k,262127,512,34,4,0.3789,,kf_compB,35.6799,36.4432,True
flash,1024k,262127,512,34,8,0.3789,4,gvr_pr,22.2288,22.2288,True
flash,1024k,262127,512,34,8,0.3789,,kf_compB,71.0318,72.8158,True
flash,1024k,262127,512,34,16,0.3789,4,gvr_pr,23.1168,23.1168,True
flash,1024k,262127,512,34,16,0.3789,,kf_compB,139.8316,143.6269,True
flash,1024k,262127,512,34,32,0.3789,4,gvr_pr,26.1008,26.1008,True
flash,1024k,262127,512,34,32,0.3789,,kf_compB,278.2697,286.1513,True
flash,1024k,262127,512,34,64,0.3789,4,gvr_pr,49.8655,49.8655,True
flash,1024k,262127,512,34,64,0.3789,,kf_compB,557.0131,573.0276,True
flash,1024k,262127,512,34,128,0.3789,4,gvr_pr,96.691,96.691,True
