model,isl,N,K,L,BS,hit,compB_us,compB_span,gvr_pr_us,gvr_pr_span,sgl_us,radix_us,fi_us,sgl_span,radix_span,fi_span,gvr2_ratio,drift,exact_compB
flash,1024k,262127,512,10,1,0.3848,9.3824,9.3824,21.816,21.816,17.1072,19.6913,23.1857,17.1072,19.6913,23.1857,1.0036,1.0287,True
flash,1024k,262127,512,10,2,0.3848,18.4303,18.6863,22.1839,22.1839,17.0353,20.2192,23.4800,17.0353,20.2192,23.48,1.0051,1.0379,True
flash,1024k,262127,512,10,4,0.3848,36.5199,37.2944,22.5552,22.5552,17.5536,21.0928,24.2882,17.5536,21.0928,24.2882,1.0063,1.0443,True
flash,1024k,262127,512,10,8,0.3848,72.7279,74.5024,23.224,23.224,17.8849,25.1313,24.7296,17.8849,25.1313,24.7296,0.9975,1.0021,True
flash,1024k,262127,512,10,16,0.3848,143.4173,147.2717,23.9855,23.9855,19.7826,32.1616,34.7664,19.7826,32.1616,34.7664,0.9983,1.0008,True
flash,1024k,262127,512,10,32,0.3848,285.4842,293.4074,27.0415,27.0415,65.7155,60.6818,38.0464,35.5489,60.6818,38.0464,0.9992,1.0026,True
flash,1024k,262127,512,10,64,0.3848,571.9156,587.9811,51.8767,51.8767,102.1761,117.9701,62.9970,53.9489,117.9701,62.997,0.9999,1.2983,True
flash,1024k,262127,512,10,128,0.3848,1139.8277,1172.2485,100.4317,100.4317,84.0051,196.5480,119.8132,85.1107,196.548,119.8132,1.003,1.2215,True
flash,1024k,262127,512,10,256,0.3848,2270.143,2335.3574,187.5946,187.5946,109.3652,346.9549,225.1545,110.5236,346.9549,225.1545,1.013,1.2387,True
flash,1024k,262127,512,10,512,0.3848,4533.4325,4664.0372,359.5414,359.5414,197.6807,684.0444,423.7489,198.8391,684.0444,423.7489,0.9964,1.3229,True
flash,1024k,262127,512,10,1024,0.3848,9059.3199,9320.9784,689.3968,689.3968,377.6753,1356.3622,745.9070,377.6753,1356.3622,745.907,0.9979,1.3198,True
flash,1024k,262127,512,22,1,0.4219,9.7759,9.7759,22.4415,22.4415,16.4033,19.7889,17.9536,16.4033,19.7889,17.9536,0.9989,1.0875,True
flash,1024k,262127,512,22,2,0.4219,19.4496,19.704,22.4544,22.4544,16.5200,19.9697,18.0896,16.52,19.9697,18.0896,1.0011,1.0787,True
flash,1024k,262127,512,22,4,0.4219,38.7679,39.5328,22.6432,22.6432,16.6913,20.4497,18.4592,16.6913,20.4497,18.4592,1.0056,1.048,True
flash,1024k,262127,512,22,8,0.4219,77.3629,79.1518,23.3024,23.3024,17.2657,24.3168,18.9265,17.2657,24.3168,18.9265,0.9983,0.9999,True
flash,1024k,262127,512,22,16,0.4219,153.1468,156.9868,24.0768,24.0768,19.8224,30.9617,25.8112,19.8224,30.9617,25.8112,0.9982,0.9972,True
flash,1024k,262127,512,22,32,0.4219,305.0105,312.9129,27.04,27.04,61.5106,58.4242,28.6225,33.9745,58.4242,28.6225,1.0012,0.9921,True
