uuid,model,isl,layer,N,K,Npad,hit,cs,base_us,pr_us,op26_us,n_mand,n_tie
flash_4k_L24,flash,4k,24,1027,512,1088,0.553,1,10.21,8.3,8.95,511,1
flash_4k_L36,flash,4k,36,1027,512,1088,0.934,1,11.99,9.73,8.98,511,1
flash_32k_L16,flash,32k,16,8195,512,8256,0.59,1,11.21,9.23,10.32,511,1
flash_32k_L36,flash,32k,36,8195,512,8256,0.908,1,10.56,10.18,9.37,511,1
flash_128k_L32,flash,128k,32,32771,512,32832,0.475,1,20.44,13.67,14.44,511,1
flash_128k_L36,flash,128k,36,32771,512,32832,0.898,1,15.69,13.84,12.87,511,1
flash_512k_L24,flash,512k,24,131075,512,131136,0.023,8,43.63,21.17,23.56,511,1
flash_512k_L04,flash,512k,4,131075,512,131136,0.805,8,18.32,14.75,14.63,511,1
flash_1024k_L16,flash,1024k,16,262127,512,262144,0.262,8,18.88,18.62,19.13,511,1
flash_1024k_L36,flash,1024k,36,262127,512,262144,0.838,8,22.92,18.32,18.79,511,1
pro_4k_L12,pro,4k,12,1027,1024,1088,0.997,1,18.87,8.93,8.2,1023,1
pro_4k_L16,pro,4k,16,1027,1024,1088,1.0,1,14.62,5.92,9.77,1023,1
pro_32k_L32,pro,32k,32,8195,1024,8256,0.483,1,12.1,10.7,10.84,1023,1
pro_32k_L02,pro,32k,2,8195,1024,8256,0.942,1,16.07,10.81,9.81,1023,1
pro_128k_L30,pro,128k,30,32771,1024,32832,0.326,1,17.01,13.09,12.36,1023,1
pro_128k_L02,pro,128k,2,32771,1024,32832,0.939,1,16.84,14.49,14.47,1023,1
pro_512k_L30,pro,512k,30,131075,1024,131136,0.23,8,21.32,16.06,15.39,1023,1
pro_512k_L02,pro,512k,2,131075,1024,131136,0.939,8,20.46,18.76,16.9,1023,1
pro_1024k_L40,pro,1024k,40,262127,1024,262144,0.122,8,59.96,29.08,31.62,1023,1
pro_1024k_L02,pro,1024k,2,262127,1024,262144,0.93,8,27.96,24.7,22.41,1023,1
v32_4k_L33,v32,4k,33,4111,2048,4160,0.514,1,14.06,11.67,12.31,2047,1
v32_4k_L05,v32,4k,5,4111,2048,4160,0.902,1,19.12,10.96,11.71,2047,1
v32_32k_L46,v32,32k,46,32783,2048,32832,0.191,1,23.1,17.59,17.48,2047,1
v32_32k_L03,v32,32k,3,32783,2048,32832,0.839,1,19.15,17.82,14.34,2047,1
v32_128k_L24,v32,128k,24,131087,2048,131136,0.343,8,32.08,19.26,17.85,2047,1
v32_128k_L09,v32,128k,9,131087,2048,131136,0.933,8,30.49,20.41,20.32,2047,1
v32_256k_L12,v32,256k,12,163775,2048,163776,0.73,8,26.33,20.57,18.78,2047,1
v32_256k_L09,v32,256k,9,163775,2048,163776,0.935,8,26.57,22.05,21.43,2047,1
