uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.158150000000003,10.627,1.802780653053543,17.44145,9.58235,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.64625,10.63025,1.7540744573269678,16.3707,9.7391,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.518099999999997,10.76465,1.720269586098944,16.27165,9.81915,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.9535,10.862200000000001,1.7449043471856527,16.75345,9.703899999999999,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.7246,10.625549999999999,1.762224073106804,16.94065,9.4047,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.48135,10.70695,1.7261078084795387,16.527849999999997,9.65265,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.3247,14.046299999999999,1.3045926685319267,16.32945,12.5055,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3534,11.1887,1.7297273141651845,17.40455,9.860700000000001,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.63495,11.092649999999999,1.6799367148517264,16.75495,9.72475,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.831599999999998,11.131200000000002,1.7816228259307167,17.849400000000003,10.211049999999998,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.0797,11.8062,1.5313733462079244,16.078049999999998,10.6095,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.812450000000002,10.69265,1.852903630063642,17.9518,9.5183,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.4463,11.22065,1.733081416851965,17.59025,10.039950000000001,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.58685,10.75975,1.7274425521039056,16.40465,9.5662,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.0318,13.96795,1.3625335142236334,16.8223,12.583950000000002,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.9292,10.74705,2.0404855285869146,20.25245,9.6031,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.82375,10.7519,1.8437438964276083,17.732599999999998,9.5854,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.2271,10.6688,1.7084489352129575,16.31485,9.73265,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.67325,10.8943,1.7140385339122293,16.7628,9.6927,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.3646,10.975950000000001,1.6731672429265803,16.226950000000002,9.863850000000001,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.74225,13.63665,1.3744028042077783,16.95175,12.30865,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.2542,10.0365,1.2209634832860061,10.3103,8.798399999999999,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.90545,9.657399999999999,1.2327800443183468,9.95005,8.2367,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.463899999999999,9.804649999999999,1.2712233481052357,10.58715,8.33415,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.16295,9.4703,1.2843257341372503,10.38715,8.44475,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.8399,9.40635,1.365024690767407,11.00145,8.354899999999999,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.66555,9.224,1.3731081960104075,10.886299999999999,8.02065,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.7663,9.71505,1.3140745544284382,10.9709,8.59825,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.0174,9.57585,1.3593989045358896,11.2606,8.4703,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.36945,9.4048,1.3152273307247364,10.5487,8.248,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.87505,9.89265,1.2003911995269214,10.1168,8.707049999999999,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.068700000000002,9.507100000000001,1.269440733767395,10.28945,8.3664,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.8351,9.57435,1.340571422603101,11.0095,8.4351,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.79345,10.038350000000001,1.1748394905537263,10.075,8.491100000000001,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.01745,9.881549999999999,1.4185476974766107,12.20305,8.395100000000001,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.579049999999999,6.3391,1.9843589784038742,10.655899999999999,5.47675,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.7678,9.617450000000002,1.4315437044122918,11.900649999999999,8.5038,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.8654,9.981950000000001,1.1886855774673284,10.0927,8.639899999999999,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.43975,9.790149999999999,1.3727828480666795,11.55025,8.52635,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.14545,10.038350000000001,1.2099050142702734,10.34865,8.6335,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.57915,10.0238,1.2549282707156968,10.65105,8.82545,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.679799999999998,12.2318,1.281888193070521,13.355,10.88945,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.1119,4.70545,1.9364566619558172,7.1247,4.1471,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.03335,5.25115,1.7202612761014255,7.27025,4.7231000000000005,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.07985,5.3951,1.6829808529962373,7.57745,4.889600000000001,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.72955,4.705550000000001,1.8551603957029463,7.21115,4.1792,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.87675,4.668699999999999,1.901332276650888,7.3695,4.12475,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.5167,5.79995,1.640824489866292,7.80315,5.238300000000001,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.66705,5.1887,1.8630967294312641,8.14855,4.675050000000001,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.846350000000001,5.230300000000001,1.69136569604038,7.3664,4.707199999999999,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.556700000000001,5.439850000000001,1.7567947645615227,8.09755,4.85755,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.8415,5.359850000000001,1.6495797457018384,7.4111,4.7471499999999995,True
flash_16k_L22,flash,16k,22,4099,512,0.344,9.071950000000001,5.6032,1.6190658909194746,7.5119,5.12315,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.2559,4.7311499999999995,1.9563742430487305,7.75985,4.1838999999999995,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.13905,4.81595,1.8976629740757274,7.48475,4.2912,True
flash_16k_L28,flash,16k,28,4099,512,0.627,9.156649999999999,5.40795,1.6931831840161244,7.859100000000001,4.9167,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.491100000000001,5.16155,1.8388081099669675,8.1599,4.6959,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.0879,5.1854499999999994,1.7525769219643426,7.312,4.65425,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.639850000000001,5.2463,1.646846348855384,7.1887,4.697550000000001,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.287799999999999,5.19675,1.9796603646509836,8.68945,4.6863,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.28455,5.168,1.7965460526315788,7.88475,4.66235,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.9103,5.3071,1.678939533832036,7.2799499999999995,4.7486999999999995,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.780700000000001,5.112,1.7176643192488266,7.26075,4.5343,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.7774,9.77115,1.4100080338547663,12.2352,8.57435,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.678049999999999,9.488,1.652408305227656,14.1215,8.46545,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.85755,9.61265,1.4415951896719426,12.34235,8.52465,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.34855,9.3135,1.647989477639985,13.838299999999998,8.289549999999998,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.361450000000001,9.5566,1.5027781847100434,12.8255,8.23505,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.694200000000002,9.355049999999999,1.7845121084334135,15.23335,8.19025,True
flash_256k_L14,flash,256k,14,65538,512,0.182,15.54075,9.636700000000001,1.6126630485539653,14.0494,8.74075,True
flash_256k_L16,flash,256k,16,65538,512,0.266,14.10855,9.2575,1.5240129624628678,12.340549999999999,8.0704,True
flash_256k_L18,flash,256k,18,65538,512,0.312,13.3536,9.82235,1.3595117258089968,11.59835,8.31995,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.73085,9.959950000000001,1.3786063183048107,12.4191,8.6447,True
flash_256k_L22,flash,256k,22,65538,512,0.279,14.0127,9.66065,1.4504924616873607,12.7341,8.835049999999999,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.667,9.80625,2.005557680050988,18.0525,8.307049999999998,True
flash_256k_L26,flash,256k,26,65538,512,0.486,15.06055,9.9119,1.5194412776561508,13.303799999999999,8.20945,True
flash_256k_L28,flash,256k,28,65538,512,0.484,16.1005,9.84135,1.6360052228606847,14.34715,8.40465,True
flash_256k_L30,flash,256k,30,65538,512,0.471,14.8015,9.448,1.5666278577476715,13.495700000000001,8.563049999999999,True
flash_256k_L32,flash,256k,32,65538,512,0.402,16.8111,10.01755,1.678164820739602,15.40775,8.62055,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.2318,9.44625,1.4007463279079,11.83995,8.430399999999999,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.654200000000001,9.504,1.436679292929293,11.913200000000002,8.42385,True
