uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.2908,10.639899999999999,1.8130621528397826,17.390150000000002,9.6318,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.27965,10.9006,1.6769398014788175,16.4462,9.6543,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.2057,10.8175,1.6829859024728449,16.3292,9.8334,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.70705,10.76145,1.738339164331944,16.83185,9.675,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.883,10.545399999999999,1.7906385722684774,16.92305,9.40145,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.5693,10.63495,1.7460636862420602,16.5948,9.65425,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.255650000000003,13.9167,1.311780091544691,16.423849999999998,12.44625,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.242849999999997,11.281450000000001,1.7057071564382233,17.51975,9.91025,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.718049999999998,10.92625,1.7131266445486786,16.671599999999998,9.7102,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.81565,10.8799,1.8213081002582747,17.67645,9.69905,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.19155,11.079799999999999,1.6418662791747145,16.0991,10.028649999999999,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.27175,10.97105,1.8477493038496773,18.643,9.5359,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.0029,10.88925,1.7451064122873476,16.83485,9.78545,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.51825,10.8047,1.7139069108813754,16.43655,9.539,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.222150000000003,14.04935,1.3681878521070372,17.3308,12.57585,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.0939,10.585450000000002,2.087195159393318,20.191650000000003,9.5886,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.2573,10.6782,1.8034219250435466,17.375799999999998,9.58705,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.985400000000002,10.55025,1.704736854576906,16.1277,9.68135,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.342200000000002,10.883049999999999,1.7772775095216877,17.57255,9.617299999999998,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.17395,11.09425,1.6381413795434572,16.279700000000002,9.766200000000001,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.18045,13.5885,1.33792913125069,16.2607,12.297450000000001,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.7134,9.52465,1.334789204852672,10.9327,8.7295,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.919649999999999,9.64145,1.2362922589444532,10.038200000000002,8.14865,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.0959,9.70395,1.2464924077308723,10.313450000000001,8.28135,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.03335,9.5086,1.265522789895463,10.28625,8.078199999999999,True
flash_128k_L10,flash,128k,10,32771,512,0.523,13.1614,9.81265,1.3412686685044306,11.3695,8.855799999999999,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.577350000000001,9.595049999999999,1.3108165147654263,10.77895,8.04945,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.4047,9.7008,1.2787295893122217,10.5951,8.291049999999998,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.07505,9.66065,1.3534337751600565,11.2414,8.5054,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.366200000000001,9.43495,1.3106799718069517,10.55825,8.0878,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.87975,9.88935,1.2012670195715591,10.13905,8.6509,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.1405,9.478200000000001,1.2808866662446454,10.3103,8.30225,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.8175,9.5679,1.3396356567271817,10.994950000000001,8.478200000000001,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.86065,9.475,1.25178364116095,10.06055,8.2654,True
