uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,24.9965,13.7597,1.8166457117524364,24.98375,13.657399999999999,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.259,13.9007,1.3135309732603393,16.465400000000002,13.131,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,24.22045,14.37435,1.6849770598322706,24.2332,14.494299999999999,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.9054,13.24465,1.4273989875157138,16.77915,12.53585,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,19.1007,13.963,1.3679510133925374,16.939,13.108649999999999,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.56605,13.462200000000001,1.37912451159543,16.59655,12.79345,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.3583,16.35835,1.1222586630069658,16.374100000000002,15.5183,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3549,13.449399999999999,1.4390902196380508,17.40295,12.66225,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,24.68285,14.041549999999999,1.7578436853481276,24.675,13.900799999999998,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.87175,13.31185,1.492786502251753,17.92445,12.38075,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,24.16155,13.574200000000001,1.779961250018417,24.24775,13.25915,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.891099999999998,12.74235,1.5610228882427495,17.971,11.9631,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.5646,13.29085,1.4720352723866417,17.558400000000002,12.35665,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.69575,13.1292,1.4239824208634189,16.3997,12.2384,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.643150000000002,16.5247,1.1281989990741135,16.86545,15.705549999999999,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.943849999999998,13.427,1.6343077381395694,20.2077,12.60945,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,26.5277,14.2062,1.867332573101885,26.4413,13.923200000000001,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.593349999999997,13.10385,1.4189226830282702,16.393349999999998,12.29905,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,24.8605,13.507,1.840564151921226,24.5374,13.30875,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.3966,13.59185,1.3535022826178922,16.3166,13.369399999999999,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,19.151799999999998,16.6687,1.148967825925237,16.99345,15.833450000000001,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.14555,12.758149999999999,0.9519836339908216,10.32465,12.18855,True
flash_128k_L04,flash,128k,4,32771,512,0.805,20.15825,12.78545,1.576655495113586,19.3871,12.7695,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.4175,13.2207,0.9392467872351691,10.62215,12.6175,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.158299999999999,12.8239,0.9480969127956393,10.3104,12.3439,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.774049999999999,13.4413,0.9503582242789015,11.03515,12.892700000000001,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.767850000000001,12.87195,0.9919126472678965,10.9472,12.29915,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.779,12.977549999999999,0.9847005020207975,10.931049999999999,12.3935,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.9711,13.90395,0.9329075550473067,11.20635,13.2702,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.33105,12.6591,0.974085835485935,10.5166,12.08465,True
flash_128k_L20,flash,128k,20,32771,512,0.785,19.923,13.27185,1.501147164863979,18.67175,13.2974,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.13105,13.26385,0.9145949328437822,10.414299999999999,12.620700000000001,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.783850000000001,12.526299999999999,1.0205607402026138,11.0095,11.8319,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.7407,12.923,0.9085119554283061,10.04625,12.28135,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.13275,12.764700000000001,1.1071744733522917,12.21755,12.20795,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.609399999999999,9.7679,1.2909018315093317,10.6751,9.2431,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.74545,12.63835,1.087598460242041,11.86225,11.99995,True
flash_128k_L34,flash,128k,34,32771,512,0.688,12.0751,12.71815,0.9494384010253064,10.11825,12.0751,True
flash_128k_L36,flash,128k,36,32771,512,0.898,22.252599999999997,13.0095,1.710488489180983,21.05735,13.1199,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.0526,13.227,0.9112119150223028,10.35345,12.58865,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.2382,12.7887,0.9569541861174319,10.65425,12.19345,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.72945,15.915049999999999,0.9883380825068097,13.3535,15.3437,True
flash_16k_L02,flash,16k,2,4099,512,0.762,11.02375,6.121449999999999,1.800839670339544,7.05905,5.64145,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.0911,6.2719,1.4494969626428995,7.359850000000001,5.7871999999999995,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.425600000000001,6.53755,1.4417633517143273,7.6352,6.07995,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.74545,6.44945,1.355999348781679,7.334350000000001,5.88305,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.2288,5.4432,1.6954732510288064,7.3839,4.913600000000001,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.47825,6.6751000000000005,1.4199412742880255,7.7135,6.19825,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.61915,6.7471499999999995,1.4256612051014133,8.156699999999999,6.2606,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.8958,7.6224,1.1670602434928632,7.335850000000001,7.1455,True
