uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.23965,14.01745,1.3725499288386975,17.4621,13.070200000000002,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.6333,14.15025,1.3168177240684793,16.375700000000002,12.47505,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.507,14.067,1.3156323309874174,16.2893,12.659,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.86055,14.190100000000001,1.3291343965158806,16.79175,12.9647,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.731,13.9726,1.340552223637691,16.93885,12.7711,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.50515,14.14865,1.3079092351567112,16.563,12.78545,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.3375,13.900649999999999,1.31918291590681,16.3471,12.527899999999999,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.265349999999998,14.11985,1.364416052578462,17.37575,12.764700000000001,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.6542,14.5038,1.2861594892373034,16.795,13.1085,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.78845,14.1759,1.3959219520453727,17.82545,12.62365,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.065450000000002,15.11495,1.1952040860207942,16.07815,13.366299999999999,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.9198,14.29115,1.3938556379297675,17.91985,13.05905,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.451150000000002,14.691049999999999,1.3240136001170784,17.63185,13.302299999999999,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.2958,14.1422,1.2937025356733747,16.4637,12.899,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.67505,14.13275,1.3214024163733173,16.87035,12.6543,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.2942,13.967799999999999,1.5961139191569182,20.2127,12.462200000000001,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.88775,14.09425,1.411054153289462,17.725900000000003,12.8974,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.2317,14.3727,1.268495133134345,16.28465,12.68155,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.6237,14.329450000000001,1.2996800295894118,16.809450000000002,12.6175,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.3485,14.11515,1.2999153391922864,16.2174,13.03665,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.7103,14.01425,1.335091068020051,16.96135,12.8639,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.25275,12.8959,0.9501275599221459,10.33425,11.7103,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.884649999999999,12.804549999999999,0.9281583499615371,9.95025,11.4687,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.483,12.7663,0.9778087621315495,10.6112,11.4975,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.08315,12.74545,0.9480363580728809,10.3711,11.815850000000001,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.9486,13.267100000000001,0.975993246451749,11.05425,11.95505,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.89425,13.006200000000002,0.9913925666220724,10.9263,11.41595,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.787049999999999,12.87335,0.9932962282544946,10.9888,11.6366,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.0399,12.911850000000001,1.00991724656033,11.26875,11.764700000000001,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.3264,12.6144,0.9771689497716894,10.5374,11.48295,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.9486,13.0846,0.9131803799886891,10.12285,11.9806,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.09575,13.03825,0.9277126915038445,10.2864,11.966299999999999,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.807799999999999,12.9903,0.9859510557877801,11.006350000000001,11.7759,True
flash_128k_L26,flash,128k,26,32771,512,0.744,12.015799999999999,13.337399999999999,0.9009102223821734,10.0782,12.07025,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.3135,13.110299999999999,1.0917751691418198,12.21585,11.641549999999999,True
