uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.27985,10.54715,1.8279677448410234,17.47025,9.471950000000001,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.56945,10.766350000000001,1.724767446720569,16.388450000000002,9.491,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.542150000000003,10.83825,1.7108066339123016,16.32795,9.956700000000001,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.894099999999998,10.657399999999999,1.7728620489049862,16.7568,9.58075,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.64295,10.54385,1.7681349791584666,16.88945,9.519950000000001,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.53265,10.55665,1.755542714781678,16.5885,9.4511,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.406299999999998,13.7679,1.336899599793723,16.41755,12.38235,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3838,11.019200000000001,1.7590932191084652,17.367900000000002,9.69915,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.6878,10.96945,1.7036223329337385,16.76785,9.655899999999999,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.74715,10.78055,1.831738640421871,17.791900000000002,9.6112,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.0431,11.0735,1.6293945003837993,16.08625,9.97275,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.84795,10.63665,1.8659963428335051,17.9086,9.4735,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.4591,11.016,1.7664397240377632,17.603099999999998,9.9791,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.12605,10.76145,1.684350157274345,16.420450000000002,9.47985,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.1278,13.915149999999999,1.3746025015899939,16.8782,12.4991,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.284599999999998,10.5566,2.110963757270333,20.19995,9.32475,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.871950000000002,10.71035,1.855396882454822,17.732599999999998,9.523100000000001,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.19005,10.8687,1.6736178199784701,16.311700000000002,9.620700000000001,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.6157,10.7775,1.7272744142890282,16.815849999999998,9.78075,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.356650000000002,10.815850000000001,1.6971990181076846,16.1982,9.7519,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.6479,13.21435,1.4111855672053488,16.95345,12.18075,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.2959,9.63825,1.2757398905402952,10.3215,8.249600000000001,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.908700000000001,9.1615,1.299863559460787,10.0271,7.98555,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.4176,9.7311,1.2760736196319018,10.55035,8.28475,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.107149999999999,9.20635,1.3150868693890627,10.359950000000001,8.139149999999999,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.975950000000001,10.07825,1.2875201547887778,11.051,8.7135,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.782350000000001,9.21435,1.3872221046519833,10.9471,8.37915,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.73425,9.7232,1.3096768553562612,10.99985,8.47515,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.073450000000001,9.51825,1.3735140388201614,11.25745,8.38065,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.3903,9.203100000000001,1.3463180884701893,10.55185,8.0432,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.91995,9.33595,1.2767795457344995,10.1183,8.107149999999999,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.076799999999999,9.526299999999999,1.2677324879543999,10.30225,8.35675,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.8336,9.5055,1.3501236126453107,10.993450000000001,8.075149999999999,True
flash_128k_L26,flash,128k,26,32771,512,0.744,12.06395,9.5135,1.2680874546696799,10.0735,8.31175,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.862350000000001,9.584,1.4464054674457432,12.2591,8.59195,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.26045,6.5775500000000005,1.8639843102675007,10.64945,5.6047,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.81255,9.556799999999999,1.4453111920308055,11.8831,8.46385,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.87185,9.639850000000001,1.2315388724928291,10.0815,8.1919,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.281600000000001,9.8959,1.3421315898503423,11.58225,8.6495,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.1168,9.83675,1.2317889546852363,10.350299999999999,8.51675,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.9631,9.80955,1.3214775397444327,10.6462,8.4224,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.441450000000001,12.66225,1.2194870579873247,13.383799999999999,11.1375,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.995149999999999,6.3119499999999995,1.425098424417177,7.121449999999999,5.7279,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.046299999999999,6.41755,1.4096189355751023,7.302350000000001,5.8431999999999995,True
flash_16k_L06,flash,16k,6,4099,512,0.748,8.98865,6.5855,1.3649153443170603,7.54875,6.06875,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.97105,6.4432,1.392328346163397,7.2736,5.899100000000001,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.84155,6.59035,1.3415903555956816,7.44,6.0112,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.35035,6.91355,1.352467256329961,7.77115,6.384,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.631950000000002,6.950399999999999,1.3858123273480667,8.1119,6.49745,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.783850000000001,6.4128,1.3697370883233535,7.3743,5.86555,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.591899999999999,6.6495500000000005,1.4424885894534214,8.075149999999999,6.1183000000000005,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.7887,6.5039,1.3512969141591968,7.38395,5.95035,True
flash_16k_L22,flash,16k,22,4099,512,0.344,9.0223,6.80795,1.3252594393319574,7.5424,6.2496,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.041450000000001,6.4991,1.3911849332984567,7.7104,5.918399999999999,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.1968,6.62875,1.387410899490854,7.43195,6.08635,True
flash_16k_L28,flash,16k,28,4099,512,0.627,9.460700000000001,6.6479,1.4231110576272208,7.8624,6.1535,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.50715,6.83035,1.3918979261677658,8.1696,6.3568,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.084700000000002,6.4302,1.4128176417529783,7.29275,5.8927,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.7295,6.435149999999999,1.356534035725663,7.1598500000000005,5.85585,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.1984,6.4431,1.5828405581164344,8.67835,5.85435,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.29115,6.8624,1.3539213686173934,7.865600000000001,6.39355,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.860700000000001,6.53595,1.3556866255096813,7.20315,5.9167,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.721549999999999,6.3792,1.3671855405066464,7.2096,5.8111999999999995,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.78065,9.5792,1.438601344579923,12.267100000000001,8.62075,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.62395,9.35195,1.6706622682969863,14.08625,8.29435,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.943850000000001,9.5023,1.4674184144891238,12.387049999999999,8.52625,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.398200000000001,9.367899999999999,1.643719510242424,13.8046,8.1135,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.43825,9.54875,1.5120565519046996,12.916649999999999,8.1824,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.76135,9.377600000000001,1.7873816328271623,15.23505,8.06715,True
flash_256k_L14,flash,256k,14,65538,512,0.182,20.2159,9.792,2.06453227124183,19.3726,8.6031,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.735899999999999,9.6431,1.4244278292250416,12.391950000000001,8.1471,True
flash_256k_L18,flash,256k,18,65538,512,0.312,13.35515,9.4512,1.4130639495513797,11.609549999999999,8.17275,True
flash_256k_L20,flash,256k,20,65538,512,0.6,14.1775,9.7008,1.4614774039254497,12.43035,8.6848,True
flash_256k_L22,flash,256k,22,65538,512,0.279,14.0959,9.44945,1.4917164491055035,12.7246,8.74235,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.6414,9.8959,1.9848017865984906,18.0046,8.313450000000001,True
flash_256k_L26,flash,256k,26,65538,512,0.486,15.108649999999999,9.81915,1.5386922493291169,13.31515,8.2974,True
flash_256k_L28,flash,256k,28,65538,512,0.484,16.1214,9.7856,1.6474615761935907,14.3215,8.27345,True
flash_256k_L30,flash,256k,30,65538,512,0.471,19.56315,9.456,2.068861040609137,18.7342,8.345450000000001,True
flash_256k_L32,flash,256k,32,65538,512,0.402,17.190099999999997,9.66545,1.7785100538516052,15.45115,8.540700000000001,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.158299999999999,9.5328,1.3803184793554883,11.88625,8.43835,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.219,9.5145,1.3893530926480635,11.93575,8.459200000000001,True
flash_256k_L38,flash,256k,38,65538,512,0.453,15.61115,9.643,1.6189100902208855,13.7983,8.625549999999999,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.807799999999999,9.4047,1.4681808032154133,12.33105,7.9918000000000005,True
flash_256k_L42,flash,256k,42,65538,512,0.617,13.2464,9.36,1.4152136752136752,11.93595,8.15825,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.50235,7.01915,1.3537750297400684,8.08315,6.3856,True
flash_32k_L04,flash,32k,4,8195,512,0.775,9.579049999999999,7.24315,1.3224978082740242,8.1872,6.6511499999999995,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.46065,6.5503,1.5969726577408667,9.00315,5.91035,True
flash_32k_L08,flash,32k,8,8195,512,0.76,11.7358,7.072,1.6594739819004525,8.52475,6.4768,True
flash_32k_L10,flash,32k,10,8195,512,0.723,9.20785,6.9615,1.3226818932701285,7.7679,6.4016,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.59675,7.2351,1.326415668062639,8.1279,6.73595,True
flash_32k_L14,flash,32k,14,8195,512,0.688,8.8015,7.3487,1.1976948303781623,7.6479,6.692699999999999,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.8032,7.019100000000001,1.3966462936843753,8.17595,6.4336,True
flash_32k_L18,flash,32k,18,8195,512,0.713,9.3872,7.5407,1.2448711658068878,8.1503,6.95515,True
flash_32k_L20,flash,32k,20,8195,512,0.795,9.63825,7.7966999999999995,1.2361960829581746,8.12,7.29115,True
flash_32k_L22,flash,32k,22,8195,512,0.686,9.03185,6.94555,1.3003793796027674,7.7535,6.3327,True
flash_32k_L24,flash,32k,24,8195,512,0.719,8.7247,6.8591999999999995,1.2719704921856778,7.4287,6.25915,True
flash_32k_L26,flash,32k,26,8195,512,0.713,9.06555,7.21115,1.2571573188742433,7.81435,6.6095500000000005,True
flash_32k_L28,flash,32k,28,8195,512,0.869,11.2047,7.5359,1.4868429782773127,9.6655,7.00475,True
flash_32k_L30,flash,32k,30,8195,512,0.824,8.97265,7.3871,1.21463767919752,7.5295,6.771100000000001,True
flash_32k_L32,flash,32k,32,8195,512,0.615,9.31995,7.078399999999999,1.3166746722423148,7.94395,6.4736,True
flash_32k_L34,flash,32k,34,8195,512,0.67,9.5903,7.44955,1.2873663509876434,8.267100000000001,6.8927,True
flash_32k_L36,flash,32k,36,8195,512,0.908,10.70715,7.5775500000000005,1.413009481956569,9.3535,6.95995,True
flash_32k_L38,flash,32k,38,8195,512,0.762,9.02065,7.1375,1.2638388791593695,7.5870500000000005,6.5519,True
flash_32k_L40,flash,32k,40,8195,512,0.799,11.55825,7.4767,1.5459026040900397,7.52795,6.90555,True
flash_32k_L42,flash,32k,42,8195,512,0.873,10.7727,6.63825,1.6228222799683651,9.39835,6.05435,True
flash_4k_L02,flash,4k,2,1027,512,0.895,10.104,4.382350000000001,2.3056122856458288,8.56315,3.8432,True
flash_4k_L04,flash,4k,4,1027,512,0.891,9.20785,4.032,2.2836929563492063,7.6831000000000005,3.58075,True
flash_4k_L06,flash,4k,6,1027,512,0.863,4.93275,3.992,1.2356588176352707,3.64795,3.5135500000000004,True
flash_4k_L08,flash,4k,8,1027,512,0.744,8.31995,3.8943499999999998,2.1364155764119817,6.8271999999999995,3.48635,True
flash_4k_L10,flash,4k,10,1027,512,0.846,8.13585,4.5552,1.786057692307692,6.999899999999999,4.048,True
flash_4k_L12,flash,4k,12,1027,512,0.607,7.99025,4.056,1.969982741617357,6.863899999999999,3.4751999999999996,True
flash_4k_L14,flash,4k,14,1027,512,0.711,8.478399999999999,4.102399999999999,2.0666926677067083,6.96795,3.6256,True
flash_4k_L16,flash,4k,16,1027,512,0.674,8.833549999999999,4.3488,2.031261497424577,7.4255,3.8975999999999997,True
flash_4k_L18,flash,4k,18,1027,512,0.723,8.1439,4.182300000000001,1.9472299930660162,7.2655,3.8655,True
flash_4k_L20,flash,4k,20,1027,512,0.646,7.83035,4.2415,1.8461275492160791,6.7103,3.64955,True
flash_4k_L22,flash,4k,22,1027,512,0.639,7.75195,3.9855500000000004,1.945013862578565,6.60945,3.392,True
flash_4k_L24,flash,4k,24,1027,512,0.553,8.0672,4.25115,1.8976512237865049,6.8848,3.63035,True
flash_4k_L26,flash,4k,26,1027,512,0.586,7.98875,4.2367,1.885606722213043,7.10555,3.8784,True
flash_4k_L28,flash,4k,28,1027,512,0.746,7.65595,3.8464,1.9904196131447587,6.6415500000000005,3.3966999999999996,True
flash_4k_L30,flash,4k,30,1027,512,0.771,7.98075,4.0656,1.9629943919716646,6.8144,3.4879499999999997,True
flash_4k_L32,flash,4k,32,1027,512,0.633,8.31355,4.4096,1.8853297351233669,7.2303999999999995,3.8478499999999998,True
flash_4k_L34,flash,4k,34,1027,512,0.695,8.2254,4.5184,1.8204231586402269,7.2976,4.0432,True
flash_4k_L36,flash,4k,36,1027,512,0.934,9.190299999999999,3.8735999999999997,2.372547501032631,7.987100000000001,3.403,True
flash_4k_L38,flash,4k,38,1027,512,0.742,7.90555,3.99515,1.9787867789695004,6.691050000000001,3.55675,True
flash_4k_L40,flash,4k,40,1027,512,0.795,8.04635,4.0816,1.9713715209721678,6.7791999999999994,3.5968,True
flash_4k_L42,flash,4k,42,1027,512,0.932,8.88795,4.384,2.0273608576642332,8.0287,3.82875,True
flash_512k_L02,flash,512k,2,131075,512,0.604,14.51025,9.9839,1.4533649175172025,13.02055,8.705549999999999,True
flash_512k_L04,flash,512k,4,131075,512,0.805,14.87675,9.8895,1.504297487233935,13.4192,9.08955,True
flash_512k_L06,flash,512k,6,131075,512,0.748,14.2255,9.998299999999999,1.4227918746186854,12.8687,8.6063,True
flash_512k_L08,flash,512k,8,131075,512,0.738,14.5472,9.95515,1.4612738130515361,12.87195,8.899149999999999,True
flash_512k_L10,flash,512k,10,131075,512,0.455,14.7998,10.1712,1.45506921503854,13.172649999999999,8.9728,True
flash_512k_L12,flash,512k,12,131075,512,0.715,14.6446,10.29915,1.4219231684168112,13.3901,9.3439,True
flash_512k_L14,flash,512k,14,131075,512,0.479,15.5501,10.12635,1.5356075979992792,13.82225,9.032,True
flash_512k_L16,flash,512k,16,131075,512,0.318,15.13425,10.44465,1.4489954187071852,13.462200000000001,9.0879,True
flash_512k_L18,flash,512k,18,131075,512,0.148,20.611,9.579049999999999,2.1516747485397825,19.34215,8.83515,True
flash_512k_L20,flash,512k,20,131075,512,0.332,15.689350000000001,10.1136,1.551312094605284,14.09275,9.16635,True
flash_512k_L22,flash,512k,22,131075,512,0.057,20.6014,9.651,2.134638897523573,19.199849999999998,8.55355,True
flash_512k_L24,flash,512k,24,131075,512,0.023,21.1568,9.7999,2.1588791722364515,19.7327,8.63515,True
flash_512k_L26,flash,512k,26,131075,512,0.301,15.20775,10.2928,1.477513407430437,13.80955,9.217450000000001,True
flash_512k_L28,flash,512k,28,131075,512,0.525,18.0559,10.091149999999999,1.789280706361515,16.5693,9.203100000000001,True
flash_512k_L30,flash,512k,30,131075,512,0.119,20.995099999999997,12.8624,1.632284799104366,19.53575,11.5807,True
flash_512k_L32,flash,512k,32,131075,512,0.197,16.835099999999997,10.46395,1.6088666325813863,15.366299999999999,9.263950000000001,True
flash_512k_L34,flash,512k,34,131075,512,0.283,14.721549999999999,9.8815,1.4898092394879316,13.40625,8.81915,True
