uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.17895,10.6686,1.7977007292428249,17.412599999999998,9.561549999999999,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.1837,10.7071,1.6982843160146073,16.38535,9.72465,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.4108,10.7503,1.7125847650763235,16.30525,9.830200000000001,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.011,10.780149999999999,1.7635190604954478,16.796599999999998,9.71825,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.6717,10.5503,1.7697790584154007,16.919700000000002,9.347100000000001,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.56785,10.70215,1.734964469756077,16.5307,9.71025,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.3199,13.5423,1.3527908848570775,16.39345,12.21425,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3518,11.136,1.7377693965517242,17.39495,9.86065,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.7134,11.0495,1.6935969953391556,16.78855,9.710049999999999,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.926099999999998,11.08785,1.7971112524069137,17.921349999999997,10.20305,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.97405,11.807799999999999,1.5222183641321838,16.0591,10.603200000000001,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.9038,10.56635,1.883696830031184,17.95495,9.5663,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.41095,11.219149999999999,1.7301622671949302,17.6256,10.00625,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.177400000000002,11.092649999999999,1.638688681243887,16.4923,9.667,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.6542,13.50385,1.3813986381661525,16.883,12.40785,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.3788,10.7776,2.076417755344418,20.190150000000003,9.553450000000002,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.85415,10.7615,1.8449240347535196,17.7805,9.61895,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.49725,10.657350000000001,1.7356331545834565,16.345299999999998,9.702350000000001,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.646,10.955,1.7020538566864447,16.7694,9.70865,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.399849999999997,10.8944,1.6889273388162724,16.289450000000002,9.8591,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.7054,13.50385,1.3851901494758903,16.9709,12.24145,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.23815,9.92455,1.2331188819644214,10.332600000000001,8.7168,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.915,9.49585,1.254758657729429,9.963049999999999,8.18225,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.48615,9.459200000000001,1.3200006343031123,10.55665,8.6575,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.22225,9.494399999999999,1.2873114678126056,10.377450000000001,8.4655,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.9261,10.17575,1.2702847455961477,11.04775,8.81265,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.86225,9.6927,1.3270038276228502,10.9024,8.02385,True
flash_128k_L14,flash,128k,14,32771,512,0.578,13.16775,9.92885,1.326210991202405,10.9471,8.655850000000001,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.022200000000002,9.62225,1.3533425134454002,11.25915,8.487950000000001,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.37425,9.531049999999999,1.2983092104227762,10.53905,8.0335,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.90705,9.897450000000001,1.203042197737801,10.11665,8.6846,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.10535,9.4176,1.2853964916751612,10.3295,8.391950000000001,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.77745,9.55665,1.3370218643562337,11.01425,8.441450000000001,True
flash_128k_L26,flash,128k,26,32771,512,0.744,12.0302,9.54695,1.2601092495509036,10.09745,8.446299999999999,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.2095,9.735899999999999,1.4594952700828892,12.235100000000001,8.491200000000001,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.26385,6.5663,1.8676956581331952,10.5998,5.6190500000000005,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.7854,9.58385,1.4383989732727451,11.8926,8.4734,True
flash_128k_L34,flash,128k,34,32771,512,0.688,12.08465,9.8958,1.2211897976919501,10.1038,8.601600000000001,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.369399999999999,9.8479,1.357588927588623,11.54385,8.5374,True
