uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.178900000000002,10.595049999999999,1.8101755064865201,17.4159,9.8671,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.620549999999998,10.91025,1.7067024128686326,16.363049999999998,9.63505,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.123,10.93585,1.657210001966011,16.2846,10.0799,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.9342,10.849450000000001,1.745176022747697,16.7774,9.712,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.6573,10.56955,1.7651934093693677,16.951700000000002,9.396700000000001,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.4828,10.7006,1.7272676298525318,16.57585,9.65095,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.3327,13.93755,1.3153459539158603,16.385450000000002,12.481549999999999,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.37105,11.026950000000001,1.7567006289137068,17.36945,9.83515,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.8175,10.884649999999999,1.7288107564322235,16.7566,10.04945,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.7727,10.87175,1.8187228367098214,17.82065,9.711799999999998,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.041349999999998,11.041450000000001,1.6339656476278022,16.0718,10.1454,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.85875,10.6831,1.8588939540021157,17.922900000000002,9.5151,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.50545,11.204649999999999,1.740835278210386,17.5792,10.0159,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.6527,10.77265,1.7314866815500363,16.433400000000002,9.5472,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.02385,13.9327,1.3654101502221392,16.8143,12.56475,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.996650000000002,10.7711,2.0421916053142204,20.223650000000003,9.5808,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.83505,10.6223,1.8673027498752626,17.79025,9.817450000000001,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.251099999999997,10.9934,1.6601870213036911,16.34395,9.6782,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.983700000000002,10.9918,1.727078367510326,16.85245,10.0014,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.38535,11.00625,1.6704463373083476,16.23975,9.87655,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.7118,13.6223,1.3736153219353562,16.9533,12.188600000000001,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.19665,9.6943,1.2581259090393324,10.339049999999999,8.3871,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.7567,9.33595,1.259293376678324,9.982299999999999,8.10545,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.4078,9.70875,1.2780018024977469,10.585450000000002,8.348700000000001,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.11825,9.5054,1.2748805941885666,10.37585,8.4527,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.82705,9.44945,1.3574387927339686,11.0046,8.351899999999999,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.7326,9.09595,1.3998098054628707,10.883149999999999,8.0175,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.7614,9.687850000000001,1.317258215187064,10.95185,8.5951,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.9806,9.75825,1.3302180206491943,11.25745,8.635,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.3759,9.35035,1.3235761228189318,10.53095,8.14235,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.915,9.85905,1.208534290829238,10.0751,8.23825,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.0734,9.526299999999999,1.2673755812854939,10.2814,8.361600000000001,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.82865,9.559899999999999,1.3419230326677059,11.00625,8.43835,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.817450000000001,9.979,1.1842318869626216,10.09745,8.47025,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.978950000000001,9.8943,1.4128285982838606,12.2367,8.3887,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.53585,6.383850000000001,1.9636817907688933,10.62865,5.48155,True
flash_128k_L32,flash,128k,32,32771,512,0.475,14.13095,9.44945,1.4954256596944795,11.8894,8.504,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.84615,9.75995,1.2137510950363475,10.090950000000001,8.31675,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.494200000000001,10.2095,1.3217297614966454,11.6078,8.868549999999999,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.12305,10.123,1.1975748295959696,10.35025,8.6304,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.57745,9.993549999999999,1.2585567691160802,10.655899999999999,8.851049999999999,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.644549999999999,12.39825,1.2618353396648718,13.36775,10.851,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.575899999999999,4.688,1.8293302047781568,7.01915,4.150399999999999,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.0174,5.2831,1.7068387878329012,7.2752,4.72475,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.044799999999999,5.3807,1.6809708773951342,7.56475,4.89275,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.77265,4.7023,1.8656083193330923,7.2334499999999995,4.1631,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.8448,4.64475,1.9042574950212603,7.3679499999999996,4.1296,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.4543,5.7888,1.6332055002763957,7.7966999999999995,5.22875,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.670350000000001,5.1952,1.861400908530952,8.11505,4.67995,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.70865,5.23665,1.663019296687768,7.37745,4.7023,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.7168,5.43995,1.7861928878022775,8.0895,4.894399999999999,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.83985,5.3439,1.65419450214263,7.40955,4.744,True
flash_16k_L22,flash,16k,22,4099,512,0.344,9.0526,5.5952,1.6179225050042894,7.5023,5.11835,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.3167,4.7103,1.9779419569878778,7.74705,4.1742,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.12635,4.83995,1.8856289837704936,7.47995,4.2863999999999995,True
flash_16k_L28,flash,16k,28,4099,512,0.627,9.2015,5.43675,1.6924633282751642,7.867100000000001,4.92475,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.43185,5.18715,1.8183106330065644,8.1183,4.6911499999999995,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.0879,5.16635,1.7590562002187229,7.3023,4.656,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.75515,5.2543500000000005,1.666266997820853,7.1758999999999995,4.704,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.23985,5.24475,1.952400019066686,8.6975,4.68635,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.2287,5.1488000000000005,1.7923982287134865,7.8783,4.6656,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.87825,5.2975,1.6759320434167058,7.279850000000001,4.7551499999999995,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.737549999999999,5.110399999999999,1.709758531621791,7.2559,4.5359,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.80625,9.876700000000001,1.3978606214626341,12.220799999999999,8.583950000000002,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.5998,9.5055,1.641134080269318,14.100700000000002,8.4687,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.93585,9.499049999999999,1.4670782867760463,12.382200000000001,8.462200000000001,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.3919,9.491100000000001,1.621719294918397,13.790299999999998,8.2751,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.37735,9.5534,1.5049458831410807,12.87185,8.28,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.76285,9.2847,1.805427208202742,15.26065,8.1454,True
flash_256k_L14,flash,256k,14,65538,512,0.182,15.54365,9.5807,1.6223918920329412,14.0334,8.69915,True
flash_256k_L16,flash,256k,16,65538,512,0.266,14.1198,9.2255,1.5305186710747385,12.35515,8.078199999999999,True
flash_256k_L18,flash,256k,18,65538,512,0.312,13.41915,9.83835,1.3639634694842122,11.60795,8.311950000000001,True
