uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.1373,10.02075,1.9097672329915425,17.44455,9.15985,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.5164,9.98385,1.854635235905988,16.4143,8.758149999999999,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.3661,10.18385,1.803453507268862,16.257450000000002,9.22865,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.92625,10.1358,1.8672675072515243,17.217200000000002,9.0703,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.5918,9.96625,1.865475981437351,16.471799999999998,8.7936,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.8398,10.11185,1.863140770482157,16.67335,9.0895,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.69725,12.798200000000001,1.4609280992639588,16.91345,11.66235,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3614,10.25585,1.8878396232394192,17.327900000000003,8.96,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.44135,10.3231,1.7864159021999206,16.40295,9.16955,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,20.1279,10.5423,1.909251301898068,18.049349999999997,9.2895,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.0847,11.0863,1.631265616120798,16.32945,9.916649999999999,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.665200000000002,10.03665,1.9593390224826015,17.9438,8.979049999999999,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.38205,10.27025,1.8872033300065723,17.3215,9.4094,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.53265,10.1823,1.820084853127486,16.76305,8.85735,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.6237,12.807799999999999,1.4540904761161169,16.899150000000002,11.667,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.4286,10.2959,2.178401111121903,20.3086,9.0719,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.29105,10.025549999999999,1.9241886978769245,17.5678,8.932799999999999,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.875,10.02225,1.7835316420963356,16.1134,9.044649999999999,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.14845,10.3887,1.8431998228844804,17.30225,9.1087,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.45745,10.227049999999998,1.8047677482754072,16.5247,9.13575,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.299,12.4207,1.4732664020546347,16.2878,11.49105,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.7678,8.491100000000001,1.5036685470669287,10.94875,7.6831000000000005,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.87505,8.6495,1.3729175096826407,10.03495,8.1072,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.23985,8.79355,1.3919122538678919,10.37905,7.9903,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.45585,8.543899999999999,1.4578646753824367,10.641549999999999,7.6415,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.79665,8.63825,1.481393800827714,11.025450000000001,8.06555,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.50855,8.55825,1.461578009522975,10.72145,7.9343,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.9231,8.6831,1.4883048680770692,10.96635,7.6991000000000005,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.3949,8.72955,1.4198784587979907,10.6175,7.872,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.34705,8.6607,1.4256411144595702,10.5903,7.86555,True
flash_128k_L20,flash,128k,20,32771,512,0.785,12.7966,8.275049999999998,1.5464075745765888,10.767850000000001,7.43355,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.7198,8.742299999999998,1.3405854294636426,10.0751,8.0096,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.35825,8.5583,1.4440075715971632,10.737350000000001,7.8687,True
flash_128k_L26,flash,128k,26,32771,512,0.744,12.63655,8.63025,1.4642159844732192,10.6767,7.8286999999999995,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.823799999999999,8.8415,1.563512978566985,11.95515,8.08785,True
flash_128k_L30,flash,128k,30,32771,512,0.777,11.7965,6.02715,1.9572268816936695,10.10075,5.1678999999999995,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.9263,8.64635,1.610656519803154,11.868649999999999,7.8223,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.71675,8.5823,1.3652226093238409,10.09585,7.91035,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.2942,8.9167,1.490932744176657,11.659,8.20945,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.7375,8.57105,1.4861073030725525,10.767850000000001,7.5855,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.03825,9.1023,1.3225503444184437,10.2783,8.20945,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.8496,11.34385,1.3971976004619244,13.414200000000001,10.462299999999999,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.508700000000001,5.0815,1.8712388074387485,7.63985,4.5839,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.6143,5.1998999999999995,1.6566280120771555,7.1455,4.656,True
flash_16k_L06,flash,16k,6,4099,512,0.748,8.818950000000001,5.05435,1.7448237656671977,7.2671,4.4736,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.19825,5.1088000000000005,1.8004717350454116,7.8447,4.6175500000000005,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.07185,4.6288,1.9598708088489456,7.2383500000000005,4.0992,True
flash_16k_L12,flash,16k,12,4099,512,0.406,8.951799999999999,5.31675,1.6836977476842054,7.227,4.79195,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.806299999999998,5.14875,1.9045982034474385,8.19985,4.635149999999999,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.886299999999999,5.2863,1.6810056182963506,7.310350000000001,4.7518,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.7054,5.4335,1.7862151467746386,8.1679,4.8927,True
flash_16k_L20,flash,16k,20,4099,512,0.33,9.07835,5.6736,1.6001039904117316,7.761550000000001,5.16635,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.545549999999999,5.25275,1.6268716386654607,7.1791,4.7215,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.2494,4.77755,1.9360132285376397,7.721550000000001,4.206300000000001,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.5086,5.2271,1.819096631019112,7.87995,4.7424,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.718350000000001,5.05585,1.7244083586340577,7.32305,4.46225,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.116700000000002,4.8271999999999995,1.8886103745442497,7.6206499999999995,4.238300000000001,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.3375,5.6191,1.6617429837518463,7.8783,5.10555,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.7535,5.2143999999999995,1.6787166308683648,7.2463500000000005,4.69435,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.073450000000001,5.2111,1.933075550267698,8.46545,4.6783,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.7088,5.224,1.8584992343032158,8.1487,4.67035,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.74385,5.28155,1.6555461938256761,7.1838999999999995,4.74235,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.5743,5.1247,1.6731320857806309,7.07675,4.55195,True
flash_256k_L02,flash,256k,2,65538,512,0.303,14.2126,8.4207,1.6878169273338322,12.69275,7.8767,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.308549999999999,8.820649999999999,1.735535363040139,13.820549999999999,8.075,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.35015,8.8799,1.5034122005878445,11.903799999999999,7.959899999999999,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.39185,8.8479,1.7396048779936484,14.11345,8.03185,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.691,8.91825,1.6472962744933142,12.9774,7.82545,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.85735,8.8255,1.9100730836779787,15.23335,7.69275,True
flash_256k_L14,flash,256k,14,65538,512,0.182,15.65745,8.5343,1.834649590476079,13.92155,7.769550000000001,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.679649999999999,8.655899999999999,1.580384477639529,12.43185,7.881600000000001,True
flash_256k_L18,flash,256k,18,65538,512,0.312,12.863850000000001,8.76315,1.4679481693226752,11.60305,7.8463,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.9276,8.814350000000001,1.580105169411244,12.4893,7.9648,True
flash_256k_L22,flash,256k,22,65538,512,0.279,13.8159,8.716700000000001,1.5849920267991324,12.383799999999999,8.0831,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.78365,8.82705,2.2412527401566775,17.97415,8.139,True
flash_256k_L26,flash,256k,26,65538,512,0.486,15.45435,8.5903,1.7990465990710454,13.7552,7.771100000000001,True
flash_256k_L28,flash,256k,28,65538,512,0.484,15.742299999999998,8.8015,1.788592853490882,14.46215,7.8542,True
flash_256k_L30,flash,256k,30,65538,512,0.471,14.266950000000001,8.8015,1.6209680168153155,12.96455,7.92785,True
flash_256k_L32,flash,256k,32,65538,512,0.402,17.26865,8.7294,1.9782172887025455,15.8493,7.867100000000001,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.51175,8.75025,1.5441558812605354,12.0111,8.0352,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.01745,8.5743,1.5181939050418112,11.539,7.931100000000001,True
flash_256k_L38,flash,256k,38,65538,512,0.453,15.45425,8.764700000000001,1.7632377605622551,13.7744,8.13595,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.70225,8.687850000000001,1.5771738692541881,12.377600000000001,7.85275,True
flash_256k_L42,flash,256k,42,65538,512,0.617,13.1534,8.6575,1.5193069592838577,11.8943,7.7566999999999995,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.3071,7.0127,1.3271778345002638,8.0735,6.105600000000001,True
flash_32k_L04,flash,32k,4,8195,512,0.775,9.24625,6.651050000000001,1.3901940295141366,7.603149999999999,5.94875,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.6543,5.60795,1.8998564537843596,9.015799999999999,4.88315,True
flash_32k_L08,flash,32k,8,8195,512,0.76,9.60305,7.3951,1.2985693229300481,8.17915,6.67995,True
flash_32k_L10,flash,32k,10,8195,512,0.723,9.13115,7.08315,1.2891368953078786,7.64145,6.09275,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.31025,7.047899999999999,1.3209963251464976,7.83825,6.0462,True
flash_32k_L14,flash,32k,14,8195,512,0.688,9.7823,7.61425,1.2847358571100238,8.18065,6.8847,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.2175,7.10235,1.2978098798285074,7.94705,6.17105,True
flash_32k_L18,flash,32k,18,8195,512,0.713,8.85745,7.23515,1.2242247914694235,7.5935500000000005,6.3344,True
flash_32k_L20,flash,32k,20,8195,512,0.795,9.507100000000001,8.01595,1.1860228669091002,8.11665,7.06395,True
flash_32k_L22,flash,32k,22,8195,512,0.686,9.28635,6.80475,1.364686432271575,7.7806999999999995,6.1007,True
flash_32k_L24,flash,32k,24,8195,512,0.719,8.991950000000001,6.7823,1.3257965586895302,7.5215,6.0671,True
flash_32k_L26,flash,32k,26,8195,512,0.713,9.575899999999999,7.4623,1.283237071680313,8.20475,6.771100000000001,True
