uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.142349999999997,9.387049999999999,2.039229576917136,17.44135,8.6816,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.5503,9.4575,1.9614380121596617,16.422150000000002,8.6031,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.412650000000003,9.407950000000001,1.9571373147178717,16.31175,8.57115,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.93405,9.4031,2.0135965798513253,17.2286,8.73745,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.62695,9.2911,2.0048164372356343,16.5038,8.49105,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.8044,9.431799999999999,1.9937233613944318,16.70075,8.590399999999999,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.6829,12.143799999999999,1.5384723068561736,16.905549999999998,11.39185,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.4222,10.335799999999999,1.8791191780026706,17.305349999999997,9.524700000000001,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.41725,9.85755,1.8683394961222615,16.3951,9.09895,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,20.172549999999998,9.62545,2.0957513674685337,18.0158,9.0863,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.0957,10.027149999999999,1.8046703200809804,16.340600000000002,9.17585,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.64925,9.796700000000001,2.005700899282411,17.96635,9.02375,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.4303,9.5791,2.0284055913394785,17.3071,8.9231,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.4623,9.68795,1.9056972837390778,16.7694,8.8143,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.729400000000002,12.44635,1.504810647298204,16.9181,11.67195,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.47175,9.73745,2.3077653800532993,20.31485,9.0784,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.34705,9.163,2.1114318454654586,17.579,8.2959,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.89275,9.561549999999999,1.8713231641313388,16.1293,8.71665,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.18685,9.27825,2.0679384582221862,17.27175,8.55515,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.4462,10.012649999999999,1.8422895037777214,16.5389,9.11345,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.2462,11.787049999999999,1.5479869857173765,16.3548,11.0479,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.748700000000001,8.7151,1.4628288832027174,10.947,8.26385,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.8799,8.66865,1.370444071452879,10.057549999999999,7.7839,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.366200000000001,8.71035,1.419713329544737,10.61275,7.83515,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.531049999999999,8.9535,1.3995700005584406,10.6126,8.2784,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.7519,8.617450000000002,1.4797765000087029,11.0174,7.9295,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.6831,8.55675,1.4822333245683232,10.9342,7.93915,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.8911,8.69265,1.4829885017802396,10.9743,8.1695,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.364700000000001,8.7295,1.4164270576779885,10.60945,7.9295,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.42075,8.6959,1.4283455421520486,10.78225,7.803100000000001,True
