uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,26.01575,9.931149999999999,2.6196110218856834,26.1101,9.4016,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.34385,8.4383,2.173879809914319,16.1934,7.6861999999999995,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.66375,8.76795,2.128633260910475,16.7808,7.899100000000001,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,25.17265,9.457450000000001,2.661674129918741,25.113400000000002,9.132700000000002,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,24.0302,9.47035,2.5374141399209114,24.07795,8.907,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,26.27175,9.29755,2.825663750127722,26.33895,9.1966,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.37105,9.44465,1.9451276648684708,16.42865,8.42225,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.2941,8.63515,2.234367671667545,17.534299999999998,7.8463,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,25.27465,9.6623,2.6158005857818534,23.90525,9.2495,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,25.828650000000003,9.29905,2.7775579225834903,25.40125,8.8815,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,25.37265,9.8415,2.578128334095412,25.350150000000003,9.782350000000001,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.946900000000003,9.0063,2.2147718819048894,17.932599999999997,8.11505,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.0879,8.82385,2.1632167364585753,17.2972,7.907100000000001,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,25.0891,8.987,2.7917102481361966,23.1758,8.6319,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,25.115,10.025549999999999,2.5050994708519734,22.7581,9.56955,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,28.9054,9.57595,3.0185412413389794,28.8556,9.5824,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.37565,9.01435,2.1494228646546896,17.2955,8.0143,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.514950000000002,8.73745,2.119033585313793,16.590349999999997,7.6255500000000005,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,25.583650000000002,9.206299999999999,2.778928559790579,25.47175,8.8606,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,24.020599999999998,9.382299999999999,2.560203787983757,23.74205,8.900649999999999,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,24.97905,9.52945,2.6212478159809853,24.721400000000003,9.57275,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.80145,7.4719,1.713279085640868,10.97115,6.61435,True
flash_128k_L04,flash,128k,4,32771,512,0.805,19.63015,7.2495,2.7077936409407544,16.107,6.424,True
flash_128k_L06,flash,128k,6,32771,512,0.637,20.85255,7.475149999999999,2.7895828177360995,16.799799999999998,6.6638,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.22385,8.8831,1.376079296641938,10.409600000000001,7.97115,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.9918,8.82385,1.472350504598333,11.0174,7.94065,True
flash_128k_L12,flash,128k,12,32771,512,0.49,13.3215,7.371149999999999,1.8072485297409497,11.364700000000001,6.4336,True
flash_128k_L14,flash,128k,14,32771,512,0.578,20.113400000000002,7.2879499999999995,2.759815860427144,15.801549999999999,6.7375,True
flash_128k_L16,flash,128k,16,32771,512,0.564,21.08925,7.2399,2.91292006795674,14.6286,6.86695,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.655899999999999,8.87195,1.4265071376642113,10.87345,7.98395,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.95025,8.64945,1.38161964055518,10.1791,7.7199,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.64945,7.35515,1.7198085695057204,10.7262,6.44475,True
flash_128k_L24,flash,128k,24,32771,512,0.609,20.476599999999998,7.1453500000000005,2.8657238623720316,13.47025,6.45905,True
flash_128k_L26,flash,128k,26,32771,512,0.744,20.676650000000002,7.223949999999999,2.8622360343025637,14.61585,6.46395,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.121450000000001,8.8911,1.5882680433242233,12.283,8.107149999999999,True
flash_128k_L30,flash,128k,30,32771,512,0.777,11.8351,6.88465,1.7190561611701396,10.06865,6.05275,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.9694,7.3648,1.89677927438627,11.913450000000001,6.4656,True
flash_128k_L34,flash,128k,34,32771,512,0.688,20.08625,7.137449999999999,2.814205353452564,14.9647,6.428649999999999,True
flash_128k_L36,flash,128k,36,32771,512,0.898,22.9374,7.343850000000001,3.1233481076002367,15.90525,6.923100000000001,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.529549999999999,8.950299999999999,1.3999027965543056,10.527899999999999,8.07835,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.0206,8.831850000000001,1.3610511953894142,10.363,7.803100000000001,True
flash_128k_L42,flash,128k,42,32771,512,0.863,16.55345,7.73595,2.139808297623434,14.0686,6.8286999999999995,True
flash_16k_L02,flash,16k,2,4099,512,0.762,14.34705,6.06395,2.3659578327657713,10.5166,5.9008,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.05425,5.9678,1.5171838868594791,7.47355,5.4224,True
flash_16k_L06,flash,16k,6,4099,512,0.748,8.7983,5.3951,1.6307946099238195,7.2223999999999995,4.9008,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.204649999999999,5.9295,1.5523484273547514,7.867100000000001,5.37755,True
flash_16k_L10,flash,16k,10,4099,512,0.648,13.29415,4.488,2.962154634581105,11.15985,3.8608000000000002,True
flash_16k_L12,flash,16k,12,4099,512,0.406,13.871799999999999,6.184,2.243175937904269,10.664,5.6879,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.19515,5.79025,1.5880402400587192,7.923100000000001,5.3278,True
flash_16k_L16,flash,16k,16,4099,512,0.359,9.05265,5.4895,1.6490846160852537,7.3517,4.9408,True
flash_16k_L18,flash,16k,18,4099,512,0.439,10.383899999999999,6.02705,1.7228826706265916,8.6959,5.507149999999999,True
flash_16k_L20,flash,16k,20,4099,512,0.33,13.32635,6.0768,2.1929880858346498,11.6925,5.8687,True
flash_16k_L22,flash,16k,22,4099,512,0.344,14.062149999999999,6.1008000000000004,2.304968200891686,10.63025,5.77435,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.71665,5.705550000000001,1.7030172376019839,8.0255,5.239949999999999,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.93905,5.5807,1.60177934667694,7.3743,4.982399999999999,True
flash_16k_L28,flash,16k,28,4099,512,0.627,9.33915,5.9487,1.569948055877755,7.89915,5.479850000000001,True
flash_16k_L30,flash,16k,30,4099,512,0.545,13.50065,6.0526,2.230553811585104,8.83515,5.77115,True
flash_16k_L32,flash,16k,32,4099,512,0.303,14.16135,5.9423,2.3831428907998586,9.774299999999998,4.921600000000001,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.980649999999999,5.72475,1.568740993056465,7.5614,5.232,True
flash_16k_L36,flash,16k,36,4099,512,0.916,9.98385,5.59675,1.7838656363067853,8.475100000000001,5.070399999999999,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.8255,6.02385,1.6310997119782198,8.155100000000001,5.4911,True
