uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,20.209349999999997,9.36,2.1591185897435894,17.42075,8.46395,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,19.05405,8.329450000000001,2.2875519992316415,16.4108,7.6032,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.88465,8.7087,2.1684809443430133,16.34865,7.8687,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.4605,8.8255,2.2050308764375957,16.84465,7.85105,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,19.85895,8.604700000000001,2.3079189280277057,17.00135,7.9455,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,19.267,8.7088,2.2123599118133384,16.6301,7.76305,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,19.5917,9.344,2.096714469178082,16.9038,8.299100000000001,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,20.1262,8.78395,2.291247104093261,17.356450000000002,7.90535,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,19.2701,9.188649999999999,2.0971633482611702,16.4478,8.2495,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,20.53255,9.257549999999998,2.2179248289234197,17.636599999999998,8.25275,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,19.498849999999997,9.3887,2.0768423743436255,16.81725,8.65745,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.77065,8.984,2.3119601513802315,17.88605,8.0575,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,20.074849999999998,8.88635,2.2590658706893154,17.27345,7.9087,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,19.40785,8.54065,2.272409008682009,16.761400000000002,7.5104,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.604599999999998,9.593549999999999,2.043518822542229,16.96295,8.8303,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.50215,9.5343,2.3601260711326475,19.9294,8.495899999999999,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,20.8687,8.8015,2.3710390274385045,18.123099999999997,7.809399999999999,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.747049999999998,8.8096,2.1280251089720306,16.10535,7.8975,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,20.0975,8.619,2.3317670263371624,17.29745,7.6015500000000005,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,19.16455,8.9391,2.1439015113378304,16.4893,7.891100000000001,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.815849999999998,9.0655,2.0755446472891728,16.3039,8.20955,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.41595,8.926350000000001,1.3909324639970424,10.58225,7.9407,True
flash_128k_L04,flash,128k,4,32771,512,0.805,12.25425,7.20955,1.6997246707492146,10.41425,6.34555,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.25105,8.9021,1.3761977510924386,10.35825,7.891100000000001,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.5006,7.2751,1.7182719137881266,10.6591,6.390350000000001,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.83985,8.69275,1.4770757240228927,10.98865,7.74865,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.44465,8.41405,1.4790320951266036,10.65265,7.56155,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.270100000000001,8.8991,1.378802350799519,10.540700000000001,7.8383,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.74225,7.3264,1.7392239025988208,10.9487,6.406350000000001,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.425450000000001,8.7488,1.4202462051938554,10.54065,7.78225,True
flash_128k_L20,flash,128k,20,32771,512,0.785,12.69275,7.380649999999999,1.7197333568181665,10.787049999999999,6.523149999999999,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.87355,8.59985,1.3806694302807607,10.0477,7.6192,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.34065,8.6431,1.427803681549444,10.591899999999999,7.58075,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.95185,8.65745,1.380527753553298,10.27985,7.707050000000001,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.20305,7.272,1.9531146864686466,12.2958,6.52955,True
flash_128k_L30,flash,128k,30,32771,512,0.777,11.823799999999999,6.974399999999999,1.6953142922688689,10.08465,6.1983999999999995,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.8975,7.3312,1.8956651025752949,11.8751,6.406350000000001,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.7246,8.432,1.390488614800759,10.07355,7.528,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.1407,8.681299999999998,1.513678826903805,11.49745,7.7599,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.04,8.774299999999998,1.3721892344688467,10.3871,7.77755,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.67825,7.399850000000001,1.7133117563193847,10.69265,6.4719,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.68775,9.187149999999999,1.7075752545675211,13.369399999999999,8.1279,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.2527,4.9648,1.8636601675797615,7.745550000000001,4.4736,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.931,5.1215,1.743825051254515,7.16315,4.5728,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.1502,4.902399999999999,1.8664735639686687,7.239949999999999,4.38875,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.2095,4.636699999999999,1.9862186468824814,7.42075,4.10555,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.9135,4.8928,1.8217585022890779,7.556649999999999,4.4031,True
flash_16k_L12,flash,16k,12,4099,512,0.406,8.945450000000001,5.2525,1.7030842455973347,7.19675,4.6975,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.8271,5.11005,1.9230927290339623,8.171100000000001,4.5344,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.8399,5.14065,1.7196074426385768,7.3519,4.64475,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.5695,5.299,1.8059067748631816,8.089550000000001,4.78235,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.883049999999999,5.2207,1.7015055452333976,7.3375,4.68795,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.99675,5.5007,1.6355645645099715,7.4927,4.983899999999999,True
flash_16k_L24,flash,16k,24,4099,512,0.266,8.9855,4.6464,1.9338627754820936,7.7231000000000005,4.13595,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.34225,5.1152,1.8263704253988116,7.86555,4.6368,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.8336,4.91515,1.7972188030884106,7.3279,4.36955,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.1215,4.66365,1.9558714740600174,7.5231,4.142399999999999,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.01905,5.15195,1.7506089927114976,7.4736,4.60475,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.9951,5.478350000000001,1.6419359843748573,7.563149999999999,4.99035,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.01905,5.1536,1.9440876280658181,8.4671,4.555149999999999,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.796700000000001,5.07035,1.9321545849892021,8.1184,4.61275,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.779200000000001,5.2128000000000005,1.6841620626151013,7.23025,4.6095500000000005,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.54385,5.0128,1.7044067187998724,6.999899999999999,4.3904,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.999799999999999,9.1455,1.5307856322781694,12.688,8.0591,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.54545,8.591899999999999,1.8093145869947278,13.8111,7.756600000000001,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.6015,8.750350000000001,1.5543949670584603,11.87665,7.7471000000000005,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.4527,8.620700000000001,1.792511048986741,13.67825,7.71505,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.636700000000001,8.5423,1.713437832902146,13.407950000000001,7.6799,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.98205,8.752,1.9403622029250456,15.190299999999999,7.6383,True
flash_256k_L14,flash,256k,14,65538,512,0.182,15.714799999999999,8.5647,1.8348336777703829,13.91835,7.6895500000000006,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.79665,8.4798,1.6270018160805682,12.419049999999999,7.65435,True
flash_256k_L18,flash,256k,18,65538,512,0.312,12.9469,8.55665,1.5130804695762945,11.57415,7.5663,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.37755,8.54235,1.5660269129689135,12.0686,7.635149999999999,True
flash_256k_L22,flash,256k,22,65538,512,0.279,14.56785,8.41435,1.7313102022140747,12.8143,7.6941999999999995,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.16135,8.9248,2.1469780835424883,17.902,7.90545,True
flash_256k_L26,flash,256k,26,65538,512,0.486,15.2367,8.460700000000001,1.8008793598638408,13.750200000000001,7.5727,True
flash_256k_L28,flash,256k,28,65538,512,0.484,16.09575,8.7232,1.845165764856933,14.4686,7.7151499999999995,True
flash_256k_L30,flash,256k,30,65538,512,0.471,14.572700000000001,8.61115,1.6923059057152645,12.9551,7.7135,True
flash_256k_L32,flash,256k,32,65538,512,0.402,17.00455,8.89425,1.911858785170194,15.39505,7.7566999999999995,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.9566,8.42555,1.6564615959788975,12.442950000000002,7.46225,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.0972,8.597850000000001,1.5233110603232203,11.51975,7.7311000000000005,True
flash_256k_L38,flash,256k,38,65538,512,0.453,15.6255,8.7728,1.7811303118730621,13.8046,7.835100000000001,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.791799999999999,8.115,1.6995440542205789,12.3583,7.3808,True
flash_256k_L42,flash,256k,42,65538,512,0.617,13.28635,9.039950000000001,1.4697371113778284,11.8879,7.92625,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.0592,6.332649999999999,1.4305543492850548,7.6255,5.56155,True
flash_32k_L04,flash,32k,4,8195,512,0.775,9.4255,7.174300000000001,1.313786710898624,7.911899999999999,6.2655,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.7902,5.4768,1.9701650598889864,9.044649999999999,4.7326999999999995,True
flash_32k_L08,flash,32k,8,8195,512,0.76,9.48465,7.40595,1.280679723735645,8.1903,6.5504,True
flash_32k_L10,flash,32k,10,8195,512,0.723,9.25105,6.6526499999999995,1.3905811969666224,7.59985,5.97115,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.430299999999999,6.6176,1.425033244680851,7.7631000000000006,5.935899999999999,True
flash_32k_L14,flash,32k,14,8195,512,0.688,8.883049999999999,7.34555,1.2093103988128866,7.7966999999999995,6.367850000000001,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.900649999999999,7.094399999999999,1.3955584686513305,8.3024,6.44475,True
flash_32k_L18,flash,32k,18,8195,512,0.713,8.876700000000001,7.126399999999999,1.2456078805568032,7.5951,6.2143999999999995,True
flash_32k_L20,flash,32k,20,8195,512,0.795,9.5967,7.6495500000000005,1.2545443849638214,8.1423,6.95355,True
flash_32k_L22,flash,32k,22,8195,512,0.686,9.2926,6.9295,1.3410202756331626,7.7839,5.992,True
