uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,20.322950000000002,9.45575,2.1492689633291913,17.391849999999998,8.555200000000001,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,19.05255,8.45265,2.25403275895725,16.41585,7.6799,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.74865,8.6767,2.1608042228036006,16.30855,7.96625,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.497349999999997,8.86225,2.2000451352647463,16.86845,8.012649999999999,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,19.838150000000002,8.703850000000001,2.279238497906099,17.047849999999997,8.0863,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,19.3004,8.737549999999999,2.2089029533450457,16.636400000000002,7.86865,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,19.49245,9.45425,2.061765872491208,16.916349999999998,8.430299999999999,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,20.20765,8.9534,2.2569805883798333,17.375700000000002,8.0429,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,19.2605,9.351899999999999,2.059528010350838,16.446150000000003,8.366200000000001,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,20.46195,9.419049999999999,2.172400613649997,17.6334,8.3455,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,19.4589,9.5054,2.047141624760662,16.795099999999998,8.8015,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.7372,9.0494,2.291555241231463,17.9069,8.27985,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,20.0925,8.9695,2.2400914209264733,17.2527,8.0528,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,19.3229,8.702200000000001,2.2204614924961503,16.762900000000002,7.7101999999999995,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.64935,9.6238,2.041745464369584,16.9678,9.031649999999999,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.530849999999997,9.641399999999999,2.336885721990582,19.9355,8.66225,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,20.875,8.88475,2.3495315006049693,18.12435,7.9503,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.73425,8.93435,2.0968788999759354,16.11015,8.06385,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,20.02045,8.71815,2.296410362290165,17.2957,7.75185,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,19.190150000000003,9.0543,2.1194515313166122,16.491,7.99825,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,19.04745,9.0991,2.093333406600653,16.3214,8.3919,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.3902,9.044649999999999,1.3698926989988558,10.55825,8.0495,True
flash_128k_L04,flash,128k,4,32771,512,0.805,12.0942,7.2926,1.6584208649864247,10.425450000000001,6.4431,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.2207,9.04625,1.350913361890286,10.3455,8.0126,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.44935,7.34875,1.6940772240176902,10.66385,6.5087,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.7726,8.8111,1.4496033412400269,11.00465,7.902399999999999,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.494200000000001,8.547,1.461822861822862,10.64465,7.7568,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.33435,8.91995,1.382782414699634,10.527899999999999,7.955100000000001,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.73415,7.43675,1.7123272935085891,10.9711,6.51985,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.33415,8.835049999999999,1.396047560568418,10.547,7.887899999999999,True
flash_128k_L20,flash,128k,20,32771,512,0.785,12.699,7.4927,1.6948496536628985,10.79185,6.5807,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.806149999999999,8.683,1.3596855925371414,10.0511,7.72785,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.315,8.7023,1.4151431230824036,10.5982,7.6991499999999995,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.99985,8.87185,1.3525758438206237,10.2799,7.8286999999999995,True
flash_128k_L28,flash,128k,28,32771,512,0.855,14.1646,7.351850000000001,1.926671518053279,12.2767,6.56145,True
flash_128k_L30,flash,128k,30,32771,512,0.777,11.79815,7.0366,1.676683341386465,10.0703,6.264,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.8974,7.3678,1.886234696924455,11.8991,6.5199,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.67825,8.563049999999999,1.3637956102089794,10.092600000000001,7.6672,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.15985,8.791799999999999,1.496832275529471,11.510200000000001,7.88315,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.0399,8.90555,1.3519546799467748,10.377450000000001,7.88305,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.679799999999998,7.43345,1.7057759183151833,10.707049999999999,6.5519,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.833549999999999,9.2638,1.7091852155702842,13.3614,8.233450000000001,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.2575,5.09915,1.8154986615416295,7.75815,4.5695500000000004,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.88935,5.21265,1.7053418127056297,7.15995,4.6816,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.100700000000002,5.07985,1.7915292774392946,7.24465,4.491149999999999,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.12475,4.7263,1.9306328417578233,7.412649999999999,4.20155,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.959950000000001,5.00155,1.7914346552568705,7.5408,4.5056,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.01905,5.3072,1.6993989297558034,7.198300000000001,4.78385,True
flash_16k_L14,flash,16k,14,4099,512,0.492,9.7966,5.17275,1.893886230728336,8.171050000000001,4.61435,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.8367,5.2463999999999995,1.6843359255870696,7.3406,4.745550000000001,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.63505,5.4207,1.7774549412437508,8.0751,4.88955,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.7998,5.2991,1.6606216149912247,7.34555,4.784,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.9999,5.5775,1.6136082474226805,7.510350000000001,5.08775,True
flash_16k_L24,flash,16k,24,4099,512,0.266,8.9118,4.7919,1.8597633506542288,7.7183,4.22555,True
flash_16k_L26,flash,16k,26,4099,512,0.346,9.3614,5.2127,1.7958831315824813,7.87025,4.7264,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.8255,5.03825,1.7516994988339205,7.3359499999999995,4.4815,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.04305,4.7744,1.8940704591152813,7.5263,4.23675,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.025549999999999,5.26075,1.7156394050278,7.48305,4.6911499999999995,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.948649999999999,5.6383,1.587118457691148,7.5631,5.09435,True
flash_16k_L36,flash,16k,36,4099,512,0.916,9.996649999999999,5.24465,1.9060661817280464,8.473450000000001,4.6431000000000004,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.803049999999999,5.21115,1.881168264202719,8.1151,4.712,True
