uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.1293,9.4734,2.019264466822894,17.46855,8.56465,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.547099999999997,8.425450000000001,2.201318623931065,16.4206,7.6703,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.451,8.7119,2.1179076894822026,16.31655,8.0207,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.9406,8.88795,2.131042591373714,16.77425,8.006350000000001,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.6334,8.6496,2.154249907510174,16.97905,8.0751,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.5485,8.83025,2.1005634042071293,16.5965,7.87355,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.351950000000002,9.63355,1.90500386669504,16.3775,8.6656,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.3006,9.1999,2.097914107762041,17.3869,8.353549999999998,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.675099999999997,9.37435,1.9921487889827025,16.8446,8.4191,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.7725,9.32625,2.120091140597775,17.8398,8.318299999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.98865,9.585450000000002,1.876662024213782,16.07185,8.862350000000001,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.8462,9.11985,2.176154213062715,17.92295,8.21585,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.47025,8.843,2.2017697613931926,17.6174,7.93115,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.5902,8.67665,2.1425550183538578,16.46065,7.78865,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.019,10.09435,1.884123296695676,16.915,9.313600000000001,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.310200000000002,9.721549999999999,2.294922106042761,20.2574,8.83025,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.79025,8.87675,2.229447714535162,17.7821,7.9855,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.1775,8.7791,2.0705425385290064,16.32615,7.7486999999999995,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.6429,8.847850000000001,2.107054256118718,16.8126,7.7823,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.3182,9.041450000000001,2.026024586764291,16.265549999999998,8.13105,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.791900000000002,9.2365,2.0345260650679373,17.0047,8.382200000000001,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.249450000000001,8.940700000000001,1.370077287013321,10.3407,7.992,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.80785,8.6623,1.3631310391004698,9.9551,7.67995,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.42865,9.100700000000002,1.3656806619271042,10.5967,8.0335,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.16145,7.292800000000001,1.667596807810443,10.369399999999999,6.414350000000001,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.7872,8.9375,1.4307356643356643,11.0078,8.0399,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.737549999999999,7.06395,1.8031766929267616,10.8832,6.29275,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.74385,8.926350000000001,1.4276664034011661,10.96785,7.99195,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.049299999999999,7.5119,1.7371503880509591,11.27515,6.61595,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.34385,8.68315,1.4215866361861766,10.53265,7.67195,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.884649999999999,8.623850000000001,1.3781141833403872,10.12945,7.831899999999999,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.1087,8.8415,1.369530057117005,10.2719,7.88795,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.8207,7.2992,1.7564527619465147,11.01435,6.4783,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.8094,8.6751,1.361298428836555,10.10385,7.78545,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.9967,7.16,1.9548463687150839,12.23835,6.390350000000001,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.3071,7.0751,1.739494848129355,10.673549999999999,6.2447,True
flash_128k_L32,flash,128k,32,32771,512,0.475,13.89095,7.350350000000001,1.8898351779166978,11.9151,6.51995,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.931,8.4015,1.4201035529369754,10.11355,7.6751499999999995,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.2927,8.77275,1.5152261263571856,11.499049999999999,7.856,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.1694,8.9231,1.3638085418744605,10.3775,7.88155,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.652700000000001,7.4208,1.7050318025010782,10.670399999999999,6.5519,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.24475,9.1951,1.6579210666550663,13.37905,8.2271,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.0495,4.7008,1.925097855684139,7.1358500000000005,4.1423000000000005,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.01755,5.29755,1.7022113996092532,7.2478,4.7183,True
