uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.65565,,,17.72605,,
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.1118,,,16.1949,,
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.13905,,,16.2639,,
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.977349999999998,,,17.1357,,
flash_1024k_L10,flash,1024k,10,262127,512,0.385,19.08955,,,16.9836,,
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.5871,,,16.6173,,
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.327849999999998,,,16.4399,,
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.25585,,,17.41435,,
flash_1024k_L18,flash,1024k,18,262127,512,0.312,19.0766,,,17.15025,,
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.5774,,,17.6157,,
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.012700000000002,,,16.08795,,
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.297400000000003,,,18.2302,,
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.71025,,,17.643099999999997,,
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.383599999999998,,,16.4909,,
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.8095,,,16.9247,,
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.3228,,,20.2125,,
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.947,,,18.06705,,
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.0668,,,16.09085,,
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.6719,,,16.7743,,
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.46365,,,16.59165,,
flash_1024k_L42,flash,1024k,42,262127,512,0.758,19.131,,,17.0495,,
flash_128k_L02,flash,128k,2,32771,512,0.604,12.265450000000001,,,10.33265,,
flash_128k_L04,flash,128k,4,32771,512,0.805,12.1855,,,10.2287,,
flash_128k_L06,flash,128k,6,32771,512,0.637,12.711799999999998,,,10.93905,,
flash_128k_L08,flash,128k,8,32771,512,0.742,12.10045,,,10.29905,,
flash_128k_L10,flash,128k,10,32771,512,0.523,12.81425,,,10.966299999999999,,
flash_128k_L12,flash,128k,12,32771,512,0.49,12.659049999999999,,,10.8639,,
flash_128k_L14,flash,128k,14,32771,512,0.578,12.67195,,,10.9568,,
flash_128k_L16,flash,128k,16,32771,512,0.564,12.955,,,10.913549999999999,,
flash_128k_L18,flash,128k,18,32771,512,0.637,12.378950000000001,,,10.547,,
flash_128k_L20,flash,128k,20,32771,512,0.785,12.14225,,,10.3295,,
flash_128k_L22,flash,128k,22,32771,512,0.701,12.475100000000001,,,10.7086,,
flash_128k_L24,flash,128k,24,32771,512,0.609,12.7775,,,10.9775,,
flash_128k_L26,flash,128k,26,32771,512,0.744,12.1854,,,10.01585,,
flash_128k_L28,flash,128k,28,32771,512,0.855,14.363100000000001,,,12.190299999999999,,
flash_128k_L30,flash,128k,30,32771,512,0.777,12.4719,,,10.6286,,
flash_128k_L32,flash,128k,32,32771,512,0.475,13.558200000000001,,,11.5598,,
flash_128k_L34,flash,128k,34,32771,512,0.688,12.147,,,10.11185,,
flash_128k_L36,flash,128k,36,32771,512,0.898,13.900649999999999,,,11.8575,,
flash_128k_L38,flash,128k,38,32771,512,0.727,12.61265,,,10.7966,,
flash_128k_L40,flash,128k,40,32771,512,0.832,12.30875,,,10.5983,,
