uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.3485,12.929450000000001,1.4964673671347195,17.220650000000003,11.6927,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.267,12.8621,1.4202190933051368,16.247799999999998,11.6335,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.423849999999998,12.8975,1.4284822640046517,16.3502,11.67985,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.0798,12.8494,1.4848786713776518,17.04445,11.6048,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.31645,13.0879,1.3994949533538612,16.2655,11.81425,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.8253,13.0495,1.442606996436645,16.69735,11.7727,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.7118,13.012649999999999,1.4379699753701207,16.6911,11.82865,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.174049999999998,14.4365,1.3281647213659817,17.1693,13.3918,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.45575,13.0942,1.4094599135495103,16.43995,11.899,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.64455,12.82695,1.531505930872109,17.8798,11.727649999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.849400000000003,12.9903,1.3740560264197135,16.1373,11.7726,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.7215,13.089450000000001,1.5066714033057154,17.91835,11.87505,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,18.8334,13.052700000000002,1.44287388816107,17.094099999999997,11.8365,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.3087,13.0399,1.404052178314251,16.54055,11.80145,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.636650000000003,13.05585,1.4274558914203215,16.97895,11.81105,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.95005,12.9982,1.6886992045052391,20.1887,11.788799999999998,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.097450000000002,12.977549999999999,1.471575913789583,17.37735,11.7119,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.908549999999998,13.0606,1.371188919345206,16.14235,11.806299999999998,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.0063,13.03825,1.4577339750349931,17.0846,11.819049999999999,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.26545,12.73255,1.4345476750533084,16.32625,11.515,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.252650000000003,12.92465,1.41223553442453,16.35505,11.63665,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.1997,9.899049999999999,1.2324111909728712,10.34065,9.06865,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.8574,9.82865,1.2064118673469908,9.96775,8.982299999999999,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.45275,9.727799999999998,1.2801198626616503,10.5952,8.91025,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.8399,9.8047,1.2075739186308607,9.993450000000001,9.1135,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.686350000000001,9.8125,1.2928764331210192,10.9455,9.1343,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.65915,9.673549999999999,1.3086354027218552,10.915049999999999,8.958350000000001,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.1183,10.0095,1.2106798541385684,10.366299999999999,9.23185,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.26865,9.939,1.2343948083308178,10.54395,9.1742,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.5214,9.85275,1.270853315064322,10.7936,9.1342,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.7823,9.91025,1.1889003809187457,10.092649999999999,9.21425,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.71665,9.864,1.1878193430656934,10.0112,9.22225,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.5679,9.80625,1.281621414913958,10.9341,9.142299999999999,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.79025,10.03505,1.1749069511362673,10.025549999999999,9.281450000000001,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.651,9.929350000000001,1.3748130542281214,11.8751,9.1759,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.084700000000002,9.700700000000001,1.2457554609461172,10.32785,8.963049999999999,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.86065,9.7486,1.3192304536035944,11.20785,9.01585,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.5998,9.71175,1.194408834659047,10.001299999999999,9.02225,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.57105,9.73745,1.3936965016508427,11.948649999999999,9.07185,True
flash_128k_L38,flash,128k,38,32771,512,0.727,11.87185,9.8895,1.2004499721927298,10.11975,9.1455,True
flash_128k_L40,flash,128k,40,32771,512,0.832,12.015799999999999,9.9376,1.209124939623249,10.2125,9.183950000000001,True
flash_128k_L42,flash,128k,42,32771,512,0.863,16.17575,9.771049999999999,1.6554771493340021,13.707049999999999,9.03505,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.7087,5.77115,1.5090060040026687,7.182300000000001,5.536,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.6191,5.85435,1.4722556731319445,7.0928,5.61435,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.0191,5.90075,1.5284667203321611,7.4767,5.587149999999999,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.1071,6.07995,1.4978906076530236,7.2431,5.6384,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.007950000000001,6.09105,1.4788829512153079,7.1583000000000006,5.68,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.17585,6.1343000000000005,1.4958267446978464,7.3935,5.6976,True
flash_16k_L14,flash,16k,14,4099,512,0.492,8.7119,6.1007,1.4280164571278706,7.56145,5.6896,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.7551,6.08795,1.4381031381663778,7.2559,5.6864,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.82715,6.25115,1.5720547419274853,8.3439,5.784,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.69915,5.77435,1.5065158849047944,7.203,5.6846000000000005,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.44465,5.7583,1.466517895906778,7.1198999999999995,5.67035,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.36795,5.76785,1.6241667172343248,7.900600000000001,5.656,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.9278,6.03515,1.4793004316379874,7.3343,5.6190500000000005,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.6511,6.032,1.4342009283819628,7.24475,5.5727,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.2415,6.2207,1.4856045139614513,7.81585,5.7151499999999995,True
flash_16k_L32,flash,16k,32,4099,512,0.303,8.8783,5.84315,1.519437289817992,7.318350000000001,5.7488,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.7104,5.6944,1.529643158190503,7.17915,5.58395,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.2767,5.7328,1.7926144292492325,8.73265,5.6351,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.023950000000001,6.0767,1.485008310431649,7.5439,5.69585,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.74385,5.9695,1.464754167015663,7.1118999999999994,5.5695500000000004,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.9071,6.13115,1.452761716806798,7.2687,5.6719,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.9165,11.14545,1.2486261209731324,12.3871,10.3039,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.236600000000001,11.0238,1.3821549737839949,13.690850000000001,10.24155,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.4495,11.19345,1.2015509070036494,11.91825,10.2879,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.65425,11.044649999999999,1.417360441480717,13.835,10.132700000000002,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.54695,11.18235,1.300884876613592,12.84615,10.2574,True
