uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.29085,11.031799999999999,1.7486584238292937,17.19655,10.10225,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.27495,11.00465,1.6606570858682468,16.23495,10.04945,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.391849999999998,11.004700000000001,1.6712722745735908,16.30545,10.060649999999999,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.126150000000003,10.93905,1.7484287940908947,17.0525,10.01745,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.382099999999998,11.188649999999999,1.6429238558717987,16.28785,10.23665,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.78375,11.12155,1.6889507307884246,16.6798,10.18855,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.7102,11.126299999999999,1.681619226517351,16.66705,10.3087,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.178900000000002,11.83825,1.6200789812683465,17.13105,11.0127,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.4559,11.1982,1.6481130896036862,16.4495,10.37265,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.58875,11.0111,1.7790002815340884,17.88295,10.188649999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.8221,11.04305,1.6138747900263062,16.15025,10.24465,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.659,11.1966,1.7558008681206794,17.96295,10.41265,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,18.875049999999998,11.142299999999999,1.6939994435619217,17.1166,10.3055,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.2605,11.1486,1.6379186624329511,16.55995,10.2799,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.6815,11.13585,1.6775998239918821,16.982200000000002,10.29435,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.879849999999998,11.10225,1.9707581796482694,20.18375,10.249450000000001,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.08775,11.094299999999999,1.7205006174341781,17.380599999999998,10.206299999999999,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.843049999999998,10.5152,1.6968816570298233,16.147100000000002,9.66375,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.035,11.140600000000001,1.7086153349011721,17.10545,10.2607,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.243,10.838299999999998,1.683197549431184,16.3167,9.9919,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.14545,10.96795,1.6544067031669547,16.35,10.0784,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.233450000000001,8.243,1.4841016620162564,10.332799999999999,7.5712,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.8206,8.1503,1.45032698182889,9.97115,7.4911,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.4031,8.0335,1.5439223252629615,10.60625,7.3887,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.7839,7.5518,1.5604094388092904,10.00315,6.91355,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.7582,8.26865,1.5429604590834056,10.9375,7.632,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.72795,7.97585,1.595811104772532,10.92305,7.398350000000001,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.09425,8.2559,1.4649220557419542,10.3695,7.6896,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.3279,8.27665,1.4894794391450648,10.5504,7.67025,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.547049999999999,7.5919,1.6526890501718936,10.7823,6.9135,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.71505,7.6207,1.5372669177372156,10.11035,6.9792,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.63185,7.70395,1.5098553339520635,10.007850000000001,7.04635,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.49265,8.199950000000001,1.5235031920926345,10.934149999999999,7.6111,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.806299999999998,8.31995,1.4190349701620801,10.0383,7.73255,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.57595,8.254299999999999,1.6447124529033355,11.86225,7.6448,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.1359,6.7775,1.7906160088528218,10.31665,6.17275,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.852649999999999,8.0206,1.6024549285589604,11.202950000000001,7.4367,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.6446,7.4575,1.5614616158229973,10.022350000000001,6.7966999999999995,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.48465,8.10065,1.6646380228747077,11.942200000000001,7.50545,True
flash_128k_L38,flash,128k,38,32771,512,0.727,11.8623,8.3167,1.4263229405894162,10.132700000000002,7.707199999999999,True
