uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.419,10.367799999999999,1.873010667644052,17.2222,9.6782,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.3549,9.9423,1.8461422407290065,16.2541,9.12795,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.422150000000002,10.03505,1.835780589035431,16.3327,9.24145,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.161450000000002,10.216,1.8756313625685204,17.0285,9.52305,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.3502,10.1534,1.8072960781610103,16.291,9.33435,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.780549999999998,10.17745,1.8453099745024537,16.700650000000003,9.36475,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.79805,10.318100000000001,1.821851891336583,16.671799999999998,9.607899999999999,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.2303,10.74865,1.7890897926716378,17.18215,10.0671,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.42865,10.27345,1.793813178630353,16.444599999999998,9.56145,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.62365,10.226899999999999,1.9188268194663098,17.89105,9.495899999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.823700000000002,11.323049999999999,1.5741076830006053,16.12295,10.66225,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.6462,11.382299999999999,1.7260307670681674,17.95815,10.72625,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,18.8255,10.3024,1.8272926696692033,17.10065,9.6127,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.3373,10.2159,1.7949764582660364,16.55665,9.43345,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.64125,10.383799999999999,1.795224291685125,16.9775,9.636700000000001,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.870150000000002,10.2752,2.1284403223294928,20.1837,9.607899999999999,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.060599999999997,10.1999,1.8687045951430894,17.387,9.4175,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.868299999999998,9.7744,1.828071288263218,16.14215,9.0639,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.0302,10.296,1.8483100233100236,17.0318,9.54385,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.27805,10.0095,1.8260702332783858,16.3294,9.270299999999999,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.21895,10.53265,1.7297593673007268,16.35335,9.72625,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.19345,8.1008,1.5052155342682205,10.2927,7.5183,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.8206,8.0847,1.4620950684626517,9.9744,7.4479,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.4335,7.9743,1.5591964184944134,10.6208,7.318149999999999,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.790299999999998,7.53425,1.5648936523210668,9.9455,6.9215,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.70545,8.188699999999999,1.5515832793972184,10.958350000000001,7.5855,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.70865,7.97745,1.5930717209133245,10.9263,7.3326,True
flash_128k_L14,flash,128k,14,32771,512,0.578,11.9967,8.20795,1.4615951607892348,10.33105,7.6431000000000004,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.33265,8.2591,1.4932196001985687,10.548549999999999,7.60795,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.5375,7.5488,1.6608600042390844,10.783850000000001,6.8831999999999995,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.71495,7.57595,1.546334123113273,10.139,6.99835,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.6255,7.65435,1.5188095658024523,9.9904,7.0415,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.5998,8.16465,1.5432137323706467,10.931,7.5647,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.68135,8.2431,1.4171064284067887,10.0206,7.6863,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.60625,8.22075,1.6551105434418998,11.8655,7.590199999999999,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.1006,6.7726999999999995,1.7866729664683214,10.313600000000001,6.1903500000000005,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.875,7.931100000000001,1.6233561548839377,11.23665,7.415850000000001,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.60465,7.42555,1.5628000619482731,10.0127,6.792,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.56625,8.0368,1.6880163746764882,11.929450000000001,7.4352,True
flash_128k_L38,flash,128k,38,32771,512,0.727,11.7853,8.3087,1.418428875756737,10.1182,7.6911499999999995,True
flash_128k_L40,flash,128k,40,32771,512,0.832,11.9759,8.043050000000001,1.4889749535313095,10.22215,7.44945,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.44935,8.17275,1.890349025725735,13.6942,7.499149999999999,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.7631,5.48155,1.59865366547783,7.1967,4.942399999999999,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.60795,5.4095,1.5912653664848877,7.09435,4.85915,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.038350000000001,5.36955,1.683260235960183,7.47025,4.78715,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.0399,5.75995,1.5694407069505811,7.2238,5.02395,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.067,4.5311,2.0010593454128136,7.169449999999999,3.7375,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.108799999999999,5.849399999999999,1.5572195438848428,7.3983,5.10875,True
flash_16k_L14,flash,16k,14,4099,512,0.492,8.82395,5.60475,1.5743699540568268,7.64625,4.85115,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.80625,5.68795,1.548229151100133,7.2559,4.91835,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.8991,5.883100000000001,1.6826333055701925,8.34385,5.09755,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.7663,5.44795,1.6091006708945566,7.2207,5.06075,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.4511,5.4336,1.5553408421672557,7.13435,5.0543000000000005,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.36305,5.20625,1.798424969987995,7.8975,4.8575,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.91985,5.6895500000000006,1.5677601919308204,7.351850000000001,4.92475,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.5775,5.78075,1.4838040046706742,7.2623500000000005,4.9487,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.32625,5.7999,1.6080018621010708,7.81755,5.00955,True
flash_16k_L32,flash,16k,32,4099,512,0.303,8.9022,5.33755,1.6678438609474384,7.3455,4.9008,True
