uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.355,10.26535,1.8854690780148753,17.214299999999998,9.52625,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.2958,10.0511,1.820278377491021,16.21895,9.254299999999999,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.38855,10.1216,1.8167631599747072,16.308600000000002,9.38075,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.1038,10.17755,1.8770529253111012,17.0364,9.4558,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.449450000000002,10.23825,1.802012062608356,16.2895,9.47355,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.8367,10.37905,1.8148770841261967,16.67185,9.6624,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.690849999999998,10.0014,1.8688233647289376,16.6863,9.41435,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.19975,10.371049999999999,1.8512831391228473,17.1166,9.7038,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.5118,10.043149999999999,1.8432264777485154,16.4414,9.42875,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.5326,10.0751,1.9387003602941904,17.8734,9.4511,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,17.8734,10.9999,1.624869316993791,16.15655,10.36305,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.6798,11.13435,1.7674853044856682,17.96455,10.50535,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,18.836650000000002,10.18555,1.8493503050890727,17.0894,9.479899999999999,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.279799999999998,10.009450000000001,1.8262541897906475,16.53585,9.28135,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.6814,10.3407,1.806589495875521,16.98055,9.64145,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.9406,10.139100000000001,2.1639593257784218,20.20945,9.47985,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.05575,10.07355,1.8916618272604993,17.369349999999997,9.4,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.906950000000002,9.59675,1.8659389897621592,16.15345,8.852649999999999,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.01565,10.058950000000001,1.890420968391333,17.08305,9.4079,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.2479,9.9679,1.830666439270057,16.31655,9.32475,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.274900000000002,10.3247,1.7700175307757129,16.3455,9.617450000000002,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.172649999999999,8.038350000000001,1.5143219690608143,10.3279,7.3744,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.80625,8.00955,1.4740216366712235,9.97115,7.3519,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.35515,7.98875,1.546568612110781,10.607850000000001,7.2927,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.782200000000001,7.438350000000001,1.5839803182157333,9.9918,6.77425,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.7663,7.9935,1.5970851316694814,10.9439,7.3999,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.7568,7.88465,1.6179285066553366,10.93585,7.2751,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.10225,8.1055,1.4930911109740301,10.3632,7.4943,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.30225,8.13275,1.5126802127201748,10.53755,7.5070500000000004,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.5519,7.5279,1.6673839981933873,10.783850000000001,6.84155,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.6782,7.556649999999999,1.5454202589771924,10.1071,6.90235,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.6415,7.5327,1.5454617866103788,10.004700000000001,6.8895,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.54515,7.98545,1.5710010080834518,10.9423,7.387149999999999,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.830200000000001,8.171100000000001,1.44780996438668,10.0287,7.55675,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.6175,8.06395,1.6886885459359247,11.868649999999999,7.475149999999999,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.0365,6.75675,1.7814037814037813,10.3263,6.10385,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.8463,7.9007,1.6259698507727163,11.20785,7.31355,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.6751,7.3855,1.580813756685397,10.014299999999999,6.75035,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.53575,7.99185,1.6936942009672353,11.9215,7.3775,True
flash_128k_L38,flash,128k,38,32771,512,0.727,11.9487,8.07675,1.479394558454824,10.111799999999999,7.45105,True
flash_128k_L40,flash,128k,40,32771,512,0.832,11.942200000000001,7.99825,1.4931016159784956,10.2239,7.38875,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.411,8.0128,1.9232977236421724,13.7008,7.3439499999999995,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.7071,5.5007,1.582907629938008,7.1823500000000005,4.90715,True
flash_16k_L04,flash,16k,4,4099,512,0.861,8.52945,5.3855,1.5837805217714234,7.1007,4.8607,True
flash_16k_L06,flash,16k,6,4099,512,0.748,9.041549999999999,5.4031,1.6734004552941828,7.46395,4.7743,True
flash_16k_L08,flash,16k,8,4099,512,0.633,9.10555,5.7424,1.5856697548063525,7.239949999999999,5.0223,True
flash_16k_L10,flash,16k,10,4099,512,0.648,9.00305,4.515149999999999,1.9939647630754243,7.1455,3.74385,True
flash_16k_L12,flash,16k,12,4099,512,0.406,9.1262,5.8431999999999995,1.5618496714129246,7.395149999999999,5.10715,True
flash_16k_L14,flash,16k,14,4099,512,0.492,8.7678,5.5935500000000005,1.5674839770807445,7.5727,4.8383,True
flash_16k_L16,flash,16k,16,4099,512,0.359,8.77275,5.6671499999999995,1.548000317619968,7.25105,4.9343,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.8285,5.89755,1.6665394952141144,8.3295,5.09905,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.659049999999999,5.37905,1.6097731011981666,7.1998500000000005,5.04315,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.479899999999999,5.4063,1.568521909623957,7.1295,5.05115,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.46075,5.1998999999999995,1.8194099886536284,7.895899999999999,4.86715,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.9119,5.684699999999999,1.56769926293384,7.335850000000001,4.84,True
flash_16k_L28,flash,16k,28,4099,512,0.627,8.65265,5.78235,1.4963898760884415,7.24305,4.96,True
flash_16k_L30,flash,16k,30,4099,512,0.545,9.2204,5.81915,1.584492580531521,7.8159,5.0192,True
flash_16k_L32,flash,16k,32,4099,512,0.303,8.886299999999999,5.3279499999999995,1.6678647509830233,7.3247,4.91515,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.7247,5.2223500000000005,1.670646356525319,7.1918999999999995,4.8543,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.283100000000001,5.37425,1.9134018700283764,8.72945,4.977600000000001,True
flash_16k_L38,flash,16k,38,4099,512,0.508,9.009549999999999,5.7295,1.5724845099921458,7.52155,4.951899999999999,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.774299999999998,5.761550000000001,1.5229061624042137,7.1071,4.99675,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.7904,5.79355,1.5172735196900002,7.2576,4.966399999999999,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.8254,10.31355,1.3405083603608845,12.36785,9.673399999999999,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.169450000000001,10.1534,1.4940266314732014,13.6926,9.54385,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.419,10.25425,1.308628129799839,11.9278,9.638399999999999,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.465399999999999,9.521450000000002,1.6242694127470076,13.847850000000001,8.98705,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.51015,10.16305,1.4277357682979026,12.844700000000001,9.6255,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.89265,11.0815,1.5244010287415963,15.23975,10.507,True
flash_256k_L14,flash,256k,14,65538,512,0.182,14.931,10.1519,1.4707591682345176,13.610899999999999,9.641399999999999,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.63515,9.4399,1.4444167840761024,12.3472,8.835,True
flash_256k_L18,flash,256k,18,65538,512,0.312,12.8445,9.375950000000001,1.3699411792938314,11.615950000000002,8.84315,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.6846,9.4831,1.4430513228796489,12.235100000000001,8.9551,True
flash_256k_L22,flash,256k,22,65538,512,0.279,13.75665,10.9775,1.2531678433158735,12.2591,10.4655,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.2671,11.0591,1.742194211102169,17.9101,10.559899999999999,True
flash_256k_L26,flash,256k,26,65538,512,0.486,14.7966,9.9583,1.4858560196017394,13.446200000000001,9.403049999999999,True
flash_256k_L28,flash,256k,28,65538,512,0.484,15.6046,10.057549999999999,1.5515309394435028,14.34075,9.5311,True
flash_256k_L30,flash,256k,30,65538,512,0.471,14.29575,10.18225,1.4039873308944486,12.9951,9.63015,True
flash_256k_L32,flash,256k,32,65538,512,0.402,17.02375,10.071950000000001,1.6902139109109953,15.59815,9.5487,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.3071,9.3775,1.419045587843242,11.8943,8.85735,True
flash_256k_L36,flash,256k,36,65538,512,0.762,12.975850000000001,9.98075,1.3000876687623677,11.559899999999999,9.43665,True
flash_256k_L38,flash,256k,38,65538,512,0.453,14.831850000000001,10.1375,1.463067817509248,13.48465,9.6015,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.5743,10.0255,1.3539773577377687,12.2655,9.427200000000001,True
flash_256k_L42,flash,256k,42,65538,512,0.617,13.2111,10.012799999999999,1.3194211409395975,11.931149999999999,9.48145,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.076649999999999,7.87025,1.1532861090816682,7.439850000000001,7.446149999999999,True
flash_32k_L04,flash,32k,4,8195,512,0.775,9.12,6.839899999999999,1.3333528267957133,7.4911,6.504,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.8448,6.5215,1.6629303074446062,9.21275,6.1391,True
flash_32k_L08,flash,32k,8,8195,512,0.76,9.12625,6.9807,1.3073545632959447,7.5887,6.5231,True
flash_32k_L10,flash,32k,10,8195,512,0.723,8.98695,7.36475,1.2202654536813877,7.5487,6.92155,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.4224,6.85105,1.3753220309295655,7.93745,6.4303,True
flash_32k_L14,flash,32k,14,8195,512,0.688,8.6558,7.4143,1.16744669085416,7.53755,6.9615,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.091149999999999,6.8607,1.3251053099537948,7.8463,6.414350000000001,True
flash_32k_L18,flash,32k,18,8195,512,0.713,9.03195,6.88475,1.311877700715349,7.6991499999999995,6.4063,True
flash_32k_L20,flash,32k,20,8195,512,0.795,8.98875,7.23675,1.2420976266970671,7.4911,6.8975,True
flash_32k_L22,flash,32k,22,8195,512,0.686,9.103950000000001,6.88475,1.322335596790007,7.668699999999999,6.55195,True
flash_32k_L24,flash,32k,24,8195,512,0.719,9.0574,6.5983,1.3726869042025975,7.635050000000001,6.2591,True
flash_32k_L26,flash,32k,26,8195,512,0.713,9.05735,7.2158500000000005,1.2552020898438851,7.608,6.7151000000000005,True
flash_32k_L28,flash,32k,28,8195,512,0.869,10.61425,7.55355,1.4052002038776468,9.267,7.05115,True
flash_32k_L30,flash,32k,30,8195,512,0.824,9.007950000000001,7.3471,1.226055178233589,7.5951,6.8527,True
flash_32k_L32,flash,32k,32,8195,512,0.615,9.18225,6.8751999999999995,1.3355611473120783,7.7423,6.523149999999999,True
flash_32k_L34,flash,32k,34,8195,512,0.67,9.027149999999999,6.7423,1.3388828737967753,7.59675,6.4176,True
flash_32k_L36,flash,32k,36,8195,512,0.908,10.4,7.32945,1.418933207812319,8.9647,6.943899999999999,True
flash_32k_L38,flash,32k,38,8195,512,0.762,8.884649999999999,7.166300000000001,1.2397820353599485,7.5184,6.715199999999999,True
flash_32k_L40,flash,32k,40,8195,512,0.799,8.983600000000001,7.1183000000000005,1.2620429035022407,7.5135,6.6511000000000005,True
flash_32k_L42,flash,32k,42,8195,512,0.873,10.7887,7.00795,1.5394944313244245,9.3087,6.5583,True
flash_4k_L02,flash,4k,2,1027,512,0.895,9.561549999999999,3.8607,2.4766363612816327,7.8927,3.3775500000000003,True
flash_4k_L04,flash,4k,4,1027,512,0.891,9.0959,3.8096,2.3876259974800504,7.579149999999999,3.336,True
flash_4k_L06,flash,4k,6,1027,512,0.863,5.06235,3.864,1.3101319875776398,3.73435,3.35675,True
flash_4k_L08,flash,4k,8,1027,512,0.744,7.88955,3.9231,2.0110499350003823,6.6816,3.3424,True
flash_4k_L10,flash,4k,10,1027,512,0.846,7.76475,3.96635,1.9576562834848161,6.6111,3.3663499999999997,True
flash_4k_L12,flash,4k,12,1027,512,0.607,8.270299999999999,3.9615,2.087668812318566,7.04635,3.3550999999999997,True
flash_4k_L14,flash,4k,14,1027,512,0.711,8.0559,3.81755,2.110227763879975,6.8286999999999995,3.31355,True
flash_4k_L16,flash,4k,16,1027,512,0.674,8.05115,3.8703000000000003,2.080239257938661,6.8239,3.3344,True
flash_4k_L18,flash,4k,18,1027,512,0.723,8.136,3.9006999999999996,2.0857794754787604,6.91835,3.3775500000000003,True
flash_4k_L20,flash,4k,20,1027,512,0.646,7.963100000000001,3.875,2.054993548387097,6.7615,3.3296,True
flash_4k_L22,flash,4k,22,1027,512,0.639,7.79995,3.8463499999999997,2.0278835779375255,6.5967,3.2448,True
flash_4k_L24,flash,4k,24,1027,512,0.553,8.0639,3.9071,2.06390929333777,6.94395,3.3503499999999997,True
flash_4k_L26,flash,4k,26,1027,512,0.586,8.1183,3.86385,2.101090880857176,6.72945,3.3615500000000003,True
flash_4k_L28,flash,4k,28,1027,512,0.746,7.9695,3.9071,2.0397481508023856,6.6175,3.3935999999999997,True
flash_4k_L30,flash,4k,30,1027,512,0.771,8.1936,3.9375999999999998,2.080861438439659,6.8447,3.4192,True
flash_4k_L32,flash,4k,32,1027,512,0.633,7.85105,3.90875,2.008583306683722,6.6623,3.3310999999999997,True
flash_4k_L34,flash,4k,34,1027,512,0.695,7.8575,3.9535,1.987479448589857,6.6591000000000005,3.3390999999999997,True
flash_4k_L36,flash,4k,36,1027,512,0.934,9.43825,3.91675,2.409714686921555,8.27035,3.3695500000000003,True
flash_4k_L38,flash,4k,38,1027,512,0.742,8.0799,3.9021999999999997,2.070601199323459,6.77585,3.3263000000000003,True
flash_4k_L40,flash,4k,40,1027,512,0.795,7.87025,3.8943499999999998,2.0209405934238065,6.5727,3.29595,True
flash_4k_L42,flash,4k,42,1027,512,0.932,9.3421,3.92475,2.380304477992229,7.987100000000001,3.34715,True
flash_512k_L02,flash,512k,2,131075,512,0.604,14.860700000000001,9.0223,1.6471077219777663,13.13755,8.31835,True
flash_512k_L04,flash,512k,4,131075,512,0.805,14.4894,9.33275,1.552532747582438,12.739,8.604700000000001,True
flash_512k_L06,flash,512k,6,131075,512,0.748,14.651,8.782200000000001,1.6682608002550612,12.884649999999999,8.09915,True
flash_512k_L08,flash,512k,8,131075,512,0.738,14.5471,8.7904,1.6548848744084457,13.067,8.15035,True
flash_512k_L10,flash,512k,10,131075,512,0.455,14.291049999999998,9.311950000000001,1.5347000359752787,12.849350000000001,8.670200000000001,True
flash_512k_L12,flash,512k,12,131075,512,0.715,14.3948,8.758299999999998,1.64356096502746,12.979049999999999,8.123149999999999,True
flash_512k_L14,flash,512k,14,131075,512,0.479,15.40935,9.171100000000001,1.6802073906074515,13.87505,8.5359,True
flash_512k_L16,flash,512k,16,131075,512,0.318,14.99995,9.6495,1.5544795067101922,13.463700000000001,8.955200000000001,True
flash_512k_L18,flash,512k,18,131075,512,0.148,20.89095,10.56465,1.9774389118427964,19.5054,9.881450000000001,True
flash_512k_L20,flash,512k,20,131075,512,0.332,15.0415,9.6479,1.5590439370225644,13.627049999999999,9.0559,True
flash_512k_L22,flash,512k,22,131075,512,0.057,20.5901,9.63835,2.1362681371811565,19.185299999999998,9.032,True
flash_512k_L24,flash,512k,24,131075,512,0.023,21.094150000000003,10.412700000000001,2.025809828382648,19.766099999999998,9.7838,True
flash_512k_L26,flash,512k,26,131075,512,0.301,15.3422,9.47665,1.6189476238966303,13.67515,8.8431,True
flash_512k_L28,flash,512k,28,131075,512,0.525,17.819,9.67835,1.8411196123306142,16.1438,9.03035,True
flash_512k_L30,flash,512k,30,131075,512,0.119,20.9965,10.27665,2.043126894464636,19.361349999999998,9.6128,True
flash_512k_L32,flash,512k,32,131075,512,0.197,17.002950000000002,9.351899999999999,1.8181278670644472,15.48145,8.74385,True
flash_512k_L34,flash,512k,34,131075,512,0.283,14.8751,10.439950000000001,1.4248248315365493,13.36475,9.7823,True
flash_512k_L36,flash,512k,36,131075,512,0.584,15.2702,8.68465,1.7582976861473982,13.76625,8.0143,True
flash_512k_L38,flash,512k,38,131075,512,0.215,17.750049999999998,9.3118,1.9061889215833672,16.1597,8.68475,True
flash_512k_L40,flash,512k,40,131075,512,0.432,16.41905,8.6863,1.8902236855738346,14.83975,7.990399999999999,True
flash_512k_L42,flash,512k,42,131075,512,0.611,14.8591,8.668700000000001,1.7141093820296005,13.243049999999998,7.975899999999999,True
flash_64k_L02,flash,64k,2,16387,512,0.715,9.6287,8.3599,1.1517721503845741,8.3375,7.80475,True
flash_64k_L04,flash,64k,4,16387,512,0.766,9.52785,8.07675,1.1796638499396417,8.233600000000001,7.52155,True
flash_64k_L06,flash,64k,6,16387,512,0.705,9.9502,8.33275,1.1941075875311271,8.58705,7.7215,True
flash_64k_L08,flash,64k,8,16387,512,0.617,10.16785,8.4255,1.2067948489703875,8.500549999999999,7.8096000000000005,True
flash_64k_L10,flash,64k,10,16387,512,0.582,10.4495,8.3727,1.2480442390148936,8.78395,7.7311000000000005,True
flash_64k_L12,flash,64k,12,16387,512,0.254,10.6351,7.6654,1.38741618180395,8.9007,6.97115,True
flash_64k_L14,flash,64k,14,16387,512,0.311,9.979,7.8159,1.276756355634028,8.467049999999999,7.16315,True
flash_64k_L16,flash,64k,16,16387,512,0.227,10.30395,8.24315,1.2500015164105955,8.7391,7.6991000000000005,True
flash_64k_L18,flash,64k,18,16387,512,0.412,10.2255,8.31985,1.2290486006358288,8.64955,7.7551000000000005,True
flash_64k_L20,flash,64k,20,16387,512,0.178,10.7023,7.8079,1.3707014690249617,9.2367,7.1598999999999995,True
flash_64k_L22,flash,64k,22,16387,512,0.076,12.06375,8.364700000000001,1.4422214783554699,10.543899999999999,7.721550000000001,True
flash_64k_L24,flash,64k,24,16387,512,0.107,13.2335,8.224,1.6091318093385212,11.6751,7.5983,True
flash_64k_L26,flash,64k,26,16387,512,0.156,11.019,7.8238,1.4083948976200822,9.6335,7.1872,True
flash_64k_L28,flash,64k,28,16387,512,0.41,10.93745,8.31665,1.3151268840218118,9.559899999999999,7.7806999999999995,True
flash_64k_L30,flash,64k,30,16387,512,0.256,10.23175,8.219100000000001,1.2448747429767248,8.7711,7.65595,True
flash_64k_L32,flash,64k,32,16387,512,0.148,11.13585,8.593549999999999,1.2958381576880336,9.6127,7.971100000000001,True
flash_64k_L34,flash,64k,34,16387,512,0.145,10.54715,7.9375,1.3287748031496063,8.9743,7.2783999999999995,True
flash_64k_L36,flash,64k,36,16387,512,0.779,9.950299999999999,8.44785,1.1778499854992688,8.411100000000001,7.83505,True
flash_64k_L38,flash,64k,38,16387,512,0.336,9.7119,7.73275,1.2559438750767837,8.35825,7.039899999999999,True
flash_64k_L40,flash,64k,40,16387,512,0.406,10.54235,8.21435,1.2834064776884357,9.219100000000001,7.6895,True
flash_64k_L42,flash,64k,42,16387,512,0.779,9.9759,8.187149999999999,1.218482622157894,8.5535,7.60785,True
flash_8k_L02,flash,8k,2,2051,512,0.84,8.19835,4.39675,1.8646386535509183,6.903899999999999,3.8575500000000003,True
flash_8k_L04,flash,8k,4,2051,512,0.844,7.98875,5.10235,1.5657001185728143,6.72795,4.5568,True
flash_8k_L06,flash,8k,6,2051,512,0.75,8.51985,4.3424,1.962014093588799,7.0112,3.8559,True
flash_8k_L08,flash,8k,8,2051,512,0.631,8.0351,4.3728,1.8375182949140139,6.9023,3.9183499999999998,True
flash_8k_L10,flash,8k,10,2051,512,0.672,7.8943,4.3119,1.8308170412115312,6.795100000000001,3.88475,True
flash_8k_L12,flash,8k,12,2051,512,0.477,8.44435,4.3376,1.9467793249723349,7.2318999999999996,3.87675,True
flash_8k_L14,flash,8k,14,2051,512,0.416,8.0542,3.38715,2.3778693001490927,6.6688,2.8208,True
flash_8k_L16,flash,8k,16,2051,512,0.498,8.473450000000001,4.4271,1.9139956178988504,6.9888,3.8784,True
flash_8k_L18,flash,8k,18,2051,512,0.586,8.900799999999998,4.4384,2.005407354001442,7.40955,3.9088000000000003,True
flash_8k_L20,flash,8k,20,2051,512,0.488,8.2687,4.3583,1.8972305715531288,7.342350000000001,3.8543499999999997,True
flash_8k_L22,flash,8k,22,2051,512,0.334,7.69585,4.2703,1.8021801746949864,6.7071000000000005,3.7712,True
flash_8k_L24,flash,8k,24,2051,512,0.48,8.51835,4.20625,2.0251649331352155,7.4303,3.69115,True
flash_8k_L26,flash,8k,26,2051,512,0.439,7.96465,4.3535,1.829482025956127,6.61435,3.7984,True
flash_8k_L28,flash,8k,28,2051,512,0.639,8.30875,4.4352,1.87336534992785,7.12155,3.8895999999999997,True
flash_8k_L30,flash,8k,30,2051,512,0.492,8.5456,4.4032,1.9407703488372094,7.3535,3.8592,True
flash_8k_L32,flash,8k,32,2051,512,0.309,7.951899999999999,4.231949999999999,1.8790155838325122,6.76795,3.79515,True
flash_8k_L34,flash,8k,34,2051,512,0.611,7.95515,4.2271,1.8819403373471173,6.80945,3.7759,True
flash_8k_L36,flash,8k,36,2051,512,0.865,8.3072,4.4959,1.847727929891679,7.21275,3.9568000000000003,True
flash_8k_L38,flash,8k,38,2051,512,0.51,8.351899999999999,4.3199499999999995,1.9333325617194643,7.182300000000001,3.77435,True
flash_8k_L40,flash,8k,40,2051,512,0.529,8.3871,4.424,1.8958182640144665,7.166300000000001,3.84,True
