uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.811,12.399799999999999,1.5976870594687012,17.2285,11.5933,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.7808,12.3695,1.5183152108007598,16.2334,11.5151,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.795,12.395100000000001,1.5163249993949222,16.31505,11.5632,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,19.59805,12.331,1.589331765469143,17.049400000000002,11.526200000000001,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.871599999999997,12.5679,1.5015714638085915,16.26695,11.7102,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,19.247700000000002,12.505450000000002,1.5391449328092952,16.67185,11.668700000000001,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,19.228450000000002,12.4382,1.5459190236529403,16.678099999999997,11.703700000000001,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.6255,14.024,1.3994224187107815,17.14065,13.2815,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.9711,12.5471,1.511990818595532,16.4239,11.79495,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,20.0493,12.332600000000001,1.625715583088724,17.8782,11.623850000000001,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.250799999999998,12.431799999999999,1.4680738107112405,16.16615,11.64945,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.0895,12.53425,1.6027684145441492,17.939,11.7872,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.35335,12.441450000000001,1.5555542159474978,17.08765,11.735850000000001,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.8157,12.467049999999999,1.5092343417247867,16.550099999999997,11.68625,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.2031,12.459100000000001,1.541291104493904,16.980700000000002,11.73115,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.343700000000002,12.451049999999999,1.7945233534521188,20.209400000000002,11.69265,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.5774,12.38715,1.580460396459234,17.37425,11.6158,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.40315,12.46235,1.4766998198574104,16.15815,11.7088,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.43675,12.5215,1.5522700954358504,17.08455,11.7231,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.763099999999998,12.220450000000001,1.5353853581496586,16.321450000000002,11.395,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.676599999999997,12.3758,1.5091226425766413,16.3215,11.526299999999999,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.19665,9.79185,1.2455919974264311,10.35985,8.993450000000001,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.8735,9.7248,1.2209505593945376,9.95345,8.93745,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.36465,9.64315,1.2822210584715574,10.601600000000001,8.8735,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.812700000000001,9.68465,1.2197343218391994,9.993450000000001,9.07185,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.754950000000001,9.7053,1.3142252171493929,10.94055,9.0895,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.811,9.57105,1.3385156278569228,10.943950000000001,8.899049999999999,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.1565,9.865450000000001,1.2322296499399417,10.3711,9.2127,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.41415,9.81915,1.264279494660943,10.539,9.18065,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.48785,9.75985,1.2795124925075692,10.803049999999999,9.0735,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.69885,9.77905,1.1963176382163911,10.1087,9.20945,True
flash_128k_L22,flash,128k,22,32771,512,0.701,11.63665,9.7471,1.1938576602271445,10.007850000000001,9.21115,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.4527,9.67665,1.2868813070639116,10.940700000000001,9.1023,True
