uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.01755,14.42385,1.3184794628341254,17.0669,13.8382,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,17.899,13.6543,1.3108691035058555,16.22385,12.983799999999999,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.44775,13.9007,1.327109426144007,16.2815,13.2222,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.59195,13.82705,1.3446071287801808,16.83825,13.204600000000001,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.283,15.3886,1.1880872853930833,16.28285,14.76465,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.5534,16.0958,1.1526857938095652,16.675150000000002,15.443,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.361349999999998,17.4574,1.0517803338412364,16.4238,16.831799999999998,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.17245,15.83025,1.211127430078489,17.16305,15.2605,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.3934,17.08295,1.0767109896124498,16.3997,16.5104,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.56465,14.742149999999999,1.3271232486441937,17.6846,14.1422,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.11495,16.9438,1.0691196779943106,16.08155,16.2717,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.7165,15.28305,1.2900893473488604,17.94065,14.6366,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,18.7566,14.0558,1.3344384524537913,16.8733,13.4687,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.457549999999998,13.819,1.3356646645922279,16.5485,13.1983,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.67005,14.69265,1.2707067819624098,16.934150000000002,14.1199,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.82555,15.995049999999999,1.3645190230727633,19.9342,15.4208,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.11015,14.00145,1.3648693528170297,17.3277,13.443,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,17.8622,14.619,1.22184827963609,16.132649999999998,14.028649999999999,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.932650000000002,13.902299999999999,1.36183581134057,16.82385,13.211,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.06535,17.4493,1.0353051411804484,16.281399999999998,16.90225,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.4829,14.7166,1.2559218841308455,16.28635,14.0223,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.34065,11.299100000000001,1.092179908134276,10.5375,10.69905,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.7661,11.5215,1.0212298745823027,9.9246,10.9231,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.3935,11.27185,1.0995089537209952,10.5983,10.6799,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.7135,11.275049999999998,1.0388867455133237,9.89425,10.7694,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.8751,12.265450000000001,1.0497046582065883,11.2287,11.71345,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.31025,12.3887,0.9936676164569325,10.627049999999999,11.85905,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.383899999999999,11.52945,1.0741102134100065,10.622200000000001,11.009450000000001,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.078299999999999,11.479899999999999,1.0521258895983414,10.5246,10.972700000000001,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.3902,11.4094,1.08596420495381,10.7711,10.8479,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.7279,11.383899999999999,1.03021811505723,10.043,10.84475,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.12305,11.350200000000001,1.0680913111663228,10.34865,10.828700000000001,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.11825,11.543899999999999,1.049753549493672,10.587,10.9791,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.9103,12.33415,0.9656360592339156,10.29585,11.8062,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.531049999999999,11.50225,1.1763828816101196,11.851,10.990200000000002,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.108649999999999,11.235100000000001,1.0777518669170723,10.28315,10.703899999999999,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.7582,12.29115,1.037998885376877,11.15175,11.79505,True
flash_128k_L34,flash,128k,34,32771,512,0.688,11.96945,11.367899999999999,1.052916545712049,10.339049999999999,10.8079,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.1999,11.36625,1.1613240954580446,11.51815,10.8431,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.172649999999999,11.41105,1.0667423243259821,10.398299999999999,10.895850000000001,True
flash_128k_L40,flash,128k,40,32771,512,0.832,11.8175,11.43825,1.0331562957620266,10.235149999999999,10.995049999999999,True
flash_128k_L42,flash,128k,42,32771,512,0.863,16.59825,11.444600000000001,1.4503128112821766,13.6591,10.87505,True
flash_16k_L02,flash,16k,2,4099,512,0.762,9.0575,9.334200000000001,0.9703563240556232,7.1215,8.395100000000001,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.143799999999999,9.447899999999999,0.9678129531430265,7.33115,8.487950000000001,True
flash_16k_L06,flash,16k,6,4099,512,0.748,8.74235,9.6815,0.9029954036048133,7.2399,8.484549999999999,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.94225,9.58875,0.9325772389518968,7.4607,8.460799999999999,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.822299999999998,9.2367,0.9551354921129839,7.1903500000000005,8.3344,True
