uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,19.427049999999998,17.5582,1.1064374480299801,17.1211,16.2094,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.35025,17.3421,1.0581330980677082,16.2286,16.0494,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.7662,17.123,1.095964492203469,16.4782,15.735850000000001,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.9999,17.55335,1.082408770975341,16.9247,16.2238,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.67655,17.77255,1.050864957476558,16.38375,16.4222,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,19.02225,17.6142,1.07993834519876,16.70845,16.27335,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.803,17.715,1.0614168783516795,16.57105,16.2062,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.546950000000002,18.09095,1.080482230065309,17.171,16.657349999999997,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,18.695700000000002,17.2685,1.082647595332542,16.550150000000002,15.76465,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.9949,17.31175,1.1549901078747093,17.699,15.900549999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.53265,17.3614,1.0674628774177197,16.22865,15.91985,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,20.12455,17.88945,1.1249395593492253,17.979,16.406200000000002,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.1725,17.7054,1.082861725801168,17.011,16.26225,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.939,17.215799999999998,1.1000940996061759,16.5807,15.899049999999999,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,19.15675,17.4142,1.100064889572877,17.12455,16.0174,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,22.2956,17.73255,1.2573262164776076,20.0126,16.3694,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,19.5535,17.5454,1.1144516511450293,17.4623,16.153299999999998,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.354950000000002,17.5262,1.0472863484383381,16.1566,16.0974,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,19.40925,17.6222,1.1014090181702625,17.01565,16.155,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.446150000000003,17.46065,1.056441197779006,16.38535,16.0318,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.92765,17.8446,1.0606934310659808,16.438200000000002,16.37255,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.51195,24.924400000000002,0.501996036012903,10.5549,22.1197,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.7902,23.11645,0.510035061611969,9.9184,20.0541,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.38865,23.93085,0.517685330859539,10.561350000000001,21.1773,True
flash_128k_L08,flash,128k,8,32771,512,0.742,11.72295,23.2686,0.5038098553415333,9.9167,20.6525,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.8206,24.88935,0.5151038496385,11.23185,22.3597,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.3294,24.094,0.5117207603552751,10.6287,21.47645,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.23185,25.0781,0.4877502681622611,10.58225,22.593349999999997,True
flash_128k_L16,flash,128k,16,32771,512,0.564,12.131,23.80445,0.5096105980184378,10.53585,21.44135,True
flash_128k_L18,flash,128k,18,32771,512,0.637,12.38865,24.626900000000003,0.5030535715010821,10.7391,22.145349999999997,True
flash_128k_L20,flash,128k,20,32771,512,0.785,11.64465,24.961299999999998,0.466508154623357,10.028649999999999,22.450950000000002,True
flash_128k_L22,flash,128k,22,32771,512,0.701,12.0206,24.5117,0.4904025424593153,10.316799999999999,21.838099999999997,True
flash_128k_L24,flash,128k,24,32771,512,0.609,12.2158,24.1356,0.5061320207494323,10.58865,21.794900000000002,True
flash_128k_L26,flash,128k,26,32771,512,0.744,11.883049999999999,23.9949,0.4952323202013761,10.27195,21.428549999999998,True
flash_128k_L28,flash,128k,28,32771,512,0.855,13.58705,24.80775,0.5476937650532596,11.847850000000001,22.09735,True
flash_128k_L30,flash,128k,30,32771,512,0.777,12.0159,23.6845,0.5073317992780089,10.2702,21.17895,True
flash_128k_L32,flash,128k,32,32771,512,0.475,12.7055,23.79325,0.5339959862566064,11.155,21.435,True
flash_128k_L34,flash,128k,34,32771,512,0.688,12.01745,23.906950000000002,0.5026760000752919,10.328,21.305349999999997,True
flash_128k_L36,flash,128k,36,32771,512,0.898,13.227049999999998,24.0765,0.5493759475006749,11.51515,21.3277,True
flash_128k_L38,flash,128k,38,32771,512,0.727,12.207799999999999,24.740650000000002,0.4934308516550696,10.364450000000001,22.1614,True
flash_128k_L40,flash,128k,40,32771,512,0.832,11.7904,24.558049999999998,0.4801032655280041,10.2272,21.9117,True
flash_128k_L42,flash,128k,42,32771,512,0.863,15.92465,23.80455,0.6689750488877126,13.657399999999999,20.9294,True
flash_16k_L02,flash,16k,2,4099,512,0.762,8.991850000000001,13.8126,0.6509889521161839,7.1135,11.751850000000001,True
flash_16k_L04,flash,16k,4,4099,512,0.861,9.062299999999999,13.73575,0.659760115028302,7.3247,11.9246,True
flash_16k_L06,flash,16k,6,4099,512,0.748,8.732700000000001,13.758299999999998,0.6347223130764703,7.24315,11.8206,True
flash_16k_L08,flash,16k,8,4099,512,0.633,8.9486,13.715,0.6524681006197595,7.4703,11.83835,True
flash_16k_L10,flash,16k,10,4099,512,0.648,8.87345,13.635,0.6507847451411808,7.1936,12.075,True
flash_16k_L12,flash,16k,12,4099,512,0.406,8.939,13.72795,0.6511533040257286,7.3567,11.771049999999999,True
flash_16k_L14,flash,16k,14,4099,512,0.492,8.70075,12.635,0.6886228729719034,7.5279,11.75345,True
flash_16k_L16,flash,16k,16,4099,512,0.359,9.107,13.250950000000001,0.6872714786487005,7.53595,11.9022,True
flash_16k_L18,flash,16k,18,4099,512,0.439,9.604700000000001,13.95185,0.6884176650408369,8.0959,12.09745,True
flash_16k_L20,flash,16k,20,4099,512,0.33,8.83985,13.507100000000001,0.6544595064817762,7.3439499999999995,11.90385,True
flash_16k_L22,flash,16k,22,4099,512,0.344,8.5647,13.123,0.6526480225558181,7.14705,11.6975,True
flash_16k_L24,flash,16k,24,4099,512,0.266,9.11025,13.336,0.683132123575285,7.94545,11.95665,True
flash_16k_L26,flash,16k,26,4099,512,0.346,8.7951,13.3775,0.6574546813679686,7.28955,11.6366,True
flash_16k_L28,flash,16k,28,4099,512,0.627,9.0015,13.61095,0.6613425220135258,7.4766,11.987,True
flash_16k_L30,flash,16k,30,4099,512,0.545,8.950299999999999,13.255799999999999,0.6751987809109974,7.5167,11.804649999999999,True
flash_16k_L32,flash,16k,32,4099,512,0.303,9.007950000000001,13.65595,0.6596355434810468,7.51355,11.9951,True
flash_16k_L34,flash,16k,34,4099,512,0.348,8.69745,12.995,0.6692920353982301,7.20155,11.4222,True
flash_16k_L36,flash,16k,36,4099,512,0.916,10.23035,13.8334,0.7395398094467015,8.703899999999999,12.025450000000001,True
flash_16k_L38,flash,16k,38,4099,512,0.508,8.927850000000001,13.4958,0.6615280309429602,7.52795,12.041450000000001,True
flash_16k_L40,flash,16k,40,4099,512,0.605,8.93595,13.03175,0.6857060640359123,7.4399,11.734200000000001,True
flash_16k_L42,flash,16k,42,4099,512,0.824,8.59985,13.41745,0.6409451870511907,7.02865,11.61415,True
flash_256k_L02,flash,256k,2,65538,512,0.303,13.9903,16.734150000000003,0.8360329027766571,12.1823,15.3901,True
flash_256k_L04,flash,256k,4,65538,512,0.184,15.3935,17.1918,0.8953978059307344,13.6942,16.034950000000002,True
flash_256k_L06,flash,256k,6,65538,512,0.303,13.1839,16.3934,0.8042199909719765,11.848,15.2286,True
flash_256k_L08,flash,256k,8,65538,512,0.158,15.064,16.7918,0.897104539120285,13.711799999999998,15.5342,True
flash_256k_L10,flash,256k,10,65538,512,0.193,14.411,16.6414,0.8659728147872173,12.803,15.28305,True
flash_256k_L12,flash,256k,12,65538,512,0.156,16.875049999999998,16.908549999999998,0.9980187538257272,15.23505,15.7774,True
flash_256k_L14,flash,256k,14,65538,512,0.182,14.7566,16.723,0.8824134425641333,13.3949,15.5966,True
flash_256k_L16,flash,256k,16,65538,512,0.266,13.65595,17.202900000000003,0.79381674020078,12.350299999999999,15.967799999999999,True
flash_256k_L18,flash,256k,18,65538,512,0.312,13.1309,16.83175,0.7801268436140033,11.569600000000001,15.5086,True
flash_256k_L20,flash,256k,20,65538,512,0.6,13.67665,17.5854,0.7777275467148885,12.09595,16.3854,True
flash_256k_L22,flash,256k,22,65538,512,0.279,13.49105,16.803,0.8028953163125632,12.212549999999998,15.61265,True
flash_256k_L24,flash,256k,24,65538,512,0.111,19.2031,16.895799999999998,1.1365605653476012,17.969450000000002,15.6526,True
flash_256k_L26,flash,256k,26,65538,512,0.486,14.87665,16.779,0.8866231599022588,13.267149999999999,15.5342,True
flash_256k_L28,flash,256k,28,65538,512,0.484,15.9566,17.311799999999998,0.9217181344516457,14.38215,16.16625,True
flash_256k_L30,flash,256k,30,65538,512,0.471,14.2911,16.945400000000003,0.843361620262726,12.94225,15.7005,True
flash_256k_L32,flash,256k,32,65538,512,0.402,16.6767,17.4174,0.9574735609218368,15.430200000000001,16.21255,True
flash_256k_L34,flash,256k,34,65538,512,0.631,13.403049999999999,16.940549999999998,0.7911815141775208,11.815850000000001,15.7374,True
flash_256k_L36,flash,256k,36,65538,512,0.762,13.2654,17.451,0.760151280728898,11.5853,16.29895,True
flash_256k_L38,flash,256k,38,65538,512,0.453,14.5838,16.86705,0.8646325231738805,13.2879,15.66375,True
flash_256k_L40,flash,256k,40,65538,512,0.25,13.63835,17.113349999999997,0.7969421533481174,12.25585,15.8286,True
flash_256k_L42,flash,256k,42,65538,512,0.617,13.50225,16.4606,0.8202769036365625,11.86225,15.25585,True
flash_32k_L02,flash,32k,2,8195,512,0.809,9.3551,20.39965,0.4585912013196305,7.6175,17.484650000000002,True
flash_32k_L04,flash,32k,4,8195,512,0.775,8.95665,19.7965,0.45243603667314924,7.422350000000001,17.23815,True
flash_32k_L06,flash,32k,6,8195,512,0.859,10.7311,19.606099999999998,0.5473347580599915,9.1806,16.4414,True
flash_32k_L08,flash,32k,8,8195,512,0.76,8.8687,20.7213,0.42799920854386553,7.4911,17.8782,True
flash_32k_L10,flash,32k,10,8195,512,0.723,9.030299999999999,20.77255,0.4347227470869007,7.7103,18.07815,True
flash_32k_L12,flash,32k,12,8195,512,0.631,9.151950000000001,20.140549999999998,0.454404174662559,7.70865,17.39825,True
flash_32k_L14,flash,32k,14,8195,512,0.688,9.29915,20.294,0.45822164186459047,7.7759,18.009349999999998,True
flash_32k_L16,flash,32k,16,8195,512,0.59,9.303799999999999,20.4237,0.45553939785641184,7.83515,17.748549999999998,True
flash_32k_L18,flash,32k,18,8195,512,0.713,9.259049999999998,21.01745,0.4405410742026268,7.70875,18.2174,True
flash_32k_L20,flash,32k,20,8195,512,0.795,8.897450000000001,20.4301,0.435506923607814,7.39355,17.9165,True
