uuid,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L02,flash,1024k,2,262127,512,0.514,20.8125,10.435049999999999,1.9944801414463758,18.3277,9.622200000000001,True
flash_1024k_L04,flash,1024k,4,262127,512,0.703,18.54375,10.7998,1.7170456860312229,16.3582,9.48955,True
flash_1024k_L06,flash,1024k,6,262127,512,0.684,18.4655,10.734350000000001,1.7202252581665398,16.26545,9.881450000000001,True
flash_1024k_L08,flash,1024k,8,262127,512,0.627,18.971,10.59985,1.7897423076741652,16.7484,9.66865,True
flash_1024k_L10,flash,1024k,10,262127,512,0.385,18.59975,10.47515,1.775607031880212,16.943849999999998,9.29915,True
flash_1024k_L12,flash,1024k,12,262127,512,0.285,18.526,10.57745,1.7514618362648842,16.5503,9.402899999999999,True
flash_1024k_L14,flash,1024k,14,262127,512,0.357,18.326349999999998,13.479899999999999,1.3595315988991017,16.31655,12.380700000000001,True
flash_1024k_L16,flash,1024k,16,262127,512,0.262,19.33905,10.9919,1.7593910061044953,17.418950000000002,9.60475,True
flash_1024k_L18,flash,1024k,18,262127,512,0.312,25.199650000000002,10.8399,2.324712405095988,17.8238,9.76625,True
flash_1024k_L20,flash,1024k,20,262127,512,0.566,19.79815,10.8431,1.8258754415250251,17.790200000000002,9.627049999999999,True
flash_1024k_L22,flash,1024k,22,262127,512,0.422,18.0925,10.867,1.6649029170884329,16.05415,9.93905,True
flash_1024k_L24,flash,1024k,24,262127,512,0.488,19.817400000000003,10.446299999999999,1.8970736050084724,17.8462,9.5743,True
flash_1024k_L26,flash,1024k,26,262127,512,0.578,19.43505,10.9103,1.7813488171727634,17.51975,9.734350000000001,True
flash_1024k_L28,flash,1024k,28,262127,512,0.66,18.21905,10.53265,1.7297688615875395,16.4892,9.3392,True
flash_1024k_L30,flash,1024k,30,262127,512,0.514,18.559900000000003,13.72465,1.3523040660417571,16.84315,12.492799999999999,True
flash_1024k_L32,flash,1024k,32,262127,512,0.424,21.92445,10.46715,2.0945959501870135,20.175849999999997,9.25915,True
flash_1024k_L34,flash,1024k,34,262127,512,0.379,24.7291,10.699,2.3113468548462475,18.56305,9.5983,True
flash_1024k_L36,flash,1024k,36,262127,512,0.838,18.18685,10.87515,1.672330956354625,16.308600000000002,9.61915,True
flash_1024k_L38,flash,1024k,38,262127,512,0.619,18.4767,10.92475,1.6912698231080805,16.7967,9.79355,True
flash_1024k_L40,flash,1024k,40,262127,512,0.381,18.38855,10.859,1.6933925775854128,16.2223,9.7983,True
flash_1024k_L42,flash,1024k,42,262127,512,0.758,18.66545,13.2175,1.4121770380177796,17.02065,12.25425,True
flash_128k_L02,flash,128k,2,32771,512,0.604,12.23325,9.64,1.2690093360995849,10.31505,8.2719,True
flash_128k_L04,flash,128k,4,32771,512,0.805,11.82875,9.294049999999999,1.2727228710841885,9.963049999999999,8.0591,True
flash_128k_L06,flash,128k,6,32771,512,0.637,12.48145,9.5199,1.311090452630805,10.55975,8.695799999999998,True
flash_128k_L08,flash,128k,8,32771,512,0.742,12.124600000000001,9.491,1.277483932146244,10.3759,8.58235,True
flash_128k_L10,flash,128k,10,32771,512,0.523,12.929350000000001,9.934299999999999,1.3014857614527449,11.063799999999999,8.68945,True
flash_128k_L12,flash,128k,12,32771,512,0.49,12.836649999999999,9.591899999999999,1.338280215598578,10.90715,8.13435,True
flash_128k_L14,flash,128k,14,32771,512,0.578,12.816,9.3423,1.3718249253395847,10.9327,8.41115,True
flash_128k_L16,flash,128k,16,32771,512,0.564,13.05105,9.55665,1.3656511434446172,11.2654,8.5166,True
