cell_id,uuid,model,isl,layer,N,K,Npad,hit,n_mand,n_tie,file
0,flash_1024k_L10,flash,1024k,10,262127,512,262144,0.385,511,1,cell_flash_1024k_L10.safetensors
1,flash_1024k_L22,flash,1024k,22,262127,512,262144,0.422,511,1,cell_flash_1024k_L22.safetensors
2,flash_1024k_L34,flash,1024k,34,262127,512,262144,0.379,511,1,cell_flash_1024k_L34.safetensors
3,flash_128k_L10,flash,128k,10,32771,512,32832,0.523,511,1,cell_flash_128k_L10.safetensors
4,flash_128k_L22,flash,128k,22,32771,512,32832,0.701,511,1,cell_flash_128k_L22.safetensors
5,flash_128k_L34,flash,128k,34,32771,512,32832,0.688,511,1,cell_flash_128k_L34.safetensors
6,flash_16k_L10,flash,16k,10,4099,512,4160,0.648,511,1,cell_flash_16k_L10.safetensors
7,flash_16k_L22,flash,16k,22,4099,512,4160,0.344,511,1,cell_flash_16k_L22.safetensors
8,flash_16k_L34,flash,16k,34,4099,512,4160,0.348,511,1,cell_flash_16k_L34.safetensors
9,flash_256k_L10,flash,256k,10,65538,512,65600,0.193,511,1,cell_flash_256k_L10.safetensors
10,flash_256k_L22,flash,256k,22,65538,512,65600,0.279,511,1,cell_flash_256k_L22.safetensors
11,flash_256k_L34,flash,256k,34,65538,512,65600,0.631,511,1,cell_flash_256k_L34.safetensors
12,flash_32k_L10,flash,32k,10,8195,512,8256,0.723,511,1,cell_flash_32k_L10.safetensors
13,flash_32k_L22,flash,32k,22,8195,512,8256,0.686,511,1,cell_flash_32k_L22.safetensors
14,flash_32k_L34,flash,32k,34,8195,512,8256,0.67,511,1,cell_flash_32k_L34.safetensors
15,flash_4k_L10,flash,4k,10,1027,512,1088,0.846,511,1,cell_flash_4k_L10.safetensors
16,flash_4k_L22,flash,4k,22,1027,512,1088,0.639,511,1,cell_flash_4k_L22.safetensors
17,flash_4k_L34,flash,4k,34,1027,512,1088,0.695,511,1,cell_flash_4k_L34.safetensors
18,flash_512k_L10,flash,512k,10,131075,512,131136,0.455,511,1,cell_flash_512k_L10.safetensors
19,flash_512k_L22,flash,512k,22,131075,512,131136,0.057,511,1,cell_flash_512k_L22.safetensors
20,flash_512k_L34,flash,512k,34,131075,512,131136,0.283,511,1,cell_flash_512k_L34.safetensors
21,flash_64k_L10,flash,64k,10,16387,512,16448,0.582,511,1,cell_flash_64k_L10.safetensors
22,flash_64k_L22,flash,64k,22,16387,512,16448,0.076,511,1,cell_flash_64k_L22.safetensors
23,flash_64k_L34,flash,64k,34,16387,512,16448,0.145,511,1,cell_flash_64k_L34.safetensors
