cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L10_bs1024,flash_1024k_L10,1024,flash,1024k,10,262127,512,0.385,374.0436666666667,742.8690666666666,0.5035122384958642,361.2308,727.729,True
flash_1024k_L10_bs128,flash_1024k_L10,128,flash,1024k,10,262127,512,0.385,62.86213333333333,124.62953333333334,0.5043919499016551,53.1545,114.1778,True
flash_1024k_L10_bs16,flash_1024k_L10,16,flash,1024k,10,262127,512,0.385,21.742866666666664,34.64913333333333,0.6275154549320137,18.8,31.3628,True
flash_1024k_L10_bs2,flash_1024k_L10,2,flash,1024k,10,262127,512,0.385,18.6986,16.622733333333333,1.124881186808427,16.374299999999998,15.951799999999999,True
flash_1024k_L10_bs256,flash_1024k_L10,256,flash,1024k,10,262127,512,0.385,108.29106666666667,199.19979999999998,0.5436303985579638,93.71719999999999,187.50179999999997,True
flash_1024k_L10_bs32,flash_1024k_L10,32,flash,1024k,10,262127,512,0.385,24.889066666666665,31.598466666666667,0.7876669121075495,19.6159,26.7387,True
flash_1024k_L10_bs4,flash_1024k_L10,4,flash,1024k,10,262127,512,0.385,19.474933333333333,17.0622,1.1414081029019312,16.8957,16.0095,True
flash_1024k_L10_bs512,flash_1024k_L10,512,flash,1024k,10,262127,512,0.385,197.45479999999998,382.02,0.5168703209256059,183.6779,369.5604,True
flash_1024k_L10_bs64,flash_1024k_L10,64,flash,1024k,10,262127,512,0.385,36.9084,55.31453333333333,0.6672459799594561,24.6525,44.9561,True
flash_1024k_L10_bs8,flash_1024k_L10,8,flash,1024k,10,262127,512,0.385,20.861666666666668,26.8156,0.7779675512264006,18.6975,24.8158,True
flash_1024k_L22_bs1024,flash_1024k_L22,1024,flash,1024k,22,262127,512,0.422,372.8618,734.3614666666667,0.5077360631304002,359.8071,719.4186,True
flash_1024k_L22_bs128,flash_1024k_L22,128,flash,1024k,22,262127,512,0.422,62.4694,123.0706,0.5075899524338063,52.9016,112.5107,True
flash_1024k_L22_bs16,flash_1024k_L22,16,flash,1024k,22,262127,512,0.422,21.657400000000003,32.501,0.6663610350450757,18.7389,29.3883,True
flash_1024k_L22_bs2,flash_1024k_L22,2,flash,1024k,22,262127,512,0.422,18.593933333333336,18.517133333333334,1.0041475102337656,16.275100000000002,17.8398,True
flash_1024k_L22_bs256,flash_1024k_L22,256,flash,1024k,22,262127,512,0.422,107.7342,196.96826666666666,0.5469622179410287,93.7333,185.5721,True
flash_1024k_L22_bs32,flash_1024k_L22,32,flash,1024k,22,262127,512,0.422,24.827466666666666,29.9584,0.8287313964252652,19.5358,25.0107,True
flash_1024k_L22_bs4,flash_1024k_L22,4,flash,1024k,22,262127,512,0.422,18.832533333333334,18.963,0.9931199353126263,16.758200000000002,17.897299999999998,True
flash_1024k_L22_bs512,flash_1024k_L22,512,flash,1024k,22,262127,512,0.422,197.00039999999998,378.55713333333335,0.5203980658489771,183.0698,365.52209999999997,True
flash_1024k_L22_bs64,flash_1024k_L22,64,flash,1024k,22,262127,512,0.422,36.58813333333333,50.796533333333336,0.7202879986560762,24.4765,40.636300000000006,True
flash_1024k_L22_bs8,flash_1024k_L22,8,flash,1024k,22,262127,512,0.422,20.7912,29.3564,0.7082339796432805,18.6459,27.3884,True
flash_1024k_L34_bs1024,flash_1024k_L34,1024,flash,1024k,34,262127,512,0.379,379.52206666666666,742.8946666666666,0.5108692842951267,366.4308,727.1755,True
flash_1024k_L34_bs128,flash_1024k_L34,128,flash,1024k,34,262127,512,0.379,63.5726,124.50006666666667,0.5106230197467096,54.0184,113.8356,True
flash_1024k_L34_bs16,flash_1024k_L34,16,flash,1024k,34,262127,512,0.379,22.741133333333334,34.105133333333335,0.6667950279234602,19.804299999999998,30.7707,True
flash_1024k_L34_bs2,flash_1024k_L34,2,flash,1024k,34,262127,512,0.379,19.6628,14.862666666666666,1.3229658204001078,17.574099999999998,14.1664,True
flash_1024k_L34_bs256,flash_1024k_L34,256,flash,1024k,34,262127,512,0.379,109.4388,198.9758,0.5500106043046441,94.62939999999999,187.04420000000002,True
flash_1024k_L34_bs32,flash_1024k_L34,32,flash,1024k,34,262127,512,0.379,25.761733333333332,31.40233333333333,0.8203764051503604,20.5341,26.5886,True
flash_1024k_L34_bs4,flash_1024k_L34,4,flash,1024k,34,262127,512,0.379,20.270599999999998,15.376933333333332,1.3182472447908988,17.983700000000002,14.242899999999999,True
flash_1024k_L34_bs512,flash_1024k_L34,512,flash,1024k,34,262127,512,0.379,200.228,381.88753333333335,0.5243114334010729,186.61860000000001,369.5572,True
flash_1024k_L34_bs64,flash_1024k_L34,64,flash,1024k,34,262127,512,0.379,37.88773333333333,52.4602,0.7222186216090165,25.8876,42.165800000000004,True
flash_1024k_L34_bs8,flash_1024k_L34,8,flash,1024k,34,262127,512,0.379,21.781133333333337,24.8168,0.8776769500231028,19.715,22.722900000000003,True
flash_128k_L10_bs1024,flash_128k_L10,1024,flash,128k,10,32771,512,0.523,67.82860000000001,92.351,0.7344652467217465,61.151300000000006,84.0534,True
flash_128k_L10_bs128,flash_128k_L10,128,flash,128k,10,32771,512,0.523,15.332066666666668,21.480266666666665,0.7137745031098311,11.9423,18.0671,True
flash_128k_L10_bs16,flash_128k_L10,16,flash,128k,10,32771,512,0.523,13.446266666666666,12.932133333333333,1.0397562660453032,11.494200000000001,12.1919,True
flash_128k_L10_bs2,flash_128k_L10,2,flash,128k,10,32771,512,0.523,12.614333333333335,12.9086,0.9772038279389968,10.9279,12.2783,True
flash_128k_L10_bs256,flash_128k_L10,256,flash,128k,10,32771,512,0.523,20.840333333333334,26.04553333333333,0.8001499937289313,16.310200000000002,21.2061,True
flash_128k_L10_bs32,flash_128k_L10,32,flash,128k,10,32771,512,0.523,13.738333333333333,13.781266666666667,0.9968846598522632,11.4366,12.7711,True
flash_128k_L10_bs4,flash_128k_L10,4,flash,128k,10,32771,512,0.523,12.8788,13.292666666666666,0.9688650383670195,11.1934,12.7551,True
flash_128k_L10_bs512,flash_128k_L10,512,flash,128k,10,32771,512,0.523,39.06673333333333,49.58886666666667,0.7878125869650848,30.2909,40.1404,True
flash_128k_L10_bs64,flash_128k_L10,64,flash,128k,10,32771,512,0.523,14.416799999999999,17.75766666666667,0.8118634204944342,11.6607,14.867,True
flash_128k_L10_bs8,flash_128k_L10,8,flash,128k,10,32771,512,0.523,12.7784,13.444,0.9504909253198451,10.953299999999999,12.7774,True
flash_128k_L22_bs1024,flash_128k_L22,1024,flash,128k,22,32771,512,0.701,63.7966,95.46553333333334,0.6682684082143433,57.4168,87.6182,True
flash_128k_L22_bs128,flash_128k_L22,128,flash,128k,22,32771,512,0.701,14.421266666666666,22.180066666666665,0.6501904112100655,11.0816,18.9438,True
flash_128k_L22_bs16,flash_128k_L22,16,flash,128k,22,32771,512,0.701,12.514066666666668,11.920933333333332,1.049755611976691,10.5535,11.315100000000001,True
