cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L10_bs1024,flash_1024k_L10,1024,flash,1024k,10,262127,512,0.385,374.31213333333335,747.0114666666667,0.5010795015016279,361.8132,733.0116999999999,True
flash_1024k_L10_bs128,flash_1024k_L10,128,flash,1024k,10,262127,512,0.385,62.94533333333334,124.60853333333334,0.5051446449895353,53.2248,114.40169999999999,True
flash_1024k_L10_bs16,flash_1024k_L10,16,flash,1024k,10,262127,512,0.385,21.680799999999998,37.038333333333334,0.5853611123610672,18.770799999999998,33.5132,True
flash_1024k_L10_bs2,flash_1024k_L10,2,flash,1024k,10,262127,512,0.385,18.8242,16.4626,1.14345243157217,16.5053,15.763,True
flash_1024k_L10_bs256,flash_1024k_L10,256,flash,1024k,10,262127,512,0.385,107.79406666666667,199.72686666666667,0.5397073937307049,93.5989,188.3819,True
flash_1024k_L10_bs32,flash_1024k_L10,32,flash,1024k,10,262127,512,0.385,24.703933333333335,33.47373333333333,0.7380095039692816,19.529400000000003,29.7755,True
flash_1024k_L10_bs4,flash_1024k_L10,4,flash,1024k,10,262127,512,0.385,19.381066666666666,16.9812,1.1413249161818166,16.822200000000002,15.795,True
flash_1024k_L10_bs512,flash_1024k_L10,512,flash,1024k,10,262127,512,0.385,197.77473333333333,385.03459999999995,0.5136544438690273,184.15470000000002,372.1332,True
flash_1024k_L10_bs64,flash_1024k_L10,64,flash,1024k,10,262127,512,0.385,36.90626666666667,55.147800000000004,0.6692246411763781,24.6683,44.63,True
flash_1024k_L10_bs8,flash_1024k_L10,8,flash,1024k,10,262127,512,0.385,21.15833333333333,26.689866666666664,0.792747809405817,18.7551,24.5182,True
flash_1024k_L22_bs1024,flash_1024k_L22,1024,flash,1024k,22,262127,512,0.422,372.365,738.8354666666667,0.5039890703676742,359.18,724.891,True
flash_1024k_L22_bs128,flash_1024k_L22,128,flash,1024k,22,262127,512,0.422,62.32473333333333,122.5202,0.5086894514809258,53.0009,112.498,True
flash_1024k_L22_bs16,flash_1024k_L22,16,flash,1024k,22,262127,512,0.422,21.548599999999997,40.40073333333333,0.5333715064578035,18.72,36.79,True
flash_1024k_L22_bs2,flash_1024k_L22,2,flash,1024k,22,262127,512,0.422,18.372066666666665,18.416866666666664,0.9975674472313424,16.2974,17.715,True
flash_1024k_L22_bs256,flash_1024k_L22,256,flash,1024k,22,262127,512,0.422,107.508,198.52786666666668,0.5415259923208093,93.14460000000001,186.5676,True
flash_1024k_L22_bs32,flash_1024k_L22,32,flash,1024k,22,262127,512,0.422,24.787,31.767133333333334,0.7802718532991121,19.5006,28.0507,True
flash_1024k_L22_bs4,flash_1024k_L22,4,flash,1024k,22,262127,512,0.422,19.163400000000003,18.760266666666666,1.021488678199315,16.8478,17.683,True
flash_1024k_L22_bs512,flash_1024k_L22,512,flash,1024k,22,262127,512,0.422,196.91713333333334,381.22193333333337,0.5165419828065156,182.6058,368.85940000000005,True
flash_1024k_L22_bs64,flash_1024k_L22,64,flash,1024k,22,262127,512,0.422,36.30886666666667,50.24786666666667,0.7225951881207561,24.383599999999998,40.6685,True
flash_1024k_L22_bs8,flash_1024k_L22,8,flash,1024k,22,262127,512,0.422,20.82946666666667,29.2562,0.7119676057268773,18.626900000000003,27.1264,True
flash_1024k_L34_bs1024,flash_1024k_L34,1024,flash,1024k,34,262127,512,0.379,378.53433333333334,748.0021999999999,0.5060604545459002,366.2232,732.3756,True
flash_1024k_L34_bs128,flash_1024k_L34,128,flash,1024k,34,262127,512,0.379,63.66226666666667,124.54466666666667,0.5111601192610951,54.0474,113.8516,True
flash_1024k_L34_bs16,flash_1024k_L34,16,flash,1024k,34,262127,512,0.379,22.691933333333335,34.540333333333336,0.6569691471805907,19.8268,31.1483,True
flash_1024k_L34_bs2,flash_1024k_L34,2,flash,1024k,34,262127,512,0.379,19.797066666666666,14.4572,1.369356906362689,17.5133,13.7086,True
flash_1024k_L34_bs256,flash_1024k_L34,256,flash,1024k,34,262127,512,0.379,108.92673333333333,200.62446666666668,0.5429384319027888,94.6837,188.21220000000002,True
flash_1024k_L34_bs32,flash_1024k_L34,32,flash,1024k,34,262127,512,0.379,25.817133333333334,33.47593333333334,0.7712147433280425,20.5278,29.664,True
flash_1024k_L34_bs4,flash_1024k_L34,4,flash,1024k,34,262127,512,0.379,20.072266666666668,15.195533333333334,1.3209320282714658,17.9452,14.0317,True
flash_1024k_L34_bs512,flash_1024k_L34,512,flash,1024k,34,262127,512,0.379,200.09153333333333,384.74013333333335,0.5200693039215041,186.0556,372.8662,True
flash_1024k_L34_bs64,flash_1024k_L34,64,flash,1024k,34,262127,512,0.379,38.0136,51.90133333333333,0.7324204901608179,26.134400000000003,42.1755,True
flash_1024k_L34_bs8,flash_1024k_L34,8,flash,1024k,34,262127,512,0.379,21.847133333333336,24.522466666666666,0.8909027639960092,19.670099999999998,22.4222,True
flash_128k_L10_bs1024,flash_128k_L10,1024,flash,128k,10,32771,512,0.523,67.8328,92.7584,0.7312847138372375,61.3146,84.4182,True
flash_128k_L10_bs128,flash_128k_L10,128,flash,128k,10,32771,512,0.523,15.396066666666668,21.328933333333335,0.721839504397782,11.8816,18.3902,True
flash_128k_L10_bs16,flash_128k_L10,16,flash,128k,10,32771,512,0.523,13.271266666666666,15.187,0.8738570268431334,11.3344,14.3805,True
flash_128k_L10_bs2,flash_128k_L10,2,flash,128k,10,32771,512,0.523,12.9022,12.673933333333332,1.0180107201657997,10.9376,12.0543,True
flash_128k_L10_bs256,flash_128k_L10,256,flash,128k,10,32771,512,0.523,20.910666666666668,26.032799999999998,0.8032430882066727,16.2398,21.267,True
flash_128k_L10_bs32,flash_128k_L10,32,flash,128k,10,32771,512,0.523,13.623333333333333,16.061799999999998,0.8481822294719978,11.5135,14.982299999999999,True
flash_128k_L10_bs4,flash_128k_L10,4,flash,128k,10,32771,512,0.523,12.595133333333333,12.9728,0.9708878062818616,10.9312,12.396700000000001,True
