cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L10_bs1024,flash_1024k_L10,1024,flash,1024k,10,262127,512,0.385,374.3246,,,361.5665,,
flash_1024k_L10_bs128,flash_1024k_L10,128,flash,1024k,10,262127,512,0.385,62.785333333333334,,,53.1419,,
flash_1024k_L10_bs16,flash_1024k_L10,16,flash,1024k,10,262127,512,0.385,21.638133333333336,,,18.8477,,
flash_1024k_L10_bs2,flash_1024k_L10,2,flash,1024k,10,262127,512,0.385,18.753866666666664,,,16.5307,,
flash_1024k_L10_bs256,flash_1024k_L10,256,flash,1024k,10,262127,512,0.385,107.8472,,,93.6053,,
flash_1024k_L10_bs32,flash_1024k_L10,32,flash,1024k,10,262127,512,0.385,24.7912,,,19.5996,,
flash_1024k_L10_bs4,flash_1024k_L10,4,flash,1024k,10,262127,512,0.385,19.398066666666665,,,16.8287,,
flash_1024k_L10_bs512,flash_1024k_L10,512,flash,1024k,10,262127,512,0.385,197.73446666666666,,,184.3883,,
flash_1024k_L10_bs64,flash_1024k_L10,64,flash,1024k,10,262127,512,0.385,36.77393333333333,,,24.646099999999997,,
flash_1024k_L10_bs8,flash_1024k_L10,8,flash,1024k,10,262127,512,0.385,21.2222,,,18.751900000000003,,
flash_1024k_L22_bs1024,flash_1024k_L22,1024,flash,1024k,22,262127,512,0.422,371.7716,,,359.80670000000003,,
flash_1024k_L22_bs128,flash_1024k_L22,128,flash,1024k,22,262127,512,0.422,62.3288,,,52.924099999999996,,
flash_1024k_L22_bs16,flash_1024k_L22,16,flash,1024k,22,262127,512,0.422,21.727733333333333,,,18.815900000000003,,
flash_1024k_L22_bs2,flash_1024k_L22,2,flash,1024k,22,262127,512,0.422,18.235599999999998,,,16.2717,,
flash_1024k_L22_bs256,flash_1024k_L22,256,flash,1024k,22,262127,512,0.422,107.0834,,,93.3813,,
flash_1024k_L22_bs32,flash_1024k_L22,32,flash,1024k,22,262127,512,0.422,24.867933333333333,,,19.507099999999998,,
flash_1024k_L22_bs4,flash_1024k_L22,4,flash,1024k,22,262127,512,0.422,19.022599999999997,,,16.739,,
flash_1024k_L22_bs512,flash_1024k_L22,512,flash,1024k,22,262127,512,0.422,196.91686666666666,,,182.9639,,
flash_1024k_L22_bs64,flash_1024k_L22,64,flash,1024k,22,262127,512,0.422,36.611666666666665,,,24.3995,,
flash_1024k_L22_bs8,flash_1024k_L22,8,flash,1024k,22,262127,512,0.422,20.842533333333332,,,18.6173,,
flash_1024k_L34_bs1024,flash_1024k_L34,1024,flash,1024k,34,262127,512,0.379,378.55333333333334,,,365.7876,,
flash_1024k_L34_bs128,flash_1024k_L34,128,flash,1024k,34,262127,512,0.379,63.707,,,53.9384,,
flash_1024k_L34_bs16,flash_1024k_L34,16,flash,1024k,34,262127,512,0.379,22.73046666666667,,,19.7374,,
flash_1024k_L34_bs2,flash_1024k_L34,2,flash,1024k,34,262127,512,0.379,19.726599999999998,,,17.535700000000002,,
flash_1024k_L34_bs256,flash_1024k_L34,256,flash,1024k,34,262127,512,0.379,109.14406666666666,,,94.8117,,
flash_1024k_L34_bs32,flash_1024k_L34,32,flash,1024k,34,262127,512,0.379,25.8,,,20.5566,,
flash_1024k_L34_bs4,flash_1024k_L34,4,flash,1024k,34,262127,512,0.379,20.136133333333333,,,17.919900000000002,,
flash_1024k_L34_bs512,flash_1024k_L34,512,flash,1024k,34,262127,512,0.379,200.3086,,,186.27620000000002,,
flash_1024k_L34_bs64,flash_1024k_L34,64,flash,1024k,34,262127,512,0.379,37.857800000000005,,,25.9678,,
flash_1024k_L34_bs8,flash_1024k_L34,8,flash,1024k,34,262127,512,0.379,21.811,,,19.619,,
flash_128k_L10_bs1024,flash_128k_L10,1024,flash,128k,10,32771,512,0.523,67.86673333333334,,,61.567,,
flash_128k_L10_bs128,flash_128k_L10,128,flash,128k,10,32771,512,0.523,15.447466666666667,,,11.9101,,
flash_128k_L10_bs16,flash_128k_L10,16,flash,128k,10,32771,512,0.523,13.320533333333334,,,11.3086,,
flash_128k_L10_bs2,flash_128k_L10,2,flash,128k,10,32771,512,0.523,12.608,,,10.979,,
flash_128k_L10_bs256,flash_128k_L10,256,flash,128k,10,32771,512,0.523,20.834,,,16.2878,,
flash_128k_L10_bs32,flash_128k_L10,32,flash,128k,10,32771,512,0.523,13.674533333333333,,,11.4653,,
flash_128k_L10_bs4,flash_128k_L10,4,flash,128k,10,32771,512,0.523,12.701733333333333,,,10.934299999999999,,
flash_128k_L10_bs512,flash_128k_L10,512,flash,128k,10,32771,512,0.523,39.2614,,,30.278,,
flash_128k_L10_bs64,flash_128k_L10,64,flash,128k,10,32771,512,0.523,14.459533333333333,,,11.625399999999999,,
flash_128k_L10_bs8,flash_128k_L10,8,flash,128k,10,32771,512,0.523,13.273333333333333,,,11.251100000000001,,
flash_128k_L22_bs1024,flash_128k_L22,1024,flash,128k,22,32771,512,0.701,63.76246666666667,,,57.4553,,
flash_128k_L22_bs128,flash_128k_L22,128,flash,128k,22,32771,512,0.701,14.4468,,,11.0656,,
