cuuid,uuid,bs,model,isl,layer,N,K,hit,pr_cold,cand_cold,speedup_cold,pr_warm,cand_warm,cand_exact
flash_1024k_L10_bs1024,flash_1024k_L10,1024,flash,1024k,10,262127,512,0.385,374.16946666666666,1062.1161333333332,0.3522867744155034,361.66270000000003,1048.96,True
flash_1024k_L10_bs128,flash_1024k_L10,128,flash,1024k,10,262127,512,0.385,62.86853333333333,237.3496,0.2648773511029019,53.4266,228.17620000000002,True
flash_1024k_L10_bs16,flash_1024k_L10,16,flash,1024k,10,262127,512,0.385,21.5656,40.5114,0.5323341084238017,18.761400000000002,38.194900000000004,True
flash_1024k_L10_bs2,flash_1024k_L10,2,flash,1024k,10,262127,512,0.385,18.7348,19.2446,0.9735094520021201,16.4191,18.092599999999997,True
flash_1024k_L10_bs256,flash_1024k_L10,256,flash,1024k,10,262127,512,0.385,107.82166666666667,458.72093333333333,0.23504849862240138,93.6403,449.185,True
flash_1024k_L10_bs32,flash_1024k_L10,32,flash,1024k,10,262127,512,0.385,24.915066666666664,55.513,0.4488149922840896,19.5932,51.909699999999994,True
flash_1024k_L10_bs4,flash_1024k_L10,4,flash,1024k,10,262127,512,0.385,19.366266666666668,25.734,0.7525556332737494,16.8863,24.6493,True
flash_1024k_L10_bs512,flash_1024k_L10,512,flash,1024k,10,262127,512,0.385,197.555,580.4408000000001,0.34035340038122747,183.91479999999999,569.5033000000001,True
flash_1024k_L10_bs64,flash_1024k_L10,64,flash,1024k,10,262127,512,0.385,36.5458,94.45006666666667,0.3869324955479121,24.6107,86.9014,True
flash_1024k_L10_bs8,flash_1024k_L10,8,flash,1024k,10,262127,512,0.385,20.810466666666667,30.869333333333334,0.6741469419488597,18.7104,29.83,True
flash_1024k_L22_bs1024,flash_1024k_L22,1024,flash,1024k,22,262127,512,0.422,373.01079999999996,1040.8620666666666,0.3583671765410351,360.2772,1029.4627,True
flash_1024k_L22_bs128,flash_1024k_L22,128,flash,1024k,22,262127,512,0.422,62.58486666666667,231.6088,0.27021799977663485,52.8344,222.3875,True
flash_1024k_L22_bs16,flash_1024k_L22,16,flash,1024k,22,262127,512,0.422,21.721400000000003,39.525666666666666,0.5495517680494532,18.7583,38.0477,True
flash_1024k_L22_bs2,flash_1024k_L22,2,flash,1024k,22,262127,512,0.422,18.555466666666668,18.549133333333334,1.0003414355387674,16.2846,17.4525,True
flash_1024k_L22_bs256,flash_1024k_L22,256,flash,1024k,22,262127,512,0.422,107.59326666666666,447.2543333333333,0.24056394460124478,93.34939999999999,438.27959999999996,True
flash_1024k_L22_bs32,flash_1024k_L22,32,flash,1024k,22,262127,512,0.422,24.8594,53.19606666666667,0.46731650585694934,19.4909,49.5675,True
flash_1024k_L22_bs4,flash_1024k_L22,4,flash,1024k,22,262127,512,0.422,18.82,24.718466666666668,0.7613740873894551,16.7709,24.1277,True
flash_1024k_L22_bs512,flash_1024k_L22,512,flash,1024k,22,262127,512,0.422,196.92126666666667,566.3609333333334,0.3476957097087911,182.6345,556.2138,True
