uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,p4frac_drift_vs_9e,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue,cyc_p4_peer_wait,frac_p4_peer_wait,us_p4_peer_wait,cyc_p4_dsmem_gather,frac_p4_dsmem_gather,us_p4_dsmem_gather,cyc_p4_minmax,frac_p4_minmax,us_p4_minmax,cyc_p4_coarse_hist,frac_p4_coarse_hist,us_p4_coarse_hist,cyc_p4_coarse_search,frac_p4_coarse_search,us_p4_coarse_search,cyc_p4_fine,frac_p4_fine,us_p4_fine,cyc_p4_scatter,frac_p4_scatter,us_p4_scatter,cyc_p4_tail,frac_p4_tail,us_p4_tail,p4share_p4_peer_wait,p4share_p4_dsmem_gather,p4share_p4_minmax,p4share_p4_coarse_hist,p4share_p4_coarse_search,p4share_p4_fine,p4share_p4_scatter,p4share_p4_tail
flash_1024k_L02,flash,1024k,2,512,262127,4,0.514,8,512,True,1,False,0,20.075,20.64,0.0281,37133.5,True,True,19.35,-0.00135,2629.5,0.07091,1.4236,124.0,0.00334,0.0671,743.0,0.02004,0.4022,8231.5,0.22199,4.4564,6316.5,0.17035,3.4196,18883.0,0.50924,10.2229,153.0,0.00413,0.0828,3400.0,0.09169,1.8407,5515.0,0.14873,2.9857,711.0,0.01917,0.3849,923.5,0.02491,0.5,1398.5,0.03772,0.7571,4666.0,0.12583,2.5261,1932.5,0.05212,1.0462,317.0,0.00855,0.1716,0.18006,0.29206,0.03765,0.04891,0.07406,0.2471,0.10234,0.01679
flash_1024k_L04,flash,1024k,4,512,262127,4,0.703,8,512,True,1,False,1,19.251,20.625,0.0714,36952.5,True,True,18.38,-0.02806,3022.0,0.08176,1.574,122.0,0.0033,0.0635,726.5,0.01966,0.3784,8146.0,0.2204,4.2429,7443.5,0.20139,3.877,17380.0,0.47024,9.0526,120.0,0.00325,0.0625,3480.0,0.09416,1.8126,6851.0,0.18536,3.5684,644.5,0.01744,0.3357,575.0,0.01556,0.2995,1385.0,0.03747,0.7214,3195.5,0.08646,1.6644,1048.0,0.02835,0.5459,220.0,0.00595,0.1146,0.20023,0.39419,0.03708,0.03308,0.07969,0.18386,0.0603,0.01266
flash_1024k_L06,flash,1024k,6,512,262127,4,0.684,8,512,True,1,False,2,19.348,20.716,0.0707,36970.5,True,True,18.6,0.0063,3054.5,0.08237,1.5937,123.0,0.00332,0.0642,723.0,0.0195,0.3772,8077.5,0.21783,4.2146,7461.5,0.20121,3.8932,17504.0,0.47203,9.133,139.0,0.00375,0.0725,3488.0,0.09406,1.8199,6877.5,0.18546,3.5885,641.5,0.0173,0.3347,578.5,0.0156,0.3018,1390.0,0.03748,0.7253,3205.5,0.08644,1.6725,828.5,0.02234,0.4323,526.0,0.01418,0.2744,0.19927,0.39291,0.03665,0.03305,0.07941,0.18313,0.04733,0.03005
flash_1024k_L08,flash,1024k,8,512,262127,4,0.627,8,512,True,1,False,3,19.763,20.35,0.0297,36616.5,True,True,19.15,-0.00587,2749.5,0.07524,1.4869,124.0,0.00339,0.0671,743.0,0.02033,0.4018,8135.0,0.22261,4.3993,6403.5,0.17522,3.4629,18256.5,0.49957,9.8729,133.0,0.00364,0.0719,3383.5,0.09259,1.8298,5689.5,0.15569,3.0768,644.0,0.01762,0.3483,691.0,0.01891,0.3737,1416.0,0.03875,0.7658,4449.5,0.12176,2.4062,1169.0,0.03199,0.6322,785.5,0.02149,0.4248,0.18533,0.31164,0.03528,0.03785,0.07756,0.24372,0.06403,0.04303
flash_1024k_L10,flash,1024k,10,512,262127,4,0.385,8,512,True,1,False,4,19.259,20.332,0.0557,36451.5,True,True,21.2,-0.03002,3185.0,0.08718,1.679,122.0,0.00334,0.0643,725.0,0.01985,0.3822,8055.5,0.2205,4.2466,7472.5,0.20454,3.9392,16855.0,0.46136,8.8853,118.0,0.00323,0.0622,3508.0,0.09602,1.8493,6553.0,0.17937,3.4545,640.0,0.01752,0.3374,577.5,0.01581,0.3044,1395.0,0.03818,0.7354,2820.0,0.07719,1.4866,1204.5,0.03297,0.635,221.0,0.00605,0.1165,0.20813,0.38879,0.03797,0.03426,0.08276,0.16731,0.07146,0.01311
flash_1024k_L12,flash,1024k,12,512,262127,4,0.285,8,512,True,1,False,5,19.784,20.412,0.0318,36665.0,True,True,18.94,0.02391,2684.5,0.07367,1.4575,124.0,0.0034,0.0673,742.0,0.02036,0.4029,8275.0,0.22709,4.4927,6308.0,0.17311,3.4248,18167.0,0.49857,9.8634,138.0,0.00379,0.0749,3481.5,0.09554,1.8902,5921.5,0.16251,3.215,642.0,0.01762,0.3486,698.0,0.01916,0.379,1394.5,0.03827,0.7571,4350.5,0.11939,2.362,1408.0,0.03864,0.7644,244.0,0.0067,0.1325,0.19164,0.32595,0.03534,0.03842,0.07676,0.23947,0.0775,0.01343
flash_1024k_L14,flash,1024k,14,512,262127,4,0.357,8,512,True,1,False,6,19.654,19.769,0.0059,35384.5,True,True,21.38,0.01389,2831.5,0.07997,1.5717,124.0,0.0035,0.0688,741.5,0.02094,0.4116,8254.5,0.23313,4.5819,6286.0,0.17753,3.4893,17029.0,0.48094,9.4525,141.0,0.00398,0.0783,3527.0,0.09961,1.9578,5494.5,0.15518,3.0499,653.0,0.01844,0.3625,693.5,0.01959,0.385,1415.5,0.03998,0.7857,3530.5,0.09971,1.9597,1190.5,0.03362,0.6608,456.0,0.01288,0.2531,0.20712,0.32266,0.03835,0.04072,0.08312,0.20732,0.06991,0.02678
flash_1024k_L16,flash,1024k,16,512,262127,4,0.262,8,512,True,1,False,7,20.052,20.696,0.0321,37298.0,True,True,18.62,-0.00131,2770.0,0.07426,1.4891,124.0,0.00332,0.0667,742.0,0.01989,0.3989,8214.0,0.22021,4.4156,6297.0,0.16881,3.3851,19007.5,0.50956,10.218,147.0,0.00394,0.079,3418.5,0.09165,1.8377,5476.5,0.14682,2.944,742.0,0.01989,0.3989,935.5,0.02508,0.5029,1378.5,0.03696,0.741,4667.5,0.12513,2.5091,1903.0,0.05102,1.023,448.5,0.01202,0.2411,0.17985,0.28812,0.03904,0.04922,0.07252,0.24556,0.10012,0.0236
flash_1024k_L18,flash,1024k,18,512,262127,4,0.312,8,512,True,1,False,0,19.513,20.016,0.0258,35973.0,True,True,18.48,-0.0028,2699.0,0.07503,1.464,124.0,0.00345,0.0673,742.5,0.02064,0.4027,8237.0,0.22897,4.4679,6290.5,0.17486,3.4121,17747.0,0.49333,9.6264,134.0,0.00372,0.0727,3432.5,0.09542,1.8619,5654.5,0.15718,3.0671,661.0,0.01837,0.3585,700.0,0.01946,0.3797,1387.0,0.03856,0.7523,4264.0,0.11853,2.3129,1208.0,0.03358,0.6552,424.0,0.01179,0.23,0.19341,0.31862,0.03725,0.03944,0.07815,0.24027,0.06807,0.02389
flash_1024k_L20,flash,1024k,20,512,262127,4,0.566,8,512,True,1,False,1,20.6,21.476,0.0426,38562.5,True,True,20.21,-0.03696,3214.5,0.08355,1.7212,122.0,0.00317,0.0653,723.0,0.01879,0.3871,8093.0,0.21036,4.3333,7453.5,0.19374,3.9909,18741.5,0.48714,10.0349,125.0,0.00325,0.0669,3490.5,0.09073,1.8689,5809.5,0.151,3.1106,748.5,0.01946,0.4008,1049.0,0.02727,0.5617,1418.0,0.03686,0.7592,3476.5,0.09036,1.8614,2535.0,0.06589,1.3573,221.0,0.00574,0.1183,0.18624,0.30998,0.03994,0.05597,0.07566,0.1855,0.13526,0.01179
