uuid,model,isl,layer,K,N,cs,rung,cntb,need,degenerate,skip_full,tiny32,tiny128,error
flash_4k_L02,flash,4k,2,512,1027,1,cs1-small,3,3,False,True,True,True,
flash_4k_L04,flash,4k,4,512,1027,1,cs1-small,4,1,False,False,True,True,
flash_4k_L06,flash,4k,6,512,1027,1,cs1-small,0,0,True,False,False,False,
flash_4k_L08,flash,4k,8,512,1027,1,cs1-small,5,4,False,False,True,True,
flash_4k_L10,flash,4k,10,512,1027,1,cs1-small,5,4,False,False,True,True,
flash_4k_L12,flash,4k,12,512,1027,1,cs1-small,5,4,False,False,True,True,
flash_4k_L14,flash,4k,14,512,1027,1,cs1-small,5,3,False,False,True,True,
flash_4k_L16,flash,4k,16,512,1027,1,cs1-small,6,6,False,True,True,True,
flash_4k_L18,flash,4k,18,512,1027,1,cs1-small,5,4,False,False,True,True,
flash_4k_L20,flash,4k,20,512,1027,1,cs1-small,3,3,False,True,True,True,
flash_4k_L22,flash,4k,22,512,1027,1,cs1-small,1,1,False,True,True,True,
flash_4k_L24,flash,4k,24,512,1027,1,cs1-small,5,5,False,True,True,True,
flash_4k_L26,flash,4k,26,512,1027,1,cs1-small,4,4,False,True,True,True,
flash_4k_L28,flash,4k,28,512,1027,1,cs1-small,2,2,False,True,True,True,
flash_4k_L30,flash,4k,30,512,1027,1,cs1-small,4,4,False,True,True,True,
flash_4k_L32,flash,4k,32,512,1027,1,cs1-small,4,2,False,False,True,True,
flash_4k_L34,flash,4k,34,512,1027,1,cs1-small,5,2,False,False,True,True,
flash_4k_L36,flash,4k,36,512,1027,1,cs1-small,8,7,False,False,True,True,
flash_4k_L38,flash,4k,38,512,1027,1,cs1-small,7,7,False,True,True,True,
flash_4k_L40,flash,4k,40,512,1027,1,cs1-small,3,3,False,True,True,True,
flash_4k_L42,flash,4k,42,512,1027,1,cs1-small,6,5,False,False,True,True,
flash_8k_L02,flash,8k,2,512,2051,1,cs1-small,7,6,False,False,True,True,
flash_8k_L04,flash,8k,4,512,2051,1,cs1-small,5,2,False,False,True,True,
flash_8k_L06,flash,8k,6,512,2051,1,cs1-small,2,2,False,True,True,True,
flash_8k_L08,flash,8k,8,512,2051,1,cs1-small,9,6,False,False,True,True,
flash_8k_L10,flash,8k,10,512,2051,1,cs1-small,9,8,False,False,True,True,
