batch,family,scen,K,isl,N,BS,off_us,on_us,ratio
synth_best_seqlen_K1024_fp32,synth,best,1024,,4096,1,9.536,9.379,1.0167
synth_best_seqlen_K1024_fp32,synth,best,1024,,8192,1,10.146,10.28,0.9869
synth_best_seqlen_K1024_fp32,synth,best,1024,,16384,1,11.058,11.17,0.99
synth_best_seqlen_K1024_fp32,synth,best,1024,,32768,1,12.398,12.538,0.9889
synth_best_seqlen_K1024_fp32,synth,best,1024,,65536,1,14.59,14.712,0.9917
synth_best_seqlen_K1024_fp32,synth,best,1024,,131072,1,14.971,15.171,0.9868
synth_best_seqlen_K1024_fp32,synth,best,1024,,262144,1,17.333,17.528,0.9889
synth_best_seqlen_K1024_fp32,synth,best,1024,,524288,1,20.627,20.304,1.0159
synth_best_seqlen_K1024_fp32,synth,best,1024,,1048576,1,27.379,26.896,1.018
synth_best_seqlen_K2048_fp32,synth,best,2048,,8192,1,10.299,10.424,0.988
synth_best_seqlen_K2048_fp32,synth,best,2048,,16384,1,11.675,11.853,0.985
synth_best_seqlen_K2048_fp32,synth,best,2048,,32768,1,13.827,13.979,0.9891
synth_best_seqlen_K2048_fp32,synth,best,2048,,65536,1,15.445,15.584,0.9911
synth_best_seqlen_K2048_fp32,synth,best,2048,,131072,1,16.758,17.061,0.9823
synth_best_seqlen_K2048_fp32,synth,best,2048,,262144,1,19.157,19.307,0.9922
synth_best_seqlen_K2048_fp32,synth,best,2048,,524288,1,22.915,23.384,0.98
synth_best_seqlen_K2048_fp32,synth,best,2048,,1048576,1,30.21,30.406,0.9935
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,4096,1,9.03,8.982,1.0053
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,8192,1,9.901,10.054,0.9847
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,16384,1,10.826,11.006,0.9836
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,32768,1,12.317,12.56,0.9806
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,65536,1,14.766,14.974,0.9861
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,131072,1,15.238,15.389,0.9902
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,262144,1,17.632,17.758,0.9929
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,524288,1,21.03,20.656,1.0181
synth_worst_seqlen_K1024_fp32,synth,worst,1024,,1048576,1,27.878,27.13,1.0276
