cell,phase,cycles_med,frac,us_est
flash/32k/L22,p1_gather_stats,2462,0.1650,1.502
flash/32k/L22,smem_stage,96,0.0060,0.055
flash/32k/L22,p1b_rungs,828,0.0560,0.510
flash/32k/L22,p2_count_admission,3165,0.2130,1.939
flash/32k/L22,p3_collect,2420,0.1630,1.484
flash/32k/L22,p4_select,5891,0.3960,3.605
flash/32k/L22,epilogue,21,0.0010,0.009
flash/32k/L22,total,14883,1.0000,9.104
flash/128k/L22,p1_gather_stats,2718,0.1120,1.473
flash/128k/L22,smem_stage,124,0.0050,0.066
flash/128k/L22,p1b_rungs,743,0.0310,0.408
flash/128k/L22,p2_count_admission,4429,0.1830,2.407
flash/128k/L22,p3_collect,1974,0.0820,1.078
flash/128k/L22,p4_select,14015,0.5800,7.628
flash/128k/L22,epilogue,157,0.0060,0.079
flash/128k/L22,total,24160,1.0000,13.152
pro/128k/L30,p1_gather_stats,2944,0.1170,1.692
pro/128k/L30,smem_stage,111,0.0040,0.058
pro/128k/L30,p1b_rungs,1065,0.0420,0.607
pro/128k/L30,p2_count_admission,4300,0.1710,2.473
pro/128k/L30,p3_collect,1994,0.0790,1.143
pro/128k/L30,p4_select,14549,0.5790,8.375
pro/128k/L30,epilogue,148,0.0060,0.087
pro/128k/L30,total,25111,1.0000,14.464
pro/512k/L30,p1_gather_stats,3238,0.1000,1.779
pro/512k/L30,smem_stage,184,0.0060,0.107
pro/512k/L30,p1b_rungs,1023,0.0320,0.569
pro/512k/L30,p2_count_admission,6175,0.1910,3.398
pro/512k/L30,p3_collect,4028,0.1240,2.206
pro/512k/L30,p4_select,17560,0.5430,9.661
pro/512k/L30,epilogue,157,0.0050,0.089
pro/512k/L30,total,32365,1.0000,17.792
v32/128k/L34,p1_gather_stats,3762,0.1150,2.087
v32/128k/L34,smem_stage,111,0.0030,0.054
v32/128k/L34,p1b_rungs,1582,0.0480,0.871
v32/128k/L34,p2_count_admission,6210,0.1900,3.447
v32/128k/L34,p3_collect,3514,0.1080,1.960
v32/128k/L34,p4_select,17268,0.5290,9.598
v32/128k/L34,epilogue,168,0.0050,0.091
v32/128k/L34,total,32615,1.0000,18.144
flash/1024k/L22,p1_gather_stats,3086,0.0860,1.581
flash/1024k/L22,smem_stage,161,0.0050,0.092
flash/1024k/L22,p1b_rungs,890,0.0250,0.460
flash/1024k/L22,p2_count_admission,7358,0.2060,3.787
flash/1024k/L22,p3_collect,5767,0.1610,2.960
flash/1024k/L22,p4_select,18224,0.5100,9.376
flash/1024k/L22,epilogue,248,0.0070,0.129
flash/1024k/L22,total,35734,1.0000,18.384
