uuid,model,isl,layer,K,N,cr,hit,cs,T,v256,mbpm,wpr,gpu,us_prod_nsys,us_timed_nsys,overhead,window_cyc,exact,mono,csv_pr_us,cyc_p1_gather_stats,frac_p1_gather_stats,us_p1_gather_stats,cyc_smem_stage,frac_smem_stage,us_smem_stage,cyc_p1b_rungs,frac_p1b_rungs,us_p1b_rungs,cyc_p2_count_admission,frac_p2_count_admission,us_p2_count_admission,cyc_p3_collect,frac_p3_collect,us_p3_collect,cyc_p4_select,frac_p4_select,us_p4_select,cyc_epilogue,frac_epilogue,us_epilogue
flash_1024k_L02,flash,1024k,2,512,262127,4,0.514,8,512,True,1,False,0,20.024,20.539,0.0257,37036.5,True,True,19.35,2633.0,0.07133,1.4283,127.0,0.00344,0.0689,751.0,0.02034,0.4074,8131.5,0.22029,4.411,6260.5,0.1696,3.3961,18847.5,0.51059,10.224,163.0,0.00442,0.0884
flash_1024k_L04,flash,1024k,4,512,262127,4,0.703,8,512,True,1,False,1,19.234,19.933,0.0364,35745.0,True,True,18.38,2469.0,0.06927,1.3323,126.0,0.00353,0.068,750.0,0.02104,0.4047,8036.5,0.22546,4.3365,6341.5,0.17791,3.4218,17761.5,0.4983,9.584,160.0,0.00449,0.0863
flash_1024k_L06,flash,1024k,6,512,262127,4,0.684,8,512,True,1,False,2,19.346,20.328,0.0508,35916.0,True,True,18.6,3048.5,0.08494,1.6432,120.0,0.00334,0.0647,740.0,0.02062,0.3989,8050.5,0.2243,4.3393,7066.5,0.19689,3.8089,16715.5,0.46573,9.0098,150.0,0.00418,0.0809
flash_1024k_L08,flash,1024k,8,512,262127,4,0.627,8,512,True,1,False,3,19.811,20.463,0.0329,36749.0,True,True,19.15,2658.0,0.07274,1.4411,126.0,0.00345,0.0683,738.0,0.0202,0.4001,8121.0,0.22225,4.4031,6288.0,0.17209,3.4093,18468.5,0.50544,10.0134,140.0,0.00383,0.0759
flash_1024k_L10,flash,1024k,10,512,262127,4,0.385,8,512,True,1,False,4,19.09,19.813,0.0379,35523.0,True,True,21.2,2692.0,0.07584,1.4477,126.0,0.00355,0.0678,735.5,0.02072,0.3955,8083.0,0.22772,4.347,6263.5,0.17646,3.3685,17442.0,0.49138,9.3802,154.0,0.00434,0.0828
flash_1024k_L12,flash,1024k,12,512,262127,4,0.285,8,512,True,1,False,5,19.56,20.621,0.0542,36650.0,True,True,18.94,3157.0,0.08642,1.6904,119.0,0.00326,0.0637,740.5,0.02027,0.3965,8026.0,0.2197,4.2974,7013.0,0.19197,3.755,17340.0,0.47466,9.2844,136.0,0.00372,0.0728
flash_1024k_L14,flash,1024k,14,512,262127,4,0.357,8,512,True,1,False,6,19.469,20.586,0.0574,36465.5,True,True,21.38,3244.5,0.08912,1.7351,120.0,0.0033,0.0642,740.5,0.02034,0.396,8053.0,0.2212,4.3065,7102.0,0.19508,3.7979,17003.5,0.46705,9.0929,142.5,0.00391,0.0762
flash_1024k_L16,flash,1024k,16,512,262127,4,0.262,8,512,True,1,False,7,20.04,20.669,0.0314,37112.5,True,True,18.62,2709.0,0.07308,1.4645,126.0,0.0034,0.0681,750.0,0.02023,0.4055,8097.0,0.21843,4.3774,6289.5,0.16967,3.4002,18937.0,0.51087,10.2378,160.0,0.00432,0.0865
flash_1024k_L18,flash,1024k,18,512,262127,4,0.312,8,512,True,1,False,0,19.39,19.949,0.0288,35852.5,True,True,18.48,2659.0,0.07436,1.442,126.0,0.00352,0.0683,748.5,0.02093,0.4059,8095.0,0.22639,4.3899,6226.0,0.17412,3.3763,17740.0,0.49613,9.6203,162.0,0.00453,0.0879
flash_1024k_L20,flash,1024k,20,512,262127,4,0.566,8,512,True,1,False,1,20.688,21.358,0.0324,38534.0,True,True,20.21,2811.5,0.07326,1.5156,126.0,0.00328,0.0679,750.0,0.01954,0.4043,8135.0,0.21198,4.3854,6290.0,0.1639,3.3908,20113.0,0.5241,10.8425,151.0,0.00393,0.0814
flash_1024k_L22,flash,1024k,22,512,262127,4,0.422,8,512,True,1,False,2,19.082,20.186,0.0579,35905.0,True,True,21.04,3190.5,0.08924,1.7028,119.0,0.00333,0.0635,740.5,0.02071,0.3952,8091.0,0.22631,4.3183,7142.5,0.19978,3.8121,16326.0,0.45664,8.7134,143.0,0.004,0.0763
flash_1024k_L24,flash,1024k,24,512,262127,4,0.488,8,512,True,1,False,3,21.034,21.558,0.0249,38991.5,True,True,20.27,2767.0,0.07071,1.4873,126.0,0.00322,0.0677,739.0,0.01888,0.3972,8144.5,0.20813,4.3777,6322.0,0.16156,3.3981,20889.5,0.53382,11.2283,144.0,0.00368,0.0774
flash_1024k_L26,flash,1024k,26,512,262127,4,0.578,8,512,True,1,False,4,19.754,20.134,0.0193,36082.0,True,True,19.25,2848.5,0.07909,1.5623,126.0,0.0035,0.0691,736.0,0.02044,0.4037,7992.0,0.2219,4.3834,6232.0,0.17303,3.4181,17954.5,0.49851,9.8475,127.0,0.00353,0.0697
flash_1024k_L28,flash,1024k,28,512,262127,4,0.66,8,512,True,1,False,5,19.462,20.451,0.0508,36443.5,True,True,18.65,3158.0,0.08713,1.6957,119.0,0.00328,0.0639,739.5,0.0204,0.3971,8073.5,0.22274,4.3352,7050.5,0.19452,3.7859,16960.0,0.46792,9.1069,145.0,0.004,0.0779
flash_1024k_L30,flash,1024k,30,512,262127,4,0.514,8,512,True,1,False,6,19.938,21.059,0.0563,37655.5,True,True,19.3,3147.5,0.08366,1.6679,121.0,0.00322,0.0641,740.0,0.01967,0.3921,8074.0,0.2146,4.2786,7413.0,0.19703,3.9283,18012.5,0.47875,9.5451,116.0,0.00308,0.0615
flash_1024k_L32,flash,1024k,32,512,262127,4,0.424,8,512,True,1,False,7,22.805,23.2,0.0173,42106.5,True,True,22.58,2858.0,0.06796,1.5499,128.0,0.00304,0.0694,749.5,0.01782,0.4065,8064.0,0.19176,4.3731,6305.0,0.14993,3.4192,23801.5,0.566,12.9076,146.0,0.00347,0.0792
flash_1024k_L34,flash,1024k,34,512,262127,4,0.379,8,512,True,1,False,0,20.347,21.0,0.0321,37864.5,True,True,19.65,2818.5,0.0747,1.52,126.0,0.00334,0.068,749.5,0.01987,0.4042,8013.0,0.21239,4.3215,6236.5,0.1653,3.3634,19639.0,0.52053,10.5914,146.0,0.00387,0.0787
flash_1024k_L36,flash,1024k,36,512,262127,4,0.838,8,512,True,1,False,1,19.221,19.814,0.0309,35585.5,True,True,18.32,2807.0,0.07912,1.5207,127.0,0.00358,0.0688,750.0,0.02114,0.4063,8154.5,0.22984,4.4178,6304.5,0.1777,3.4155,17184.5,0.48436,9.3099,151.0,0.00426,0.0818
flash_1024k_L38,flash,1024k,38,512,262127,4,0.619,8,512,True,1,False,2,19.875,21.035,0.0584,37480.0,True,True,19.15,3162.5,0.08404,1.6703,119.0,0.00316,0.0629,740.0,0.01966,0.3908,8014.5,0.21297,4.2329,7423.0,0.19725,3.9205,18014.5,0.47871,9.5145,158.0,0.0042,0.0834
flash_1024k_L40,flash,1024k,40,512,262127,4,0.381,8,512,True,1,False,3,19.224,20.05,0.0429,35945.5,True,True,21.53,2588.0,0.07205,1.3852,126.0,0.00351,0.0674,737.5,0.02053,0.3947,8316.0,0.23153,4.4509,6300.5,0.17541,3.3722,17687.0,0.49243,9.4665,163.0,0.00454,0.0872
flash_1024k_L42,flash,1024k,42,512,262127,4,0.758,8,512,True,1,False,4,19.176,19.896,0.0375,35847.0,True,True,18.66,2642.5,0.07378,1.4148,126.0,0.00352,0.0675,736.0,0.02055,0.394,8202.0,0.229,4.3913,6244.0,0.17433,3.343,17712.5,0.49453,9.4831,154.0,0.0043,0.0824
flash_128k_L02,flash,128k,2,512,32771,4,0.604,1,512,True,1,False,1,12.251,12.128,-0.0101,20694.5,True,True,12.59,2355.5,0.11411,1.398,128.0,0.0062,0.076,818.0,0.03963,0.4855,5244.0,0.25405,3.1124,5313.5,0.25742,3.1537,6762.5,0.32762,4.0137,20.0,0.00097,0.0119
flash_128k_L04,flash,128k,4,512,32771,4,0.805,1,512,True,1,False,2,12.733,12.528,-0.0161,21058.0,True,True,12.15,3016.0,0.14323,1.8238,165.0,0.00784,0.0998,847.0,0.04023,0.5122,5294.5,0.25144,3.2016,5315.5,0.25244,3.2143,6398.5,0.30387,3.8692,20.0,0.00095,0.0121
flash_128k_L06,flash,128k,6,512,32771,4,0.637,1,512,True,1,False,3,12.342,12.29,-0.0043,21070.0,True,True,12.63,2551.0,0.1212,1.496,128.0,0.00608,0.0751,837.0,0.03977,0.4908,5343.5,0.25388,3.1335,5312.0,0.25239,3.1151,6855.5,0.32572,4.0202,20.0,0.00095,0.0117
flash_128k_L08,flash,128k,8,512,32771,4,0.742,1,512,True,1,False,4,12.437,12.136,-0.0242,20668.0,True,True,12.22,2553.0,0.12445,1.5477,166.0,0.00809,0.1006,868.0,0.04231,0.5262,5290.5,0.25788,3.2073,5342.0,0.26039,3.2385,6275.5,0.3059,3.8044,20.0,0.00097,0.0121
flash_128k_L10,flash,128k,10,512,32771,4,0.523,1,512,True,1,False,5,13.44,13.254,-0.0138,22615.0,True,True,13.24,2858.5,0.1272,1.7096,128.0,0.0057,0.0766,884.0,0.03934,0.5287,5263.5,0.23422,3.148,5358.5,0.23845,3.2048,7958.5,0.35415,4.7598,21.0,0.00093,0.0126
flash_128k_L12,flash,128k,12,512,32771,4,0.49,1,512,True,1,False,6,13.309,13.216,-0.007,22451.0,True,True,12.77,2909.0,0.13061,1.7383,165.0,0.00741,0.0986,865.0,0.03884,0.5169,5317.5,0.23875,3.1774,5374.0,0.24128,3.2112,7621.0,0.34217,4.5539,21.0,0.00094,0.0125
flash_128k_L14,flash,128k,14,512,32771,4,0.578,1,512,True,1,False,7,12.115,12.01,-0.0087,20580.5,True,True,12.49,2663.5,0.12958,1.5699,122.0,0.00594,0.0719,865.0,0.04208,0.5098,5122.0,0.24919,3.019,5319.5,0.2588,3.1354,6442.5,0.31344,3.7973,20.0,0.00097,0.0118
